id	type	targetId	targetNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	descr	descr_zh_TW	descr_en_UK	descr_ja_JP	descr_ko_KR	descr_th_TH
10	8			1	同类弱化	同類弱化	Type Weakening	タイプディセンド	待定翻译内容同类弱化	ความอ่อนแอ​ของ​ประเภท​เดียวกัน​	玩家打出有类别的牌在结算夺牌完毕后，双方同类别的战牌，无论在牌桌上还是在手牌中，上下左右4个数值都-1。数值最小为1	玩家打出有類別的牌在結算奪牌完畢後，雙方同類別的戰牌，無論在牌桌上還是在手牌中，上下左右4個數值都-1。數值最小為1	When a player plays a card of a specific type and after resolving the card stealing, the values of all battle cards of that type—whether on the table or in hand—decrease by 1 in all four directions (up, down, left, right). The minimum value is 1.	同じカードタイプのものを場に出す度に、同じタイプのカード（盤上＋手札）の全ての数字「－1」。最小1まで。	특정 유형의 카드를 사용하고 카드 뺏기 결산이 완료되면, 양측의 동일한 유형의 배틀카드는 카드 테이블 혹은 손에 가지고 있든 관계없이 상하좌우 4개의 수치가 -1되비다. 최소 수치는 1입니다.	เมื่อ​ผู้​เล่น​ออก​การ์ด​ที่​มี​ประเภท​เฉพาะ​ และ​แย่งชิง​การ์ด​เสร็จ​แล้ว​ การ์ด​ประเภท​เดียวกัน​ของ​ทั้งสองฝ่าย​ (​ทั้ง​ที่อยู่​บน​โต๊ะ​และ​ใน​มือ​)​ จะ​ลด​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ลง​ -​1​ โดย​ค่าที่​ต่ำสุด​คือ​ 1​
11	9	4	1	1	万圣节强化	萬聖節強化	待处理翻译万圣节强化		핼러윈 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +1	เสริมพลังฮาโลวีน	具有万圣节类别标志的战牌，会在战斗开始时直接获得四边数值+1	具有萬聖節類別標誌的戰牌，會在戰鬥開始時直接獲得四邊數值+1	待处理翻译具有万圣节类别标志的战牌，会在战斗开始时直接获得四边数值+1		핼러윈 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +2	แบตเทิลการ์ด​ที่​มี​สัญลักษณ์​ประเภท​ฮาโลวีน​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ +1​ ทันที​เมื่อ​เริ่ม​การต่อสู้​
12	9	4	2	1	万圣节超强化	萬聖節超強化	待处理翻译万圣节超强化		수영복 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +1	เสริมพลังพิเศษฮาโลวีน	具有万圣节类别标志的战牌，会在战斗开始时直接获得四边数值+2	具有萬聖節類別標誌的戰牌，會在戰鬥開始時直接獲得四邊數值+2	待处理翻译具有万圣节类别标志的战牌，会在战斗开始时直接获得四边数值+2		수영복 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +2	แบตเทิลการ์ด​ที่​มี​สัญลักษณ์​ฮาโลวีน​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ +2​ ทันที​เมื่อ​เริ่ม​การต่อสู้​
13	9	1	1	1	泳装强化	泳裝強化	待处理翻译泳装强化		웨딩 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +1	เสริมพลังชุดว่ายน้ำ	具有泳装类别标志的战牌，会在战斗开始时直接获得四边数值+1	具有泳裝類別標誌的戰牌，會在戰鬥開始時直接獲得四邊數值+1	待处理翻译具有泳装类别标志的战牌，会在战斗开始时直接获得四边数值+1		웨딩 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +2	แบตเทิลการ์ด​ที่​มี​สัญลักษณ์​ชุดว่ายน้ำ​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ +1​ ทันที​เมื่อ​เริ่ม​การต่อสู้​
14	9	1	2	1	泳装超强化	泳裝超強化	待处理翻译泳装超强化		일상 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +1	เสริม​พลัง​พิเศษ​ชุดว่ายน้ำ​	具有泳装类别标志的战牌，会在战斗开始时直接获得四边数值+2	具有泳裝類別標誌的戰牌，會在戰鬥開始時直接獲得四邊數值+2	待处理翻译具有泳装类别标志的战牌，会在战斗开始时直接获得四边数值+2		일상 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +2	แบตเทิลการ์ด​ที่​มี​สัญลักษณ์​ชุดว่ายน้ำ​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ +2​ ทันที​เมื่อ​เริ่ม​การต่อสู้​
15	9	2	1	1	花嫁强化	花嫁強化	待处理翻译花嫁强化		待定翻译内容花嫁强化	เสริมพลังเจ้าสาว	具有花嫁类别标志的战牌，会在战斗开始时直接获得四边数值+1	具有花嫁類別標誌的戰牌，會在戰鬥開始時直接獲得四邊數值+1	待处理翻译具有花嫁类别标志的战牌，会在战斗开始时直接获得四边数值+1		待定翻译内容具有花嫁类别标志的战牌，会在战斗开始时直接获得四边数值+1	แบตเทิลการ์ด​ที่​มี​สัญลักษณ์​เจ้าสาว​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ +1​ ทันที​เมื่อ​เริ่ม​การต่อสู้​
16	9	2	2	1	花嫁超强化	花嫁超強化	待处理翻译花嫁超强化		待定翻译内容花嫁超强化	เสริมพลังพิเศษเจ้าสาว	具有花嫁类别标志的战牌，会在战斗开始时直接获得四边数值+2	具有花嫁類別標誌的戰牌，會在戰鬥開始時直接獲得四邊數值+2	待处理翻译具有花嫁类别标志的战牌，会在战斗开始时直接获得四边数值+2		待定翻译内容具有花嫁类别标志的战牌，会在战斗开始时直接获得四边数值+2	แบตเทิลการ์ด​ที่​มี​สัญลักษณ์​เจ้าสาว​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ +2​ ทันที​เมื่อ​เริ่ม​การต่อสู้​
17	9	3	1	1	日常强化	日常強化	待处理翻译日常强化		待定翻译内容日常强化	เสริมพลังทั่วไป	具有日常类别标志的战牌，会在战斗开始时直接获得四边数值+1	具有日常類別標誌的戰牌，會在戰鬥開始時直接獲得四邊數值+1	待处理翻译具有日常类别标志的战牌，会在战斗开始时直接获得四边数值+1		待定翻译内容具有日常类别标志的战牌，会在战斗开始时直接获得四边数值+1	แบตเทิลการ์ด​ที่​มี​สัญลักษณ์​ทั่วไป​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ +1​ ทันที​เมื่อ​เริ่ม​การต่อสู้​
18	9	3	2	1	日常超强化	日常超強化	待处理翻译日常超强化		待定翻译内容日常超强化	เสริมพลังพิเศษทั่วไป	具有日常类别标志的战牌，会在战斗开始时直接获得四边数值+2	具有日常類別標誌的戰牌，會在戰鬥開始時直接獲得四邊數值+2	待处理翻译具有日常类别标志的战牌，会在战斗开始时直接获得四边数值+2		待定翻译内容具有日常类别标志的战牌，会在战斗开始时直接获得四边数值+2	แบตเทิลการ์ด​ที่​มี​สัญลักษณ์​ทั่วไป​ จะ​ได้รับ​การ​เพิ่ม​ค่าตัวเลข​ทั้ง​ 4​ ด้าน​ +2​ ทันที​เมื่อ​เริ่ม​การต่อสู้​
19	10			1	同数	同數	Matching	セイム	동수	เลขเหมือน	除了比大小的基础规则外，若被打出的牌满足以下条件，则可将与其相邻的对方战牌据为己有：\n①打出的战牌与相邻战牌紧贴的两个数字各自相同。\n②条件1至少发生两次且其中至少有一次是与对方战牌。	除了比大小的基礎規則外，若被打出的牌滿足以下條件，則可將與其相鄰的對方戰牌據為己有：\n①打出的戰牌與相鄰戰牌緊貼的兩個數字各自相同。\n②條件1至少發生兩次且其中至少有一次是與對方戰牌。	In addition to the basic rule of comparing card values, you can claim the opponent's adjacent battle cards as your own if the following conditions are met:\n① The value of the played battle card matches that of one border side of an adjacent battle card.\n② Condition 1 occurs at least twice, with at least one instance involving the opponent's battle card.	基礎ルールの他、繰り出したカードが以下の条件を満たすと、隣接する相手の戦札を変色させることができる：\n①隣接したカードの数字が、2方向（以上も可）とも自分の置いたカードと数字が同じである\n②条件①の中には、相手のカードは少なくとも1枚ある	카드 크기 규칙 이외에, 만약 사용한 카드가 다음 조건을 만족할 경우, 옆의 상대방 카드의 소유권을 차지할 수 있습니다:\n①사용된 배틀카드와 옆쪽의 배틀카드의 두 숫자가 각각 동일해야 합니다.\n②조건 1번이 최소 2번 발생해야 하고, 그중 최소 1번은 상대방 배틀카드여야 합니다.	นอกจากกฎพื้นฐานที่ใช้การ ​"เทียบตัวเลข" ​แล้ว ​หาก​ไพ่​ที่​ลง​มี​คุณสมบัติ​ตรง​ตาม​เงื่อนไข​ต่อ​ไป​นี้ ​จะ​สามารถ​ยึด​ไพ่​ฝ่าย​ตรง​ข้าม​ที่​อยู่​ติด​กัน​มา​เป็น​ของ​ตน​ได้​:​\n① ​ไพ่​ที่​ลง​มี​ตัว​เลข​ที่​ติด​กับ​ไพ่​ข้าง​เคียง ​ตรง​กับ​ตัว​เลข​ของ​ไพ่​ข้าง​เคียง​นั้น​ใน​ด้าน​ที่​สัมผัส​กัน​\n② ​เงื่อน​ไข​ข้อ ​① ​จะ​ต้อง​เกิด​ขึ้น ​อย่าง​น้อย ​2 ครั้ง ​และ​ต้อง​มี​อย่าง​น้อย ​1 ครั้ง ​ที่​ตรง​กับ​ไพ่​ของ​ฝ่าย​ตรง​ข้าม​
20	11			1	同数连锁	同數連鎖	Matching Synergy	セイムコンボ	동수 연결	คอมโบเลขเหมือน	除了比大小的基础规则外，若被打出的牌满足以下条件，则可将与其相邻的对方战牌据为己有：\n①打出的战牌与相邻战牌紧贴的两个数字各自相同。\n②条件1至少发生两次且其中至少有一次是与对方战牌。\n符合条件的对方战牌被己方占有而产生翻转后，若该战牌和与其相邻的其他对方战牌满足基础规则，则可达成连击条件“连携”，把这些战牌也占为己有。连击会持续发生直至无卡可夺。	除了比大小的基礎規則外，若被打出的牌滿足以下條件，則可將與其相鄰的對方戰牌據為己有：\n①打出的戰牌與相鄰戰牌緊貼的兩個數字各自相同。\n②條件1至少發生兩次且其中至少有一次是與對方戰牌。\n符合條件的對方戰牌被己方佔有而產生翻轉後，若該戰牌和與其相鄰的其他對方戰牌滿足基礎規則，則可達成連擊條件“連攜”，把這些戰牌也占為己有。連擊會持續發生直至無卡可奪。	In addition to the basic rule of comparing card values, you can claim the opponent's adjacent battle cards as your own if the following conditions are met:\n① The value of the played battle card matches that of one border side of an adjacent battle card.\n② Condition 1 occurs at least twice, with at least one instance involving the opponent's battle card.\nIf the opponent's battle cards that meet these conditions are captured and flipped, and those battle cards along with their adjacent opponent's battle cards also satisfy the basic rules, a Synergy is triggered, allowing you to capture those battle cards as well. This Synergy continues until no more cards can be stolen.	基礎ルールの他、繰り出したカードが以下の条件を満たすと、隣接する相手の戦札を変色させることができる：\n①隣接したカードの数字が、2方向（以上も可）とも自分の置いたカードと数字が同じである\n②条件①の中には、相手のカードが少なくとも1枚ある\n条件に満たした相手のカードを変色させた後、当該カードと隣り合う相手の他のカードがまたもや基礎ルールを満たすと、「コンボ」が発生し、それらのカードをも変色させることができる。条件を満たす限りコンボは連鎖し続ける。	카드 크기 규칙 이외에, 만약 사용한 카드가 다음 조건을 만족할 경우, 옆의 상대방 카드의 소유권을 차지할 수 있습니다:\n①사용된 배틀카드와 옆쪽의 배틀카드의 두 숫자가 각각 동일해야 합니다.\n②조건 1번이 최소 2번 발생해야 하고, 그중 최소 1번은 상대방 배틀카드여야 합니다.\n조건에 맞는 상대방 배틀카드가 아군의 의해 점유되어 뒤집힌 후, 만약 해당 배틀카드와 옆쪽의 기타 상대방의 배틀카드가 기본 규칙에 부합하면, [연결]이라는 콤보 조건이 달성되고, 해당 카드들을 차지할 수 있습니다. 콤보는 더 이상 빼앗을 카드가 없을 때까지 계속 발생됩니다.	นอกจากกฎพื้นฐานที่ใช้การ ​"เทียบตัวเลข" ​แล้ว ​หาก​ไพ่​ที่​ลง​มี​คุณสมบัติ​ตรง​ตาม​เงื่อนไข​ต่อ​ไป​นี้ ​จะ​สามารถ​ยึด​ไพ่​ฝ่าย​ตรง​ข้าม​ที่​อยู่​ติด​กัน​มา​เป็น​ของ​ตน​ได้​:​\n① ​ไพ่​ที่​ลง​มี​ตัว​เลข​ที่​ติด​กับ​ไพ่​ข้าง​เคียง ​ตรง​กับ​ตัว​เลข​ของ​ไพ่​ข้าง​เคียง​นั้น​ใน​ด้าน​ที่​สัมผัส​กัน​\n② ​เงื่อน​ไข​ข้อ ​① ​จะ​ต้อง​เกิด​ขึ้น ​อย่าง​น้อย ​2 ครั้ง ​และ​ต้อง​มี​อย่าง​น้อย ​1 ครั้ง ​ที่​ตรง​กับ​ไพ่​ของ​ฝ่าย​ตรง​ข้าม​\nเมื่อ​ยึด​ไพ่​ของ​ฝ่าย​ตรง​ข้าม​ที่​ตรง​ตาม​เงื่อน​ไข​ได้​และ​เกิด​การ​พลิก​ด้าน ​หาก​ไพ่​ที่​ถูก​ยึด​มี​ไพ่​ของ​ฝ่าย​ตรง​ข้าม​ใบ​อื่น​อยู่​ติด​กัน ​และ​ตรง​ตาม​กฎ​พื้นฐาน ​ก็​จะ​สามารถ​เปิด​ใช้​เงื่อน​ไข ​"คอมโบ" ​เพื่อ​ยึด​ไพ่​เหล่า​นั้น​ได้​เช่นกัน​
21	12			1	加算	加算	Addition	プラス	가산	บวกเพิ่ม	除了比大小的基础规则外，若被打出的牌满足以下条件，则可将与其相邻的对方战牌据为己有：\n①放置的战牌与相邻战牌紧贴的两个数字相加，得出的和至少有两个相同。\n②条件1得出的和至少有一个是与敌方战牌的和。	除了比大小的基礎規則外，若被打出的牌滿足以下條件，則可將與其相鄰的對方戰牌據為己有：\n①放置的戰牌與相鄰戰牌緊貼的兩個數字相加，得出的和至少有兩個相同。\n②條件1得出的和至少有一個是與敵方戰牌的和。	In addition to the basic rule of comparing card values, you can claim the opponent's adjacent battle cards as your own if the following conditions are met:\n① The value of the played battle card and that of one border side of an adjacent card add up to at least two instances of the same total.\n② At least one of those totals includes the opponent's battle card.	基礎ルールの他、繰り出したカードが以下の条件を満たすと、隣接する相手の戦札を変色させることができる：\n①カードを置いた際に、隣接したカードの数値が2方向（以上も可）とも合計値が同じになる\n②条件①の中には、相手のカードは少なくとも1枚ある	카드 크기 규칙 이외에, 만약 사용한 카드가 다음 조건을 만족할 경우, 옆의 상대방 카드의 소유권을 차지할 수 있습니다:\n①배치된 배틀카드와 옆쪽 카드의 두 숫자를 더했을 때, 나온 합계가 최소 두 개 이상 동일해야 합니다.\n②조건 1번에서 나온 합계 중, 최소 1개는 상대방의 배틀카드와의 합계여야 합니다.	นอกจากกฎพื้นฐานที่ใช้การ ​"เทียบตัวเลข" ​แล้ว ​หาก​ไพ่​ที่​ลง​มี​คุณสมบัติ​ตรง​ตาม​เงื่อนไข​ต่อ​ไป​นี้ ​จะ​สามารถ​ยึด​ไพ่​ฝ่าย​ตรง​ข้าม​ที่​อยู่​ติด​กัน​มา​เป็น​ของ​ตน​ได้​:​\n① ​เมื่อ​นำ​ตัว​เลข​ของ​ไพ่​ที่​ลง ​บวก​กับ​ตัว​เลข​ของ​ไพ่​ข้าง​เคียง​นั้น​ใน​ด้าน​ที่​สัมผัส​กัน ​ผล​รวม​ที่​ได้​มี​ค่า​เท่ากัน​อย่าง​น้อย ​2 ค่า​\n② ​ใน​ผล​รวม​ที่​เท่า​กัน​นั้น ​ต้อง​มี​อย่าง​น้อย ​1 ค่า ​ที่​ตรง​กับ​ผล​รวม​ของ​ไพ่​ฝ่าย​ตรง​ข้าม​
22	13			1	加算连锁	加算連鎖	Addition Synergy	プラスコンボ	가산 연결	คอมโบบวกเพิ่ม	除了比大小的基础规则外，若被打出的牌满足以下条件，则可将与其相邻的对方战牌据为己有：\n①放置的战牌与相邻战牌紧贴的两个数字相加，得出的和至少有两个相同。\n②条件1得出的和至少有一个是与敌方战牌的和。\n符合条件的对方战牌被己方占有而产生翻转后，若该战牌和与其相邻的其他对方战牌满足基础规则，则可达成连击条件“连携”，把这些战牌也占为己有。连击会持续发生直至无卡可夺。	除了比大小的基礎規則外，若被打出的牌滿足以下條件，則可將與其相鄰的對方戰牌據為己有：\n①放置的戰牌與相鄰戰牌緊貼的兩個數字相加，得出的和至少有兩個相同。\n②條件1得出的和至少有一個是與敵方戰牌的和。\n符合條件的對方戰牌被己方佔有而產生翻轉後，若該戰牌和與其相鄰的其他對方戰牌滿足基礎規則，則可達成連擊條件“連攜”，把這些戰牌也占為己有。連擊會持續發生直至無卡可奪。	In addition to the basic rule of comparing card values, you can claim the opponent's adjacent battle cards as your own if the following conditions are met:\n① The value of the played battle card and that of one border side of an adjacent card add up to at least two instances of the same total.\n② At least one of those totals includes the opponent's battle card.\nIf the opponent's battle cards that meet these conditions are captured and flipped, and those battle cards along with their adjacent opponent's battle cards also satisfy the basic rules, a Synergy is triggered, allowing you to capture those battle cards as well. This Synergy continues until no more cards can be stolen.	基礎ルールの他、繰り出したカードが以下の条件を満たすと、隣接する相手の戦札を変色させることができる：\n①カードを置いた際に、隣接したカードの数値が2方向（以上も可）とも合計値が同じになる\n②条件①の中には、相手のカードは少なくとも1枚ある\n条件に満たした相手のカードを変色させた後、当該カードと隣り合う相手の他のカードがまたもや基礎ルールを満たすと、「コンボ」が発生し、それらのカードをも変色させることができる。条件を満たす限りコンボは連鎖し続ける。	카드 크기 규칙 이외에, 만약 사용한 카드가 다음 조건을 만족할 경우, 옆의 상대방 카드의 소유권을 차지할 수 있습니다:\n①배치된 배틀카드와 옆쪽 카드의 두 숫자를 더했을 때, 나온 합계가 최소 두 개 이상 동일해야 합니다.\n②조건 1번에서 나온 합계 중, 최소 1개는 상대방의 배틀카드와의 합계여야 합니다.\n조건에 맞는 상대방 배틀카드가 아군의 의해 점유되어 뒤집힌 후, 만약 해당 배틀카드와 옆쪽의 기타 상대방의 배틀카드가 기본 규칙에 부합하면, [연결]이라는 콤보 조건이 달성되고, 해당 카드들을 차지할 수 있습니다. 콤보는 더 이상 빼앗을 카드가 없을 때까지 계속 발생됩니다.	นอกจากกฎพื้นฐานที่ใช้การ ​"เทียบตัวเลข" ​แล้ว ​หาก​ไพ่​ที่​ลง​มี​คุณสมบัติ​ตรง​ตาม​เงื่อนไข​ต่อ​ไป​นี้ ​จะ​สามารถ​ยึด​ไพ่​ฝ่าย​ตรง​ข้าม​ที่​อยู่​ติด​กัน​มา​เป็น​ของ​ตน​ได้​:​\n① ​เมื่อ​นำ​ตัว​เลข​ของ​ไพ่​ที่​ลง ​บวก​กับ​ตัว​เลข​ของ​ไพ่​ข้าง​เคียง​นั้น​ใน​ด้าน​ที่​สัมผัส​กัน ​ผล​รวม​ที่​ได้​มี​ค่า​เท่ากัน​อย่าง​น้อย ​2 ค่า​\n② ​ใน​ผล​รวม​ที่​เท่า​กัน​นั้น ​ต้อง​มี​อย่าง​น้อย ​1 ค่า ​ที่​ตรง​กับ​ผล​รวม​ของ​ไพ่​ฝ่าย​ตรง​ข้าม​\nเมื่อ​ยึด​ไพ่​ของ​ฝ่าย​ตรง​ข้าม​ที่​ตรง​ตาม​เงื่อน​ไข​ได้​และ​เกิด​การ​พลิก​ด้าน ​หาก​ไพ่​ที่​ถูก​ยึด​มี​ไพ่​ของ​ฝ่าย​ตรง​ข้าม​ใบ​อื่น​อยู่​ติด​กัน ​และ​ตรง​ตาม​กฎ​พื้นฐาน ​ก็​จะ​สามารถ​เปิด​ใช้​เงื่อน​ไข ​"คอมโบ" ​เพื่อ​ยึด​ไพ่​เหล่า​นั้น​ได้​เช่นกัน​
