id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
10	11			金阙	有艾可这样热情的朋友在身边，对你会有很大帮助哦。																1																						54;2											1	金闕	Jinque	祈	금궐	จินเชน						有艾可這樣熱情的朋友在身邊，對你會有很大幫助哦。	With a passionate friend like Echo by your side, it'll really help you out.	アイコのようなテンションが高い友達がそばにいると、大いに役に立つわよ。	에코처럼 열정적인 존재가 곁에 있으면 도움이 될 거요	การ​มี​เพื่อน​ที่​อบอุ่น​อย่าง​เอ​ค​โค​อยู่​ข้างๆ​ จะ​เป็นประโยชน์​กับ​เธอ​อย่าง​มาก​เลย​ล่ะ​															
11	12			艾可	看吧，别抗拒嘛！艾可很会讲故事，这就把这些天发生的事情全——都告诉你——																1																						54;2											1	艾可	Echo	アイコ	에코	เอคโค						看吧，別抗拒嘛！艾可很會講故事，這就把這些天發生的事情全——都告訴你——	See? Don't resist! I'm great at storytelling, and I'll fill you in on everything that's happened recently.	ほら、抵抗しないで！アイコは上手な語り手だから、このごろの出来事をす——べて教えてやる——	그거 봐, 저항하지 말라고! 에코는 완전 이야기꾼이야! 며칠 동안 있었던 일, 전부— 들려줄게—	เห็น​มั้ย​ล่ะ​ อย่า​ปฏิเสธ​ไป​เลย​น่า​!​ เอ​ค​โค​เล่าเรื่อง​เก่ง​อยู่แล้ว​ เดี๋ยวนี้​จะ​เล่าเรื่อง​ทุกอย่าง​ที่​เกิดขึ้น​ใน​ช่วง​หลาย​มา​วัน​มา​นี้​ให้​เธอ​ฟัง​ทั้งหมด​เอง​—​															
12	13			金阙	啊，真是，饶了我吧！																1																						54;2											1	金闕	Jinque	金闕	금궐	จินเชน						啊，真是，饒了我吧！	Ugh, just spare me already!	あ、ったく、勘弁してくれ！	아, 제발, 용서해 줘!	อ๊า​ ให้​ตาย​สิ​ ปล่อย​เรา​ไป​เถอะน่า​!​															
13	14			祈	嘻，如此美丽的风景，您怎么看呢，客人~																1																						1;2											1	祈	Qi	祈	기	ฉี						嘻，如此美麗的風景，您怎麼看呢，客人~	Hehe, what a beautiful scene! What do you think?	ふふ、こんな素敵な景色、どう楽しもうかしら、お客さん～	후후, 참으로 아름다운 풍경 아니오, 어떻게 생각하시오~?	ฮุฮุ​ กับ​ทิวทัศน์​ที่​งดงาม​เช่นนี้​ คุณ​มอง​มัน​ยังไง​เหรอ​คะ​ คุณ​ลูกค้า​~​															
14			3																		1														我也觉得很美……;我……我用眼睛看……	15;15							1;2											1																我也覺得很美……;我……我用眼睛看……	I find it beautiful too...;I... I can feel it...	素敵だと思う……;私……目で見る……	아름다워...;난... 난 눈에 담을게...	ฉันก็รู้สึกว่ามันสวยมาก...;ฉัน... ฉันใช้ตามอง...										
15	16			#playerName	我是说，没想到你们楼主也会亲自来这里……																1																						1;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						我是說，沒想到你們樓主也會親自來這裡……	I didn't expect the Lord to come here in person...	ところで、お宅の亭主もここに来られたとは……	그러니까, 무히 대인이 직접 올 줄은 몰랐는데...	ฉัน​หมายถึง​ ไม่​คิด​ว่า​เจ้านาย​ของ​พวก​เธอ​จะ​มา​ที่นี่​ด้วยตัวเอง​แบบนี้​...​															
16	17			雾非	嗯……我能够观测到的未来，因为你发生了极其细微的改变。																1																						1;2											1	霧非	Fata	霧非	무히	อู่เฟย						嗯……我能夠觀測到的未來，因為你發生了極其細微的改變。	Hmm... The future I can see has shifted ever so slightly because of you.	ええ……ワタシが予見した未来は、アナタによって極めて些細な変化が発生した。	음... 내가 볼 수 있는 미래에, 그대로 인해 미세한 변화가 일어났다	อืม​...​ อนาคต​ที่​เรา​สามารถ​รับรู้​ได้​ เกิด​ความเปลี่ยนแปลง​ไป​เล็กน้อย​ก็​เพราะ​เธอ​															
17	18			雾非	或许，我应当离你近一些，更细致地观察……																1																						1;2											1	霧非	Fata	霧非	무히	อู่เฟย						或許，我應當離你近一些，更細緻地觀察……	Perhaps I should draw closer and observe you more intently...	もっと近づいてよく観察すべきかもしれないわ……	어쩌면 그대와 가깝게 지내면서 더 세심히 관찰해야 할지도 모르겠구나...	บางที​ เรา​ควร​อยู่​ใกล้ชิด​เธอ​ให้​มากกว่า​นี้​ สังเกต​ให้​ละเอียด​กว่า​นี้​...​															
18	19			雾非	一直以来，我能够清晰地观测过去，却永远无法真正改变过去。																1																						1;2											1	霧非	Fata	霧非	무히	อู่เฟย						一直以來，我能夠清晰地觀測過去，卻永遠無法真正改變過去。	I've always had a clear view of the past, yet I could never change it.	これまでずっと、はっきりと過去を観測できたが、永遠に過去を変えることはできない。	그동안 난, 과거를 볼 수는 있어도 과거를 바꾸지는 못했다	ที่ผ่านมา​ เรา​สามารถ​มองเห็น​อดีต​ได้​อย่าง​ชัดเจน​ แต่​ไม่​เคย​สามารถ​เปลี่ยนแปลง​อดีต​ได้​อย่าง​แท้จริง​เลย​สักครั้ง​															
19	20			雾非	我曾以为未来也是注定的，直到，遇到你。飞星呵——或许，你会是那个例外。																1																						1;2											1	霧非	Fata	霧非	무히	อู่เฟย						我曾以為未來也是註定的，直到，遇到你。飛星呵——或許，你會是那個例外。	I once believed the future was predetermined until I met you. Shooting star—maybe you will be the exception.	アナタに出会ったまで、ずっと未来は運命づけられていると思っていた。飛星よ——もしかすると、アナタは、その異例かもしれないわ。	그래서 미래는 고정되어 있다고 생각했다. 그대를 만나기 전까지는. 별이여— 어쩌면, 그대가 예외일지도 모르겠구나	เรา​เคย​คิด​ว่า​อนาคต​เอง​ก็​ถูก​กำหนด​ไว้​แล้ว​เช่นกัน​ จนกระทั่ง​ ได้มา​พบ​กับ​เธอ​ ดาว​ผกาย​เอ๋ย​...​ บางที​ เธอ​อาจจะ​เป็น​ข้อยกเว้น​นั้น​															
20	21			雾非	今后，我也会注视着你，等待你，改变这个世界！																1																						1;2											1	霧非	Fata	霧非	무히	อู่เฟย						今後，我也會注視著你，等待你，改變這個世界！	From now on, I will watch over you, await your arrival, and help transform this world!	これからも、アナタを見つめて、待って、アナタがこの世界を変えるまで！	이제부터 나도 그대를 지켜보겠다. 그대가 세상을 바꾸는 걸 기다리겠다!	ต่อจากนี้​ เรา​จะ​เฝ้ามอง​เธอ​ รอคอย​เธอ​ และ​เปลี่ยนแปลง​โลก​นี้​ไป​ด้วยกัน​!​															
21	22			#playerName	未来太遥远了，不过，我会脚踏实地，过好每一个此刻的！																1																						1;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						未來太遙遠了，不過，我會腳踏實地，過好每一個此刻的！	The future may be distant, but I will remain grounded, cherishing each moment as it comes.	未来は遠すぎるが、じっくりと、すべての今をちゃんと生きるように！	너무 먼 미래 일이긴 하지만, 저는 이 땅을 밟으면서 모든 순간을 즐길 거예요!	เรื่อง​ของ​อนาคต​มัน​ยังอีก​ห่างไกล​ เพราะ​งั้น​ฉัน​จะ​ตั้งมั่น​อยู่​กับ​ปัจจุบัน​ ใช้​ทุก​ช่วงเวลา​ของ​ชีวิต​ให้​ดี​ที่สุด​!​															
22	23			雾非	如此，吗？出乎意料，又格外安心的回答呢。																1																						1;2											1	霧非	Fata	霧非	무히	อู่เฟย						如此，嗎？出乎意料，又格外安心的回答呢。	Is that so? That's an unexpected yet oddly comforting response.	そうか？意外だけど、ほっとさせる答えだ。	그런, 가? 예상 밖이지만, 한편으로는 안심이 되는 대답이군	เช่นนั้น​...​ งั้น​เหรอ​?​ เป็น​คำตอบ​ที่​คาดไม่ถึง​ แต่​ก็​ทำให้​สบายใจ​อย่าง​น่าประหลาด​															
23	24			雾非	此刻的你，心中，有所牵挂吧。																1																						1;2											1	霧非	Fata	霧非	무히	อู่เฟย						此刻的你，心中，有所牽掛吧。	Right now, your heart seems to hold a deep yearning.	今のアナタ、心の中に、気にかけることがあるでしょう。	지금 그대의 마음에는, 걱정이 있구나	ใน​ตอนนี้​ ภายในใจ​ของ​เธอ​ มี​สิ่ง​ที่​ห่วงใย​อยู่​สิ​นะ​															
24	25			#playerName	放心，已知的未来中，飞星总是牵引着众星，你——不会孤单的！																1																						1;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						放心，已知的未來中，飛星總是牽引著眾星，你——不會孤單的！	Rest assured, in the future I envision, Shooting Star will always guide the other stars—you will never be alone.	安心して、既知の未来で、飛星はいつも多くの星を導くから、あなた――一人ぽっちじゃありませんよ！	안심하세요. 가까운 미래에, 별은 항상 친구 별과 함께일 테니까!	สบายใจ​ได้​เลย​ ในอนาคต​ที่​ได้​รู้​มา​ ดาว​ผกาย​มักจะ​ดึงดูด​ดวงดาว​ต่างๆ​ ให้​เข้า​มาหา​ เพราะ​งั้น​ เธอ​—​ จะ​ไม่​โดดเดี่ยว​หรอก​นะ​!​															
25	26		11								2	18	0								1																						1;2											1																														
26	27		11				1	57:dialg_bg_100			0.6										1					-1																												1																														
27	28		2		新海市丨贝克猫餐厅																1						op_jianpan																											1											新海市丨貝克貓餐廳	Baker's Cafe, Catto City	新海市丨ベイカーキャットレストラン	뉴오션 시티丨베이커캣 카페테리아	แคทโตะ ซิตี้丨เบเกอร์คาเฟ่															
28	29		11				1	57:dialg_bg_334	7	1.1		17	-1	135008;136008		200401;201301			20;27		1					bgm_plot_trust01																1;1	45;0											1																														
29	30				<color=#d8d8d8>时间是耀州除夕夜的九点半。</color>				7	1.1				135008;136008		200401;200401			20;27		1																					1;1	45;0											1											<color=#d8d8d8>時間是耀州除夕夜的九點半。</color>	<color=#d8d8d8>It was 9:30 PM on New Year's Eve in Yaozhou.</color>	<color=#d8d8d8>耀州の大晦日の九時半。</color>	<color=#d8d8d8>요주 타운의 섣달그믐 밤 아홉 시 반</color>	[​เวลา​สาม​ทุ่ม​ครึ่ง​ของ​คืน​วัน​ส่งท้าย​ปี​เก่า​ที่​เขต​เหยา​โจว​]​															
30	31			小曼	不知道店长什么时候回来……				7	1.1				135008;136008		200401;200401	100401;0		20;27		1																					1;135008	45;0											1	小曼	Mandy	マンディー	맨디	แมนดี้						不知道店長什麼時候回來……	I wonder when the Manager will return...	店長はいつ戻ってくるかな……	점장님은 언제 오는 거야...	ไม่​รู้​ว่า​คุณ​ผู้จัดการ​จะ​กลับมา​เมื่อไหร่​กัน​นะ​...​															
31	32			法夕黛	最早也应该是明天了吧？这个时间，那边的庆典或许还没有结束呢！				7	1.1				135008;136008			100401;100401		20;27		1																					136008;135008	45;0											1	法夕黛	Felicia	ファルスタ	파르시타	เฟริเซีย						最早也應該是明天了吧？這個時間，那邊的慶典或許還沒有結束呢！	They probably won't be back until tomorrow at the earliest. The celebrations over there are likely still in full swing!	早くても明日だろう。この時間、そっちの祭りはまだ終わってないかもね！	빨라도 내일이겠지? 이 시간이라면, 축제가 아직 안 끝났을지도 몰라!	เร็ว​สุด​ก็​น่าจะเป็น​พรุ่งนี้​ล่ะ​มั้ง​?​ เวลานี้​ งานเทศกาล​ที่นั่น​น่าจะ​ยัง​ไม่​จบ​เลย​ด้วยซ้ำ​นะ​!​															
32	33			小曼	按照耀州的习俗，除夕是要守夜的吧。团聚在一起等旧的一年过去，迎接新的一年到来。				7	1.1				135008;136008			0;100401		20;27		1																					136008;135008	45;0											1	小曼	Mandy	マンディー	맨디	แมนดี้						按照耀州的習俗，除夕是要守夜的吧。團聚在一起等舊的一年過去，迎接新的一年到來。	According to Yaozhou tradition, New Year's Eve is a night of vigilance—a time to gather and bid farewell to the old year while welcoming the new.	耀州の風習では、大晦日は年ごもりをするんでしょ。団らんして古い年に別れを告げ、新しい年を迎えます。	요주 타운의 전통에 다르면 섣달그믐에는 밤을 새야 해. 함께 새로운 한 해를 기다리는 거지	ตาม​ประเพณี​ของ​เหยา​โจว​ คืน​ก่อน​วัน​ขึ้นปีใหม่​จะ​อยู่​กัน​ตลอดคืน​ ผู้คน​จะ​มา​รวมตัวกัน​ รอ​ให้​ปี​เก่า​ผ่าน​ไป​ และ​ต้อนรับ​ปีใหม่​ที่​กำลังจะ​มาถึง​สิ​นะคะ​															
33	34			法夕黛	是呢，小曼知道得很多呐。				7	1.1				135008;136008		0;200101			20;27		1																					136008;135008	45;0											1	法夕黛	Felicia	ファルスタ	파르시타	เฟริเซีย						是呢，小曼知道得很多呢。	Ah yes, you really know your stuff!	そうよ、マンディーはよく知ってるね。	맞아. 맨디는 아는 게 참 많구나	ใช่​จ้ะ​ แมน​ดี้​นี่​รู้​เยอะ​จัง​เลย​นะ​															
34	35			小曼	那个……是刚刚查找的资料啦，嘿嘿。				7	1.1				135008;136008		0;200101			20;27		1																					136008;135008	45;0											1	小曼	Mandy	マンディー	맨디	แมนดี้						那個……是剛剛查找的資料啦，嘿嘿。	Heh, that's just from the research I did earlier.	実は……さっき調べてたの、ふふ。	그... 방금 검색한 정보야, 헤헤	เอ๊ะ​...​ คะ​...​คือ​ว่า​ พอดี​ว่า​เพิ่ง​ไป​ค้นหา​ข้อมูล​มา​น่ะ​ค่ะ​ ฮี่ฮี่​															
35	36			小曼	好想和店长一起守岁啊。店长不在，总感觉连贝克猫爷变得冷清起来了。				7	1.1				135008;136008		200401;0	0;100401		20;27		1																					0;135008	45;0											1	小曼	Mandy	マンディー	맨디	แมนดี้						好想和店長一起守歲啊。店長不在，總感覺連貝克貓爺變得冷清起來了。	I really wish I could ring in the new year with the Manager. Without them here, even the Baker's Cafe feels a bit lackluster.	店長と一緒に年ごもりをしたいよ。店長がいなくて、なんだかベイカーキャットまで寂しくなってきた気がする。	점장님이랑 같이 새해 보내고 싶다... 점장님이 없으니까 베이커캣도 썰렁한 느낌이야	อยาก​อยู่​จน​ดึก​กับ​คุณ​ผู้จัดการ​จัง​ พอ​คุณ​ผู้จัดการ​ไม่​อยู่​ รู้สึก​ว่า​ขนาด​เบเกอร์​คาเฟ่​ที่​มักจะ​ครึกครื้น​ก็​เงียบเหงา​ไป​หมด​เลย​															
36	37			小白	下午客满的时候，你可不是这么说的。				7	1.1				135008;136008		200401;0	0;100401		20;27		1			18:card_icon_108008_6	1																	1;1	45;0											1	小白	Shiro	シロ	화이트	ชิโระ						下午客滿的時候，你可不是這麼說的。	But you weren't saying that when we were packed to the brim earlier today!	午後満席になったときは違うことを言いましたね。	오후에 손님이 몰려오면 그렇게 얘기할 수 없을 텐데...	ช่วง​บ่าย​ที่​ลูกค้า​เต็ม​ร้าน​ เธอ​ไม่​ได้​พูด​แบบนี้​นะคะ​															
37	38			小曼	小白姐！那个，人家说的冷清，是一种感觉啦！				7	1.1				135008;136008		0;200101	100901;100401		20;27		1																						45;0											1	小曼	Mandy	マンディー	맨디	แมนดี้						小白姐！那個，人家說的冷清，是一種感覺啦！	Come on, Shiro! I meant the emotional vibe, not the actual situation!	シロさん！さ、寂しいというのは、勘ですよ！	화이트 언니! 썰렁하다는 건, 그냥 느낌이 그렇다고요!	พี่​ชิ​โระ​!​ นะ​...​นั่น​มัน​ ความ​เงียบเหงา​ที่​พูดถึง​เป็น​แค่​ความรู้สึก​ต่างหาก​ล่ะ​คะ​!​															
38	39			小白	那我只能说，你的感觉并非客观事实。目前我们的人数足够多，各位的呼吸已经影响到餐厅的空气质量了。				7	1.1				135008;136008		0;200101	100901;0		20;27		1			18:card_icon_108008_2	1																		45;0											1	小白	Shiro	シロ	화이트	ชิโระ						那我只能說，你的感覺並非客觀事實。目前我們的人數足夠多，各位的呼吸已經影響到餐廳的空氣品質了。	Your feelings don't reflect reality. We have more than enough people here; your collective breathing is already affecting the air quality.	だから、あなたの勘は客観的じゃありません。今のところ、人は十分に多いから、皆さんの呼吸はもうレストランの空気の質に影響しているのです。	그게 객관적 사실은 아니라는 말밖에 할 수 없네. 레스토랑 대기질에 영향을 줄 정도로 이미 북적거리는 게 사실이니까...	งั้น​ชิ​โระคง​ต้อง​บอ​กว่า​ ความรู้สึก​ของ​เธอ​ไม่​ได้​สะท้อน​ออก​มาจาก​ความจริง​ที่​แท้จริง​ ใน​ตอนนี้​ จำนวน​คน​ของ​เรา​มี​มาก​พอควร​ การ​หายใจ​ของ​ทุกคน​จึง​เริ่ม​ส่งผล​ต่อ​คุณภาพ​อากาศ​ภายใน​ร้าน​แล้ว​ล่ะ​ค่ะ​															
39	40		11						5	1.1	2			103008;104003		200401;0			20;27		1						sfx_chapter1_ganbei																45;0											1																														
40	41			南弥生	哈哈哈，不愧是你啊，小白！来，再陪我喝一杯！				5	1.1				103008;104003		0;200101	0;100201		20;27		1																					104003;0	45;0											1	南彌生	Minami	南　弥生	미나미	มินามิ						哈哈哈，不愧是你啊，小白！來，再陪我喝一杯！	Haha, that's Shiro for you! Come on, have another drink with me!	ハハハ、さすが君、シロ！さあ、もう一杯付き合って！	하하하, 역시 화이트답다니까! 자, 같이 한잔해!	ฮ่า​ฮ่า​ฮ่า​ สม​แล้ว​ที่​เป็น​เธอ​จริงๆ​ เลย​นะ​ ชิ​โระ​!​ มา​สิ​ มา​ดื่ม​กับ​ฉัน​อีก​สัก​แก้ว​!​															
41	42			小白	哼，我不跟醉酒者争执。				5	1.1				103008;104003		201001;200101	0;100201		20;27		1			18:card_icon_108008_6	1																	104003;0	45;0											1	小白	Shiro	シロ	화이트	ชิโระ						哼，我不跟醉酒者爭執。	Hmph, I don't argue with the inebriated.	ふん、酔っぱらいと言い争う気はありません。	흥, 취객과는 말을 섞지 않는데...	หึ​ ชิ​โระ​ไม่​มา​นั่ง​ทะเลาะ​กับ​คนเมา​หรอก​ค่ะ​															
42	43			敲门声	扣扣扣——				5	1.1				103008;104003		200501;200201	0;100201		20;27		1						sfx_story_02_qiaomen															1;1	46;2											1	敲門聲	Knock On the Door	ノックの音	노크 소리	เสียงเคาะประตู						扣扣扣——	Knock, knock—	コココ——	똑똑똑—	ก๊อก ก๊อก ก๊อก—															
43	44			小曼	咦？这个时候过来，会是谁呀？				5	1.1				103008;104003		200401;200101	0;100201		20;27		1			18:npc_icon_597_7	1																	1;1	46;2											1	小曼	Mandy	マンディー	맨디	แมนดี้						咦？這個時候過來，會是誰呀？	Hm? I wonder who that could be at this hour?	あれ？誰でしょう、こんな時に…	응? 이 시간에 누구지?	เอ๊ะ​?​ ใคร​กัน​นะ​ มาหา​ใน​เวลา​แบบนี้​?​															
44	45			特莉丝	或许是小音内特他们过来了。之前通过电话，说是今晚想要一起守岁呢。				5	1.1				103008;104003		200101;200101			20;27		1																					1;1	43;2											1	特莉絲	Triss	トリス	트리스	ทริส						或許是小音內特他們過來了。之前通過電話，說是今晚想要一起守歲呢。	It's probably Poppy and Nate—they mentioned wanting to join us for the New Year's vigil.	イナやネイトたちが来たのかしら。この前電話で、今夜は一緒に年ごもりをしたいと言ってましたわ。	이나와 네이트일지도 모르겠네. 아까 전화했는데, 한 살 더 먹는 걸 기념할 거라고 하던데...	บางที​อาจจะ​เป็น​อิ​นะ​กับ​เนท​ล่ะ​มั้ง​คะ​ ก่อนหน้านี้​คุย​กับ​พวกเขา​ทาง​โทรศัพท์​ว่า​คืนนี้​อยาก​มา​อยู่​ด้วยกัน​ให้​ดึก​ๆ​ ไป​เลย​															
45	46		11						5	1.1	2			102008;103008;104003		0;200501;200101	10205;0;0		13;20;27		1					-1	sfx_story_01_fengling		sfx_story_01_tingxia													103008;102008;102008	43;2											1																														
