id	roleID	roletype	cardID	skinId	targetNum	given	displayOrder	time	voicecode	ladyVoicecode	type	priority	showInBook	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desk	desk_zh_TW	desk_en_UK	desk_ja_JP	desk_ko_KR	desk_th_TH	ladyDesk	ladyDesk_zh_TW	ladyDesk_en_UK	ladyDesk_ja_JP	ladyDesk_ko_KR	ladyDesk_th_TH
25	101	3	101008		0			0	vo_hello_101008_01	vo_hello_101008_01	1	2	1	1	打招呼1	打招呼1	Greeting 1	挨拶1	인사1	ทักทาย 1	想试试自由式轮滑吗？不用担心摔倒，我会在旁边保护你。	想試試自由式輪滑嗎？不用擔心摔倒，我會在旁邊保護你。	Interested in freestyle skating? No worries, I'll make sure you don't fall.	ローラースケートに挑戦してみませんか？転ぶ心配はしなくて大丈夫ですよ、私がそばで守りますから。	프리 스케이트 타볼래? 옆에 있어 줄 테니까 넘어질까 봐 걱정하지 않아도 돼	อยาก​ลอง​เล่น​โรล​เลอร์​เบล​ด​แบบ​ฟรีสไตล์​ไหม​คะ​?​ ไม่ต้อง​กลัว​ล้ม​หรอก​ ฉัน​จะ​คอย​ระวัง​ให้​เอง​	想试试自由式轮滑吗？不用担心摔倒，我会在旁边保护你。	想試試自由式輪滑嗎？不用擔心摔倒，我會在旁邊保護你。	Interested in freestyle skating? No worries, I'll make sure you don't fall.	ローラースケートに挑戦してみませんか？転ぶ心配はしなくて大丈夫ですよ、私がそばで守りますから。	프리 스케이트 타볼래? 옆에 있어 줄 테니까 넘어질까 봐 걱정하지 않아도 돼	อยาก​ลอง​เล่น​โรล​เลอร์​เบล​ด​แบบ​ฟรีสไตล์​ไหม​คะ​?​ ไม่ต้อง​กลัว​ล้ม​หรอก​ ฉัน​จะ​คอย​ระวัง​ให้​เอง​
26	101	3	101008		0			0	vo_hello_101008_02	vo_hello_101008_02	1	2	1	1	打招呼2	打招呼2	Greeting 2	挨拶2	인사2	ทักทาย 2	走吧，夜巡时间到了。嗯？我没走错方向，从窗户出去更快。	走吧，夜巡時間到了。嗯？我沒走錯方向，從窗戶出去更快。	Come on, it's time for the Nightly Patrol. Hmm? No, I didn't get lost. I just took a faster route through the window.	行きましょう、夜間パトロールの時間です。いえ、間違ってませんよ、窓から出た方が早いです。	가자, 야간 순찰 시간이야. 응? 이쪽이 맞아. 창문으로 나가면 더 빠르니까	ไป​กัน​เถอะ​ค่ะ​ ถึง​เวลา​ลาดตระเวน​ตอนกลางคืน​แล้ว​ อืม​?​ ฉัน​ไม่​ได้​เดิน​ผิดทาง​นะ​ ออก​ทาง​หน้าต่าง​เร็ว​กว่า​น่ะ​	走吧，夜巡时间到了。嗯？我没走错方向，从窗户出去更快。	走吧，夜巡時間到了。嗯？我沒走錯方向，從窗戶出去更快。	Come on, it's time for the Nightly Patrol. Hmm? No, I didn't get lost. I just took a faster route through the window.	行きましょう、夜間パトロールの時間です。いえ、間違ってませんよ、窓から出た方が早いです。	가자, 야간 순찰 시간이야. 응? 이쪽이 맞아. 창문으로 나가면 더 빠르니까	ไป​กัน​เถอะ​ค่ะ​ ถึง​เวลา​ลาดตระเวน​ตอนกลางคืน​แล้ว​ อืม​?​ ฉัน​ไม่​ได้​เดิน​ผิดทาง​นะ​ ออก​ทาง​หน้าต่าง​เร็ว​กว่า​น่ะ​
27	101	3	101008		1			0	vo_touch_101008_01	vo_touch_101008_01	2	2	1	1	主界面触碰1	主介面觸碰1	Main Screen Interaction 1	タッチ1	메인 화면 터치1	สัมผัสหน้าหลัก 1	专注地追逐目标时就会忘记一切烦恼。这种接近于自由的感觉，我很喜欢……	專注地追逐目標時就會忘記一切煩惱。這種接近于自由的感覺，我很喜歡……	Focusing on a target makes me forget all my worries. I love that feeling, it's like freedom in its purest form...	ターゲットを夢中に追いかけている時、全ての悩みを忘れられます。自由になれた感じがして、とても好きです……	목표를 쫓는 데 집중하다 보면 잡념이 모두 사라져. 자유에 한 발 가까워지는 듯한 느낌... 그게 너무 좋아...	ตอนที่​มุ่งมั่น​ไล่ตาม​เป้าหมาย​ มัน​ทำให้​ฉัน​ลืม​ความกังวล​ทั้งหมด​ ความรู้สึก​ใกล้เคียง​กับ​อิสระ​แบบนี้​...​ ฉัน​ชอบ​มัน​นะ​	专注地追逐目标时就会忘记一切烦恼。这种接近于自由的感觉，我很喜欢……	專注地追逐目標時就會忘記一切煩惱。這種接近于自由的感覺，我很喜歡……	Focusing on a target makes me forget all my worries. I love that feeling, it's like freedom in its purest form...	ターゲットを夢中に追いかけている時、全ての悩みを忘れられます。自由になれた感じがして、とても好きです……	목표를 쫓는 데 집중하다 보면 잡념이 모두 사라져. 자유에 한 발 가까워지는 듯한 느낌... 그게 너무 좋아...	ตอนที่​มุ่งมั่น​ไล่ตาม​เป้าหมาย​ มัน​ทำให้​ฉัน​ลืม​ความกังวล​ทั้งหมด​ ความรู้สึก​ใกล้เคียง​กับ​อิสระ​แบบนี้​...​ ฉัน​ชอบ​มัน​นะ​
28	101	3	101008		1			0	vo_touch_101008_02	vo_touch_101008_02	2	2	1	1	主界面触碰2	主介面觸碰2	Main Screen Interaction 2	タッチ2	메인 화면 터치2	สัมผัสหน้าหลัก 2	唔？！……是你啊调查官。	咦？！……是你啊調查官。	Hm? Oh, Inspector.	んあッ！調査官？！	엇? ! ...조사관이구나	เอ๋​?!...​ อ๋อ​ ผู้ตรวจการ​นี่เอง​	唔？！……是你啊调查官。	咦？！……是你啊調查官。	Hm? Oh, Inspector.	んあッ！調査官？！	엇? ! ...조사관이구나	เอ๋​?!...​ อ๋อ​ ผู้ตรวจการ​นี่เอง​
29	101	3	101008		1			0	vo_touch_101008_03	vo_touch_101008_03	2	2	1	1	主界面触碰3	主介面觸碰3	Main Screen Interaction 3	タッチ3	메인 화면 터치3	สัมผัสหน้าหลัก 3	嗯？今天的衣服和昨天一样？不，并不是同一件。	嗯？今天的衣服和昨天一樣？不，並不是同一件。	Hmm? Why am I wearing yesterday's clothes again, you ask? No, it's not the same outfit.	えっ？昨日と服装が一緒？いいえ、違う服ですよ。	응? 어제랑 옷이 똑같다고? 아니, 다른 옷이야	หืม​?​ วันนี้​ใส่​ชุด​เดียว​กับ​เมื่อวาน​เหรอ​คะ​?​ เปล่า​นะ​ ไม่​ใช่​ตัว​เดียวกัน​หรอก​	嗯？今天的衣服和昨天一样？不，并不是同一件。	嗯？今天的衣服和昨天一樣？不，並不是同一件。	Hmm? Why am I wearing yesterday's clothes again, you ask? No, it's not the same outfit.	えっ？昨日と服装が一緒？いいえ、違う服ですよ。	응? 어제랑 옷이 똑같다고? 아니, 다른 옷이야	หืม​?​ วันนี้​ใส่​ชุด​เดียว​กับ​เมื่อวาน​เหรอ​คะ​?​ เปล่า​นะ​ ไม่​ใช่​ตัว​เดียวกัน​หรอก​
30	101	3	101008		3			0	vo_touch_101008_04	vo_touch_101008_04	2	2	1	1	主界面触碰4	主介面觸碰4	Main Screen Interaction 4	タッチ4	메인 화면 터치4	สัมผัสหน้าหลัก 4	我喜欢呆在高处……可以第一时间看到你。	我喜歡呆在高處……可以第一時間看到你。	I love hanging out in high places... because from there, I can spot you right away when you approach.	高い所にいるのが好きです……すぐにあなたを見つけられるから……	난 높은 곳이 좋아... 내가 제일 먼저 널을 볼 수 있으니까요.	ฉัน​ชอบ​อยู่​ที่สูง​ๆ​...​ จะ​ได้​เห็น​คุณ​ก่อน​ใคร​	我喜欢呆在高处……可以第一时间看到你。	我喜歡呆在高處……可以第一時間看到你。	I love hanging out in high places... because from there, I can spot you right away when you approach.	高い所にいるのが好きです……すぐにあなたを見つけられるから……	난 높은 곳이 좋아... 내가 제일 먼저 널을 볼 수 있으니까요.	ฉัน​ชอบ​อยู่​ที่สูง​ๆ​...​ จะ​ได้​เห็น​คุณ​ก่อน​ใคร​
31	101	3	101008		6			0	vo_touch_101008_05	vo_touch_101008_05	2	2	1	1	主界面触碰5	主介面觸碰5	Main Screen Interaction 5	タッチ5	메인 화면 터치5	สัมผัสหน้าหลัก 5	调查官的话……没问题。	調查官的話……沒問題。	If it's you, Inspector... I'd be delighted.	調査官なら……いいですよ。	조사관이라면... 괜찮아	ถ้า​เป็น​ผู้ตรวจ​กา​ร.​..​ ก็​ไม่​มีปัญหา​	调查官的话……没问题。	調查官的話……沒問題。	If it's you, Inspector... I'd be delighted.	調査官なら……いいですよ。	조사관이라면... 괜찮아	ถ้า​เป็น​ผู้ตรวจ​กา​ร.​..​ ก็​ไม่​มีปัญหา​
32	101	3	101008		0			0	vo_get_card_101008	vo_get_card_101008	14	2	1	1	获得武装	獲得武裝	Obtain Combatant	武装獲得	뽑기로 전투원 획득	ได้รับตัวละคร	小心！站我身后。	小心！站我身後。	Watch out! Stay behind me.	気をつけて！私の後ろに。	조심해! 내 뒤로 따라와	ระวัง​!​ มา​อยู่​ข้างหลัง​ฉัน​ไว้​	小心！站我身后。	小心！站我身後。	Watch out! Stay behind me.	気をつけて！私の後ろに。	조심해! 내 뒤로 따라와	ระวัง​!​ มา​อยู่​ข้างหลัง​ฉัน​ไว้​
33	101	3	101008		0			0	vo_touch_card_101008	vo_touch_card_101008	15	2	1	1	养成触摸	養成觸摸	Interaction	養成タッチ	터치 리액션	สัมผัสการพัฒนา	和你一起，我就能做到一切。	和你一起，我就能做到一切。	With you by my side, I feel invincible.	あなたと一緒にいれば、私はなんでもできる。	너와 함께라면, 뭐든 할 수 있어	ถ้า​มี​คุณ​อยู่​ด้วย​ ฉัน​ทำได้​ทุกอย่าง​	和你一起，我就能做到一切。	和你一起，我就能做到一切。	With you by my side, I feel invincible.	あなたと一緒にいれば、私はなんでもできる。	너와 함께라면, 뭐든 할 수 있어	ถ้า​มี​คุณ​อยู่​ด้วย​ ฉัน​ทำได้​ทุกอย่าง​
34	101	3	101008		0			0	vo_levelup_101008	vo_levelup_101008	3	2	1	1	升级成功	升級成功	Upgrade Successful	レベルアップ	레벨 업	อัปเกรดสำเร็จ	嗯，轮滑升级完成！	嗯，輪滑升級完成！	Perfect! Upgraded roller skates for a smoother ride.	うん。スケートシューズは完璧に調整された。	음, 스케이트 레벨 업 완료!	อืม​ อัปเกรด​โรล​เลอร์​เบล​ด​เสร็จ​แล้ว​!​	嗯，轮滑升级完成！	嗯，輪滑升級完成！	Perfect! Upgraded roller skates for a smoother ride.	うん。スケートシューズは完璧に調整された。	음, 스케이트 레벨 업 완료!	อืม​ อัปเกรด​โรล​เลอร์​เบล​ด​เสร็จ​แล้ว​!​
