id	storyId	groupId	people	jumpId	choiceOneId	choiceTwoId	choiceThreeId	faceId	action	time	music	sound	voice	voiceLady	end	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
10	2	3	1	4												1	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	调查官你应该见到港口那边那个巨大的新曜灯了吧，到时候居民们还会提着小的新曜灯围着它举行仪式，最后再点燃那个巨型新曜灯进行祈愿。	調查官你應該見到港口那邊那個巨大的新曜燈了吧，到時候居民們還會提著小的新曜燈圍著它舉行儀式，最後再點燃那個巨型新曜燈進行祈願。	You saw that huge lantern at the harbor, right? The locals carry small ones to hold a ceremony around it. Then, they light the huge lantern and make wishes.	調査官、港の方にあるあの巨大な新曜灯、見たよね？あとで住民のみんなが小さな新曜灯を手に、その周りで儀式をして、最後にあの大きな灯りに火を灯して願い事をするんだよ。	너도 항구 쪽에 있는 엄청 큰 신요등 봤지? 좀 있다가 여기 주민들이 작은 신요등을 들고 의식을 진행할 건데, 마지막에 저 거대한 신요등에 불을 붙이고 소원을 빌 거야.	ผู้ตรวจการ​ ได้​เห็น​โคม​เหยา​อัน​ยักษ์​ที่​ท่าเรือ​แล้ว​ใช่​มั้ย​ เดี๋ยว​พอ​ถึง​เวลา​ ชาวเมือง​ก็​จะ​ถือ​โคม​เหยา​อัน​เล็ก​ๆ​ ไป​ล้อมรอบ​มัน​เพื่อ​ประกอบ​พิธี​ และ​ใน​ตอน​สุดท้าย​ ก็​จะ​จุด​โคม​เหยา​ยักษ์​นั่น​เพื่อ​อธิษฐาน​ขอพร​ไง​ล่ะ​
11	2	4	2	5												1	我	我	You	調査官	나	ฉัน	感觉阵仗很大呢……	感覺陣仗很大呢……	Such a big event…	ずいぶん賑やかだね……	규모가 엄청날 것 같네..	ฟัง​ดู​เป็น​พิธี​ที่​จัด​ใหญ่โต​เอาเรื่อง​เลย​นะ​...​
12	2	5	1	6				200101								1	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	那是，毕竟新曜庆典可是这里最重要的节日之一~\n好啦！别磨蹭了，快来不及了！对了，调查官别忘了在点燃新曜灯的时候许愿哦！	那是，畢竟新曜慶典可是這裡最重要的節日之一~\n好啦！別拖拖拉拉了，快來不及了！對了，調查官別忘了在點燃新曜燈的時候許願哦！	That's right! This is one of the most important local festivals.\nQuick, follow me! And don't forget to light your lantern to make a wish!	でしょ？新曜祭は、ここでは一番大事な祝日だからね〜ほらほら、ぐずぐずしてると間に合わないよ！それから調査官、灯りを点けるときに願い事するの、忘れちゃだめだからね！	당근이지. 신요제는 이곳에서 가장 중요한 축제 중 하나니까~ 자, 이제 그만 꾸물거리고 서두르자고 지각하겠어! 그리고 신요등에 불 붙일 때 소원 비는 거 꼭 잊지말고!	แหง๋​อยู่แล้ว​ เพราะ​เทศกาล​สุริยัน​ก็​เป็นหนึ่ง​ใน​เทศกาล​ที่​สำคัญ​ที่สุด​ของ​ที่นี่​เลย​นี่​นา​~​\nเอาล่ะ​!​ เลิก​ยืน​บื่อ​ได้​แล้ว​ เดี๋ยว​จะ​ไม่​ทัน​เอา​นะ​!​ อ้อ​แล้วก็​ ผู้ตรวจการ​ อย่า​ลืม​อธิษฐาน​ขอพร​ใน​ตอนที่​จุด​โคม​เหยา​ด้วย​ล่ะ​!​
13	2	6	1					201301							1	1	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	在那时候许下的所有愿望，都一定会实现的！	在那時候許下的所有願望，都一定會實現的！	Everyone's wishes will definitely come true!	そのときの願い事は、全部叶うんだから！	그때 빌었던 소원은 반드시 이루어질 테니까!	คำอธิษฐาน​ทั้งหมด​ที่​ขอ​ไป​ใน​ช่วง​นั้น​ จะ​ต้อง​กลาย​เป็นจริง​แน่นอน​เลย​ล่ะ​!​
14	3	1	2	2												1	我	我	You	調査官	나	ฉัน	我看这次委托我们调查的人是博士你们的熟人，所以就想来问问情况。	我看這次委託我們調查的人是博士你們的熟人，所以就想來問問情況。	I wanted to ask you for some details, Dr. Yunpei. It appears that the one who gave us the commission this time is your acquaintance.	今回の依頼人、博士たちの知り合いみたいだったから、ちょっと聞いてみたいことがあってさ。	이번에 우리에게 조사를 의뢰한 사람이 너랑 아는 사이인 것 같아서, 잠깐 뭐 좀 물어보려고 왔어.	ฉัน​เห็น​ว่า​คน​ที่​ว่าจ้าง​ให้​เรา​สืบสวน​ใน​ครั้งนี้​ เป็น​คนรู้จัก​ของ​พวก​เธอ​น่ะ​ เพราะ​งั้น​ก็​เลย​อยาก​จะ​ถาม​รายละเอียด​สักหน่อย​
15	3	2	1	3				200101								1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	你是说盈儿吗？	你是說盈兒嗎？	Oh, you mean Ying?	ミチルのことですか？	영아를 말하는 거야?	คุณพูดถึงหยิงงั้นเหรอคะ?
16	3	3	2	4												1	我	我	You	調査官	나	ฉัน	嗯，没错，我有些好奇如果错时沙漏是这么重要的东西，为什么会交给一个如此年轻的小女孩？	嗯，沒錯，我有些好奇如果錯時沙漏是這麼重要的東西，為什麼會交給一個如此年輕的小女孩？	Yes. I wondered, seeing as the Time-bending hourglass is so very important. Why is it entrusted to someone so young?	そう。「錯時の砂時計」ほど重要なものを、どうしてあんなに小さな女の子に任せたのか、少し気になって。	응 맞아. 그리고 궁금한 게 있는데, 만약 '모래시계'가 그렇게 중요한 물건이라면, 어째서 어린 소녀에게 맡겼을까?	อื้ม​ ใช่​แล้ว​ล่ะ​ ฉัน​แค่​สงสัย​นิดหน่อย​ว่า​ถ้า​นาฬิกา​ข้าม​เวลา​มัน​สำคัญ​ขนาด​นั้น​ แล้ว​ทำไม​ถึง​ได้​เอา​ไป​ให้​เด็กสาว​ที่​ยัง​อายุ​น้อย​เป็น​คน​เก็บ​เอาไว้​ล่ะ​?​
17	3	4	1	5				200801								1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	之前也和调查官你提起过，我们和盈儿是逸世山庄的同门。\n盈儿从小就天资过人，对鉴定和修复都有着很高的悟性。只是资历尚浅，但同辈之中已无出其右。	之前也和調查官你提起過，我們和盈兒是逸世山莊的同門。\n盈兒從小就天資過人，對鑑定和修復都有著很高的悟性。只是資歷尚淺，但同輩之中已無出其右。	I told you before, we and Ying went to school together at Yore Manor. Ying has always been gifted, particularly with identification and restoration. She is unmatched among her peers, despite her inexperience.	前にも調査官に話しましたけど、ミチルは私たちと同じ逸世山荘の学生で、子どもの頃から鑑定や修復の才覚に恵まれています。経験は浅いけれど、同世代の中では群を抜いています。	저번에 말했던 것처럼, 우리랑 영아는 일세산장(逸世山庄)의 동문이야. 영아는 어렸을 때부터 재능이 뛰어났고, 감정과 복원에 대한 통찰력이 높았어. 경험은 짧지만, 같은 동료들 중에 그 누구도 뛰어넘을 수 없을 정도였어.	ก่อนหน้านี้​ ฉัน​เอง​ก็​เคย​บอก​คุณ​ผู้ตรวจการ​ไป​แล้ว​นะคะ​ ว่า​พวกเรา​กับ​ห​ยิง​เป็น​ศิษย์​ร่วม​ตำหนัก​พ้น​โลกา​\nตั้งแต่​เด็ก​ ห​ยิง​เอง​ก็​มีพรสวรรค์​ที่​โดดเด่น​ ทั้ง​ด้าน​การ​ตรวจสอบ​และ​การซ่อมแซม​ ไม่​ว่า​จะ​เรื่อง​ไหน​มี​เธอ​ก็​เข้าใจ​มัน​เป็น​อย่าง​ดี​ แค่​ว่า​ประสบการณ์​ยังมี​ไม่​เยอะ​ แต่​ใน​หมู่​คนรุ่นเดียวกัน​แล้ว​ ก็​แทบ​ไม่​มี​ใคร​เทียบ​ได้​เลย​ค่ะ​
18	3	5	1	6				200101								1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	后来我们离开山庄后，联系也变少了……没想到盈儿她也离开去了九璃阁那里。\n据她所言，九璃阁和山庄也算世交，她过去也是为了磨练技艺。	後來我們離開山莊後，聯繫也變少了……沒想到盈兒她也離開去了九璃閣那裡。\n據她所言，九璃閣和山莊也算世交，她過去也是為了磨練技藝。	We lost touch after leaving the Manor. I never expected that she would go to the Antiquities Atrium after leaving school!\nShe said she went there to hone her skills.	その後、私たちが山荘を離れてからは連絡も少なくなって……まさかミチルも九璃閣に行ってたなんてね。本人の話だと、九璃閣と山荘は代々の付き合いがあって、技を磨くために移ったらしい。	우리가 산장을 떠난 후에는 연락이 점점 줄어들었지만.. 설마 영아도 구리각(九璃阁)으로 갔다니 의외였어. 영아한테 물었더니 구리각과 산장은 오래된 인연이 있어서, 기술을 연마하려고 갔다고 했었어.	หลังจากที่​พวกเรา​ออกจาก​ที่นั่น​มา​ ก็​ติดต่อกัน​น้อยลง​...​ ไม่​คิด​เลย​ว่า​ห​ยิง​เอง​ก็​จะ​ออกจาก​ที่นั่น​มา​ด้วย​ แถม​ยัง​ไป​อยู่​ที่​หอ​เก้า​รัตน์​อีก​\nตามที่​เธอ​บอก​มา​ หอ​เก้า​รัตน์​กับ​ตำหนัก​พ้น​โลกา​ก็​ถือเป็น​สหาย​เก่าแก่​ ที่​เธอ​ไป​อยู่​ที่นั่น​ ก็​เพื่อ​ฝึกฝน​ฝีมือ​ของ​ตัวเอง​เหมือนกัน​ค่ะ​
19	3	6	2												1	1	我	我	You	調査官	나	ฉัน	既然能得到博士你这样的评价，看来九璃阁的主人也有她的考量。	既然能得到博士你這樣的評價，看來九璃閣的主人也有她的考量。	With such high praise from you, I imagine the owner of Antiquities Atrium also has their own considerations.	博士がそこまで評価するなら、九璃閣の主にも考えがあってのことなんだろうね。	운비 박사한테 그런 평가를 받았다는 건, 구리각 주인도 신중하게 선택한 것 같네.	ใน​เมื่อ​เธอ​ว่า​อย่างนั้น​ ดูท่า​แล้ว​ เจ้าของ​หอ​เก้า​รัตน์​เอง​ก็​คงจะ​มีเหตุผล​ของ​เขา​เหมือนกัน​สิ​นะ​
20	4	1	2	2												1	我	我	You	調査官	나	ฉัน	看你一人在这坐了许久，不知道是不是有什么心事？	看你一人在這坐了許久，不知道是不是有什麼心事？	Hey, you've been out here alone for a while. Got something on your mind?	さっきから一人で座ってるみたいだけど、何か悩み事でもあるの？	너무 오랫동안 혼자 앉아있는 거 아니야? 혹시 걱정거리라도 있어?	เห็น​เธอ​นั่ง​อยู่​ตรงนี้​คนเดียว​มา​พักใหญ่​แล้ว​น่ะ​ มีเรื่อง​อะไร​ใน​ใจ​งั้น​เหรอ​?​
21	4	2	1	3				201301								1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	没什么，只是有段时间没有回来了，想好好看看这里罢了。	沒什麼，只是有段時間沒有回來了，想好好看看這裡罷了。	Not really, no. I've just been away for a while and wanted to get a good look.	いえ、何でもありません。しばらく戻ってこなかったから、ゆっくり眺めていただけです。	별거없어. 그냥 오랫동안 돌아오지 않았던 터라, 좀 더 둘러보고 싶었을 뿐이야.	ไม่​มี​อะไร​หรอก​ค่ะ​ ก็​แค่​ไม่​ได้​กลับมา​ที่นี่​นาน​แล้ว​ เลย​อยาก​ใช้เวลา​มองดู​วิว​ทิวทัศน์​ของ​ที่นี่​ให้​เต็มที่​สักหน่อย​น่ะ​ค่ะ​
22	4	3	2	4												1	我	我	You	調査官	나	ฉัน	也是，博士你们几乎一直都呆在在科搜部的研究室里，几乎没有空闲的时间。	也是，博士你們幾乎一直都呆在在科搜部的研究室裡，幾乎沒有空閒的時間。	I get that. You guys are always busy in the lab at the Science Research Division. No wonder you hardly have any free time!	そうだよね。博士たち、ほとんど科捜部の研究室にこもりきりで、なかなか時間が取れないもんね。	그렇긴하네. 너희는 거의 과학 수사부 연구실에만 있었어서, 시간적 여유가 없었겠지.	ก็​จริง​นะ​ พวก​เธอ​อยู่​กัน​แต่​ใน​ห้อง​วิจัย​ของ​แผนก​ค้นคว้า​ตลอด​เลย​ แทบจะ​ไม่​มี​เวลาว่าง​เลย​สิ​นะ​
23	4	4	1	5				200101								1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	嗯，所以每逢重要的节庆，我们都会尽量抽时间回来看看。	嗯，所以每逢重要的節慶，我們都會儘量抽時間回來看看。	Yeah, that's why we do our best to get back here for the festival.	ええ。ですから、こういう節目のときは、できるだけ戻るようにしています。	응, 그래서 명절마다 최대한 시간을 내서 돌아오려고 노력하고 있어.	ค่ะ​ เพราะ​งั้น​ ทุกครั้งที่​มี​เทศกาล​สำคัญ​ พวกเรา​ก็​จะ​พยายาม​หา​เวลา​กลับมา​ให้ได้​เลย​ค่ะ​
24	4	5	1	6				200801								1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	每当像这样看着这条熟悉的街道，我都会想起我们小时候的事情。\n只是和那时候不同，我们都已经长大了……	每當像這樣看著這條熟悉的街道，我都會想起我們小時候的事情。\n只是和那時候不同，我們都已經長大了……	Whenever I see this street again, it reminds me of when we were kids.\nExcept now, we're all grown up!	こうして、この懐かしい街を眺めてると、子どもの頃のことを思い出します。ですが、あの頃とは違って……私たちも、もう大人になりましたね。	이렇게 익숙한 거리를 볼 때마다, 어렸을 때 기억이 떠올라. 그때와는 달리, 이제 우리는 모두 성장했으니.. 그립기도 해.	พอได้​มอง​ถนน​สาย​ที่​คุ้นเคย​แบบนี้​ทำ​ไร​ ฉัน​ก็​มักจะ​นึกถึง​เรื่อง​สมัย​ที่​พวกเรา​ยัง​เด็ก​ๆ​\nแต่​มัน​ไม่​เหมือนกัน​ตอนนั้น​แล้ว​ เพราะ​ตอนนี้​พวกเรา​ทุกคน​ต่าง​ก็​เติบโต​ขึ้น​มา​กัน​หมด​แล้ว​...​
25	4	6	2	7												1	我	我	You	調査官	나	ฉัน	但对你们而言，这是无可替代的回忆啊。	但對你們而言，這是無可替代的回憶啊。	Yeah, irreplaceable memories for you!	でも、二人にとって、かけがえのない思い出なんだろう。	너희한테 있어서는 그 어떤 것으로도 바꿀 수 없는 소중한 추억이니까.	แต่​สำหรับ​พวก​เธอ​ นั่น​เป็น​ความทรงจำ​ที่​ไม่​มี​อะไร​มา​ทดแทน​ได้​เลย​นะ​
26	4	7	1	8				100101								1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	嗯，说的不错。\n这么说来，调查官难得来到望月城，有没有到处逛逛呢？	嗯，說的不錯。\n這麼說來，調查官難得來到望月城，有沒有到處逛逛呢？	That's true.\nIn any case, since you so rarely make it to Lunar City, have you had a chance to wander around and check it out?	ええ、その通りです。そういえば調査官、せっかく望月城に来ましたので、あちこち見て回りましたか？	맞는 말이야. 조사관은 어때? 어렵게 망월성(望月城)에 왔는데 여기저기 구경하고 있어?	ค่ะ​ คุณ​พูด​ได้​ถูกต้อง​เลย​\nว่าแต่​คุณ​ผู้ตรวจการ​ อุตส่าห์​มาถึง​เมือง​วัง​จันทร์​แล้ว​แบบนี้​ ได้​ไป​เดิน​เที่ยวเล่น​บ้าง​รึ​ยัง​คะ​?​
27	4	8	2	9												1	我	我	You	調査官	나	ฉัน	嗯，当然。港口那边有很多庆典特设的店铺和摊位，我买了很多特产回去给小队的大家。\n希望她们喜欢吧……	嗯，當然。港口那邊有很多慶典特設的店鋪和攤位，我買了很多特產回去給小隊的大家。\n希望她們喜歡吧……	Yes. There are so many stores and booths for the festival over by the harbor. I was able to buy a lot of local specialties to bring back to the Squad. I hope they like them!	うん、もちろん。港の方にお祭り限定のお店や屋台がたくさんあって、チームのみんなへのお土産をいっぱい買ったよ。気に入ってくれるといいけど……	물론이지. 항구 쪽에 전문점이랑 노점들이 많아서 여기 특산물들 구경도 하고 팀원들한테도 선물했어. 좋아했으면 좋겠네..	อื้ม​ แน่นอน​ แถว​ท่าเรือ​มี​ร้านค้า​กับ​แผงลอย​สุด​พิเศษ​ของ​งานเทศกาล​เยอะแยะ​เลย​ ฉัน​ซื้อ​ของ​ขึ้นชื่อ​กลับ​ไป​ฝาก​ทุก​คนใน​ทีม​ด้วย​ล่ะ​\nหวัง​ว่า​พวก​เธอ​จะ​ชอบ​กัน​นะ​...​
28	4	9	1					200101							1	1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	呵呵……大家会很高兴的。	呵呵……大家會很高興的。	Hah! Everyone will be very happy with them!	ふふ……きっと喜ぶと思いますよ。	흐흥.. 다들 분명 좋아할 거야.	หุหุ​...​ ทุกคน​จะ​ต้อง​ดีใจ​แน่นอน​ค่ะ​
29	5	1	2	2												1	我	我	You	調査官	나	ฉัน	被你看穿了啊……\n既然知道你开店，自然要来看看了。那么，有什么推荐商品吗？	被你看穿了啊……\n既然知道你開店，自然要來看看了。那麼，有什麼推薦商品嗎？	Ah, you caught me!\nI've wanted to come take a look at your shop since you opened it! What do you recommend?	見抜かれちゃったか……お店を出すって聞いたら、来てみたくなるよね。で、何かおすすめはある？	너무 잘 알고 있는 거 아니야? 네가 가게를 한다니까 당연히 구경하러 와야지. 추천해 줄 물건은 있어?	โดน​เธอ​มอง​ซะ​ทะลุปรุโปร่ง​เลย​สิ​นะเนี่ย​...​\nถ้า​รู้​อยู่แล้ว​ว่า​เธอ​เปิดร้าน​ ฉัน​ก็​ต้อง​แวะ​มา​ดู​สักหน่อย​อยู่​สิ​ ว่าแต่​มี​สินค้า​อะไร​แนะนำ​มั้ย​?​
30	5	2	1	3												1	铃	鈴	Linn	リン	린	ลินน์	当然，调查官你看，这是耀州人民最常用的珐琅香炉，在炉内撒上香料便会散发香气，还能舒缓情绪……小铃我也很喜欢哦！	當然，調查官你看，這是耀州人民最常用的琺瑯香爐，在爐內撒上香料便會散發香氣，還能舒緩情緒……小鈴我也很喜歡哦！	Oh, of course! Let's see, this is an enamel incense burner of the type common to the residents of Yaozhou. You can use it for soothing incense and herbs. Personally, I like it a lot!	もちろんあるよ、調査官さん。ほら、これは耀州の人たちがよく使う琺瑯の香炉だよ。中に香料を入れるといい香りが広がって、気持ちも落ち着くんだよ……リンも大好き！	물론이죠, 조사관님! 여기에 이건 요주(耀州) 주민들이 가장 많이 사용하는 법랑 향로라는 건데, 향로에서 향기가 퍼져서 기분이 편안해져요.	แน่นอน​สิ​คะ​ คุณ​ผู้ตรวจการ​เชิญ​ดู​นี่​ได้​เลย​ นี่​คือ​กระถางธูป​งาน​เคลือบ​ที่​ชาว​เหยา​โจว​นิยม​ใช้​กัน​มาก​ที่สุด​ เพียงแค่​โปรย​เครื่องหอม​ลง​ไป​ใน​เตา​ ก็​จะ​มี​กลิ่นหอม​ลอย​โชย​ออกมา​ แถม​ยัง​ช่วย​ให้​ผ่อน​คลายอารมณ์​ได้​ด้วย​นะคะ​...​ หนู​ลินน์​เอง​ก็​ยัง​ชอบ​สุด​ๆ​ เลย​นะ​!​
31	5	3	2	4												1	我	我	You	調査官	나	ฉัน	看得出来你很喜欢。\n不过，我很好奇如果你只是喜欢，把这些买下来就好，为什么要开这家店呢？	看得出來你很喜歡。\n不過，我很好奇如果你只是喜歡，把這些買下來就好，為什麼要開這家店呢？	I can see that!\nI wonder though, since you like them so much, why don't you just buy them for yourself? Why open a whole store?	本当に好きなのが伝わってくるよ。でも、ただ好きなら自分で買えばいいのに、どうしてお店を開いたの？	너도 이걸 좋아하는 게 보이네. 그런데 궁금한 게 좋아하는 거라면 사두면 될 텐데, 왜 가게를 열게 된 거야?	อ่า​ฮ่า​ ดูออก​เลย​ว่า​เธอ​ชอบ​มัน​มาก​\nแต่​ฉัน​ก็​อด​สงสัย​ไม่​ได้​อยู่ดี​นะ​ ว่า​ถ้า​แค่​ชอบ​ ก็​ซื้อ​เก็บ​ไว้​ใช้​เอง​ก็​น่าจะ​พอแล้ว​หนิ​ ทำไม​ถึง​มา​เปิดร้าน​ล่ะ​?​
32	5	4	1	5												1	铃	鈴	Linn	リン	린	ลินน์	当然，是为了赚钱了！\n嘻嘻~骗你的。	當然，是為了賺錢了！\n嘻嘻~騙你的。	To make money, of course!\nHee-hee…my little joke.	もちろん、お金儲けのためだよ！……えへへ、冗談だよ。	당연히 돈 벌려고 하는 거죠!... 는 농담입니다 히히~	แน่นอน​ว่า​เพื่อ​หาเงิน​ไง​ล่ะ​คะ​!​\nฮี่ฮี่​~​ ล้อเล่น​น่า​
33	5	5	1	6												1	铃	鈴	Linn	リン	린	ลินน์	想把自己喜欢的东西介绍给更多人，需要什么理由呢？\n再加上还可以赚钱，不是一举两得吗？	想把自己喜歡的東西介紹給更多人，需要什麼理由呢？\n再加上還可以賺錢，不是一舉兩得嗎？	Do I need a reason to share the things I love? Introducing new people to what I care about, and making money at the same time. Great, isn't it?	好きなものを、もっとたくさんの人に知ってもらいたいって思うのに、理由なんている？それに、お金も稼げるなら、一石二鳥だよね。	자기가 좋아하는 걸 더 많은 분들에게 소개하고 싶은데, 굳이 이유는 필요없죠. 게다가 돈도 벌 수 있으니, 일석이조 아닌가요?	ของ​ที่​ตัวเอง​ชอบ​ ก็​อยาก​แนะนำ​ให้​คนอื่น​ได้​รู้จัก​ไง​คะ​ ต้อง​มีเหตุผล​อะไร​ด้วย​เหรอ​?​\nยิ่งไปกว่านั้น​นะคะ​ มัน​ยัง​สามารถ​ทำ​เงินได้​อีกด้วย​ แบบนี้​ไม่​ใช่​ว่า​ได้ประโยชน์​สอง​ต่อ​เลย​เหรอ​คะ​เนี่ย​?​
34	5	6	2												1	1	我	我	You	調査官	나	ฉัน	还真像是你会说的话啊……	還真像是你會說的話啊……	That does sound like something you'd say!	本当に、リンらしい答えだね……	하하, 너답게 말하네.	สม​กับ​เป็น​คำพูด​จาก​ปาก​ของ​เธอ​จริงๆ​...​
