id	activityId	placeId	unlockRepaintingQuestId	type	pic	unlockLevel	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	sceneId	rounds	petLineup	roleNun	repeatButton	powerRatioTeamID	status	levelName	levelName_zh_TW	levelName_en_UK	levelName_ja_JP	levelName_ko_KR	levelName_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
1133204	1	102		1	173:activity_nokopara_chapter_configuration_8	1133203			1	40000					99	0	4	0	0	1	2-4	2-4	2-4	2-4	2-4	2-4	垃圾桶的一生	垃圾桶的一生	Trash Can's Life	ゴミ箱の一生	쓰레기통의 일생	ชีวิตของถังขยะ	透过空气中飘散的情绪粒子，众人看到了垃圾桶傀的一生。	透過空氣中飄散的情緒粒子，眾人看到了垃圾桶傀的一生。	As Pathos Particles dance in the air, everyone is granted a vision of the Trash Can Anomaly's life.	空に漂うエモーション粒子の影響で、ゴミ箱の傀の過去が見えてきた。	공기 중에 흩날리는 이모션 파티클을 통해 쓰레기통 퍼펫의 일생을 보게 된다	ทุกคน​ได้​เห็น​ชีวิต​ของ​ถังขยะ​หุ่นเชิด​ ผ่าน​อนุภาค​พา​โธส​ที่​ล่องลอย​ใน​อากาศ​
1133205	1	102		1	173:activity_nokopara_chapter_configuration_7	1133204			1	40000					99	0	4	0	0	1	2-5	2-5	2-5	2-5	2-5	2-5	制作情绪餐，可以吗？	製作情緒餐，可以嗎？	Make Pathos Cuisine, Shall We?	パトス料理に挑戦！	이모션 푸드를 만들어보는 건 어때?	ทำอาหารพาโธสได้ไหม?	垃圾桶傀事件深深触动了巧克力，让她萌发了学习制作情绪餐的想法。	垃圾桶傀事件深深觸動了巧克力，讓她萌發了學習製作情緒餐的想法。	The encounter with the Trash Can Anomaly deeply resonated with Chocola, sparking her interest in mastering the art of Pathos Cuisine cooking.	ゴミ箱事件にショコラは刺激され、パトス料理を作り始めると決めた。	쓰레기통 퍼펫 사건으로 생각이 많아진 쇼콜라는 이모션 푸드를 만들고 싶어진다	เหตุการณ์ถังขยะหุ่นเชิด​สะเทือนใจ​ช็อกโกล่า​อย่างมาก ​ทำให้​เธอ​อยาก​ที่จะ​หัดทำ​อาหาร​พาโธส​
1133301	1	103		2	173:activity_nokopara_chapter_configuration_12	1133205			1	50000	3000004	10		12202	99	0	4	0	0	1	3-1	3-1	3-1	3-1	3-1	3-1	有故事的客人	有故事的客人	An Enigmatic Customer	お客様、元気がない？	사연 있는 손님	ลูกค้าที่มีเรื่องราว	在三位猫娘的努力下，蛋糕店渐渐出名了。又到了打烊时间，一位精神状态不佳的客人引起了众人的注意。	在三位貓娘的努力下，蛋糕店漸漸出名了。又到了打烊時間，一位精神狀態不佳的客人引起了眾人的注意。	Thanks to the catgirls' efforts, the cake store gradually gained renown. As closing time nears, a customer in poor spirits catches everyone's attention.	三人の努力のおかげで、ケーキ屋は次第に有名になっていった。ある日、閉店時間になったが、みんなは一人の元気のないお客様に気付いた。	세 고양이 소녀의 노력으로 케이크 가게는 점차 유명해진다. 또 찾아온 마감 시간, 정신 상태가 온전하지 못한 손님 한 명이 모두의 시선을 끈다	ด้วยความพยายามของแมวสาวทั้งสาม ​ร้านเค้ก​จึง​ค่อยๆ ​มี​ชื่อเสียง​ขึ้นมา​\nวันนี้​ก็ถึง​เวลา​ปิด​ร้าน​อีกครั้ง​แล้ว ​แต่​ลูกค้า​คนหนึ่ง​ดูเหมือน​จะมี​สภาพ​จิตใจ​ไม่ค่อย​ดีนัก ​จึง​ดึงดูด​ความ​สนใจ​ของ​ทุกคน​
1133302	1	103		1	173:activity_nokopara_chapter_configuration_7	1133301			1	60000					99	0	4	0	0	1	3-2	3-2	3-2	3-2	3-2	3-2	写不出文章的情绪美食作家	寫不出文章的情緒美食作家	The Author Who Couldn't Write	文章の書けないエモーショングルメ作家	칼럼 게재를 멈춘 이모션 푸드 칼럼니스트	นักเขียน​อาหาร​พา​โธส​ที่​เขียน​บทความ​ไม่​ออก​	原来这位客人是一位著名的情绪美食作家——芬恩。在品尝过La Lune的蛋糕后，他低声惊呼起来……	原來這位客人是一位著名的情緒美食作家——芬恩。在品嘗過La Lune的蛋糕後，他低聲驚呼起來……	Upon tasting La Lune's cake, renowned Pathos Cuisine author, Fennel, softly exclaims in awe.	そのお客様は、有名なパトス料理グルメのフィンだった。 ケーキを試食した後、彼は驚いたように呟いた……	알고 보니 손님은 유명한 이모션 푸드 칼럼니스트 핀이었다.라 루네의 케이크를 맛본 뒤 핀은 나지막하게 탄성을 내뱉는데...	ที่แท้ลูกค้าคนนี้คือ ฟินน์ ​นักเขียนอาหารพาโธสชื่อดัง ​หลังได้​ลิ้มลอง​เค้ก​ที่ ​La Lune ​เขาก็​อุทาน​ขึ้นมา​เบาๆ​...​
1133303	1	103		1	173:activity_nokopara_chapter_configuration_14	1133302			1	60000					99	0	4	0	0	1	3-3	3-3	3-3	3-3	3-3	3-3	打烊前的客人	打烊前的客人	The Last Customer	閉店間際に駆けつけて来たのは？	영업 마감 직전의 손님	ลูกค้าก่อนปิดร้าน	一位四处寻找情绪餐的客人冲入La Lune，得知这里也不提供情绪餐后，她崩溃瘫坐在地……	一位四處尋找情緒餐的客人沖入La Lune，得知這裡也不提供情緒餐後，她崩潰癱坐在地……	A distressed customer in search of Pathos Cuisine caused a stir at La Lune, only to collapse upon learning it was unavailable.	パトス料理を探し回っている女性のお客様がさっと店に入ってきたが、ここはパトスレストランじゃないと教えられ、とてもがっかりした……	이모션 푸드를 찾아 헤매다 불쑥 라 루네로 들어온 손님, 이곳에서도 이모션 푸드를 시킬 수 없다는 걸 알자 휘청이며 바닥에 주저앉는데...	ลูกค้าที่ตามหาอาหารพาโธสไปทั่ววิ่งเข้ามาใน ​La Lune ​เมื่อ​รู้ว่า​ที่นี่​เอง​ก็​ไม่มี​อาหาร​พาโธส ​เธอ​ก็​ทรุดตัว​ลง​กับ​พื้น​ด้วย​ความ​สิ้นหวัง​...​
1133304	1	103		1	173:activity_nokopara_chapter_configuration_15	1133303			1	60000					99	0	4	0	0	1	3-4	3-4	3-4	3-4	3-4	3-4	不愿吃情绪餐的情绪病人	不願吃情緒餐的情緒病人	The Patient Who Refused Eating Pathos Cuisine	パトス料理を拒絶する情緒病患者	이모션 푸드를 먹고 싶지 않은 이모션리스 환자	ผู้ป่วย​พา​โธ​ซิ​ส​ที่​ไม่​ยอม​กิน​อาหาร​พา​โธส​	新来的客人认出了芬恩的身份，恳求芬恩帮她一个忙，劝一劝她的母亲——一位拒绝吃情绪餐的情绪病人。	新來的客人認出了芬恩的身份，懇求芬恩幫她一個忙，勸一勸她的母親——一位拒絕吃情緒餐的情緒病人。	Identifying Fennel, a girl implored his assistance in persuading her Pathosis-stricken mother to embrace Pathos Cuisine.	女性のお客様はフィンの正体を見抜き、彼女の母親ーーあるパトス料理を拒む患者を説得してほしいと懇願した。	새로 온 손님은 핀을 알아보고, 이모션 푸드 섭취를 거부하는 이모션리스 환자인 자기 어머니를 설득해달라고 부탁한다	ลูกค้า​ใหม่​จำ​ฟินน์​ได้​ ขอร้อง​ให้​เขา​ช่วย​พูด​กล่อม​แม่​ของ​เธอ​ -​ ผู้ป่วย​พา​โธ​ซิ​ส​ที่​ปฏิเสธ​จะ​กิน​อาหาร​พา​โธส​
1133305	1	103		2	173:activity_nokopara_chapter_configuration_16	1133304			1	60000	3000004	10		12301	99	0	4	0	0	1	3-5	3-5	3-5	3-5	3-5	3-5	不愿意的理由	不願意的理由	The Reason for Refusal	拒絶の理由	먹고 싶지 않은 이유	เหตุผลที่ไม่ยอม	芬恩答应了客人薇洛的请求，众人前往医院探视病人。一番波折之后，众人得知了病人拒绝吃下情绪餐的理由……	芬恩答應了客人薇洛的請求，眾人前往醫院探視病人。一番波折之後，眾人得知了病人拒絕吃下情緒餐的理由……	Fennel agrees to Vero's request. After overcoming hurdles, the group learns the patient's reason for rejecting Pathos Cuisine...	フィンはその要請を受け入れ、みんなと一緒に病院へ向かった。紆余曲折の末、患者がパトス料理を拒む理由がわかった……	핀은 손님인 윌로우의 부탁을 받아 사람들과 함께 병원에 면회를 간다. 우여곡절 끝에 환자가 이모션 푸드 섭취를 거부하는 이유를 알게 되는데...	ฟินน์​ตกลง​ตาม​คำขอ​ของ​วิ​ล​โลว์​ ทุกคน​ไป​เยี่ยม​แม่​ของ​วิ​ล​โลว์​ที่​โรงพยาบาล​ หลัง​ผ่าน​เรื่อง​วุ่นวาย​ ทุกคน​ก็ได้​รู้​เหตุผล​ที่​แม่​ของ​วิ​ล​โลว์​ไม่​ยอม​กิน​อาหาร​พา​โธส​...​
1133401	1	104		1	173:activity_nokopara_chapter_configuration_17	1133305			1	70000					99	0	4	0	0	1	4-1	4-1	4-1	4-1	4-1	4-1	心的食物	心的食物	Food of the Heart	心を込めた料理	마음의 음식	อาหารแห่งหัวใจ	面对眼前难以解开的困境，芬恩向众人讲述起一段曾经改变了他人生轨迹的经历……	面對眼前難以解開的困境，芬恩向眾人講述起一段曾經改變了他人生軌跡的經歷……	Confronted with this enigma, Fennel shared a profound experience that reshaped his life's course.	困難な状況に直面した際、フィンは仲間たちに、自分の人生を変えた経験について語り始めた。	해결하기 어려운 문제를 마주한 핀은 자신의 인생이 바뀐 이야기를 하기 시작하는데...	เมื่อต้องเผชิญกับปัญหาที่ดูเหมือนจะไร้ทางออก ​ฟินน์​เริ่มเล่า​เรื่องราว​ในอดีต​ที่​เปลี่ยนแปลง​ชีวิต​ของเขา​ไป​ตลอดกาล​...​
1133402	1	104		2	173:activity_nokopara_chapter_configuration_9	1133401			1	70000	3000004	10		18201	99	0	4	0	0	1	4-2	4-2	4-2	4-2	4-2	4-2	流动的情绪	流動的情緒	Flowing Pathos	伝わったよ、あなたの気持ち	움직이는 이모션	พาโธสที่หมุนเวียน	听完作家讲述的故事，三位猫娘决定尝试制作一份特别的情绪饮料……	聽完作家講述的故事，三位貓娘決定嘗試製作一份特別的情緒飲料……	Inspired by Fennel's story, the catgirls attempt to craft a special Pathos beverage...	作家の話を聞いた後、ショコラたちはエモーション飲料を作ることを決意した。	핀의 이야기를 들은 뒤 세 고양이 소녀는 특별한 이모션 음료를 만들기로 하는데...	หลังได้ฟังเรื่องเล่าจากนักเขียน ​สาวน้อย​ทั้งสาม​จึง​มุ่งมั่น​ที่จะ​สร้างสรรค์​เครื่องดื่ม​พาโธส​สูตร​พิเศษ​ขึ้นมา​...​
1133403	1	104		1	173:activity_nokopara_chapter_configuration_19	1133402			1	80000					99	0	4	0	0	1	4-3	4-3	4-3	4-3	4-3	4-3	两位妈妈	兩位媽媽	Two Mothers	母と娘	두 명의 엄마	คุณแม่สองคน	病人在不知情的情况下，喝下了这份特别的饮料。面对母女相拥的感人一幕，作家想起起了小时候的一件往事……	病人在不知情的情況下，喝下了這份特別的飲料。面對母女相擁的感人一幕，作家想起起了小時候的一件往事……	The patient consumes the special beverage without noticing anything unusual. Witnessing the tearful mother-daughter reunion evokes childhood memories of Fennel...	患者は知らずにエモーション飲料を飲み干した。母と娘が抱き合う感動的な場面を目にした作家は自分の幼少時代のある出来事を思い出した。	환자는 아무것도 모르는 상태에서 특별한 음료를 마신다. 모녀가 서로를 끌어안는 감동적인 장면을 보며 핀은 어린 시절 일을 떠올리고...	แม่​ของ​วิ​ล​โลว์​ได้​ดื่ม​เครื่องดื่ม​พิเศษ​นั้น​เข้าไป​โดยไม่รู้ตัว​ ภาพ​ของ​แม่​ลูก​ที่​โอบกอด​กัน​ตรงหน้า​ปลุก​ความทรงจำ​ใน​วัยเด็ก​ของ​นักเขียน​ให้​ผุด​ขึ้น​มา​...​
1133404	1	104		2	173:activity_nokopara_chapter_configuration_1	1133403			1	80000	3000004	10		12201	99	0	4	0	0	1	4-4	4-4	4-4	4-4	4-4	4-4	传递的真心	傳遞的真心	Heartfelt Bonds	以心伝心	전해진 진심	ส่งต่อความจริงใจ	离别的时刻总会到来。三位猫娘即将踏上回家的旅途，而她们的故事，将在新海市继续流传下去。	離別的時刻總會到來。三位貓娘即將踏上回家的旅途，而她們的故事，將在新海市繼續流傳下去。	Time to say goodbye. The catgirls prepare to return home, leaving tales in Catto City.	別れの時が来た。ショコラたちはは家路についた。彼女たちの新海市で語られつづけるだろう。	이별의 순간은 언제나 찾아온다. 세 고양이 소녀는 집으로 돌아가지만 그녀들의 이야기는 뉴오션 시티에서 계속 전해질 것이다	ถึงเวลาที่ต้องจากลากันแล้ว ​สาวน้อยทั้งสาม​กำลัง​จะ​ออก​เดินทาง​กลับบ้าน ​แต่​เรื่องราว​ของ​พวกเธอ​ จะ​ถูก​เล่าขาน​ใน​แคทโตะ ซิตี้ ​ต่อไป​อีก​นาน​แสน​นาน​
1133501	2	201		1	200:activity_mountain_chapter_configuration_2	0			1	15000					99	0	4	0	0	1	1-1	1-1	1-1	1-1	1-1	1-1	高山红茶	高山紅茶	High Mountain Black Tea	高山紅茶	고산 홍차	ชาดำจากยอดเขาสูง	众人在闻心茶社等待玉衡郡主，品尝了祈冲泡的高山红茶。金阙称可带众人三分钟来回，此时耀州特使到来，玉衡郡主来了。	眾人在聞心茶社等待玉衡郡主，品嘗了祈沖泡的高山紅茶。金闕稱可帶眾人三分鐘來回，此時耀州特使到來，玉衡郡主來了。	You all gathered at the Whispering Teahouse, sipping the fragrant High Mountain Black Tea brewed by Qi. Jinque mentioned she could shuttle the entire group to and from Yaozhou in just three minutes. Just then, the Yaozhou envoy arrived, and Princess Yuheng made her grand entrance.	皆は聞心茶社で玉衡郡主を待ちながら、祈がいれた高山紅茶を味わっていた。金闕は皆を三分間で耀州と新海市を往復できると話をしていると、耀州からの特使と玉衡郡主が到着した。	모두 문심 차관에서 옥형 군주를 기다리며 기가 내린 고산 홍차를 맛본다. 금궐은 자신은 3분이면 요주 타운을 오갈 수 있다는데... 그때, 요주 타운의 특사가 도착하고, 옥형 군주도 모습을 드러낸다	ทุกคน​รอคอย​เจ้าหญิง​อวี้เหิง​ที่​โรงน้ำชา​เห​วิน​ซิ​น​ พร้อม​ลิ้มรส​ชาดำ​ที่​ฉีชง​ให้​ จิน​เชน​เสนอ​ให้​นำ​ทุกคน​ไป​กลับ​ภายใน​สาม​นาที​ ขณะนั้น​เอง​ ทูต​แห่ง​เหยา​โจว​ก็​มาถึง​ และ​เจ้าหญิง​อวี้เหิง​ก็​มาถึง​เช่นกัน​
