eventId	storyId	npcId	type	randomId	unlockItem	eventWeight	eventUnlockWeight	isGuideEvent	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
1039	46	4	1		3000003	80	40		1	理想，纵然耀眼	理想，縱然耀眼	Ideals, Though Brilliant	理想が輝いても	눈 부신 이상	ความฝัน ยังคงเจิดจรัส
1040	49	4	1		5710002	80	40		1	快乐补剂	快樂補劑	Tonic of Joy	ハピネスサプリメント	즐거움 서플리먼트	ยาเติมความสุข
1041	50	4	1		6403009	80	40		1	吃不到的蛋糕	吃不到的蛋糕	Unreachable Cake	食べられないケーキ	못다 먹은 케이크	เค้กที่ไม่ได้กิน
1042	51	5	1			80	40	1	1	工资回流计划	工資回流計畫	Salary Reflow Program	給料回収計画	임금 회수 계획	แผนการ​เงินเดือน​ย้อนกลับ​
1043	52	5	1			80	40	1	1	超密级内幕	超密級內幕	Top-Secret Intel	極秘情報	극비 내막	ภายใน​ที่​มี​ความลึกลับ​มาก​ ๆ​
1044	53	5	1			80	40	1	1	错过的闪光	錯過的閃光	Missed Sparkle	見逃したフラッシュ	스쳐 지나간 섬광	แสงประกายที่พลาดไป
1045	54	5	1			80	40		1	疑心难破	疑心難破	Intractable Suspicion	迷いが晴れない	풀기 어려운 의심	สงสัยมากเกินไป
1046	55	5	1			80	40		1	通勤路上，危险重重	通勤路上，危險重重	Treacherous Journey to Work	危険な通勤路	위험 가득한 출근길	ระหว่าง​ที่​ใช้​ใน​การ​เดินทาง​ มี​อันตราย​มากมาย​
1047	56	5	1			80	40		1	绝对守护	絕對守護	Absolute Guardian	絶対守護	절대 수호	การปกป้องที่ดี
1048	57	5	1		5710013	80	40	1	1	仰望群山	仰望群山	Awe of Mountains	山々を仰ぐ	산을 우러러보다	เงยหน้ามองดูภูเขา
1049	58	5	1		5730003	80	40	1	1	当奢侈品堆满仓库	當奢侈品堆滿倉庫	Luxury Overload	奢侈品が倉庫を埋め尽くすとき	명품이 가득 찬 창고	เมื่อ​สิ่งของ​สิ้นเปลือง​กอง​เต็ม​โกดัง​
1050	59	5	1		5600002	80	40	1	1	全网无仿品	全網無仿品	No Counterfeits Online	唯一無二のモノ	넷 상에 가품이 없다	ทั้ง​เครือข่าย​ไร้​ของ​เลียนแบบ​
1051	60	5	1		5740001	80	40	1	1	与青涩时光重逢	與青澀時光重逢	Reunion with Youthful Times	若かりし頃との再会	청춘과의 재회	กลับมา​พบ​กับ​ช่วง​เยาว์วัย​อีกครั้ง​
1052	61	6	1			80	40	1	1	你在哪？电玩侠！	你在哪？電玩俠！	Where Are You, Gamer Hero?	ゲームマスター！どこ？	게임 히어로가 어디로 간 거지?	คุณอยู่ไหน? เกมเมอร์!
1053	62	6	1			80	40	1	1	眼前，一片灰暗……	眼前，一片灰暗……	Only Darkness in Front...	目の前は灰色一色……	눈앞이 깜깜해진다...	ตรงหน้า​ มี​แต่​ความมืด​...​
1054	63	6	1			80	40	1	1	珍宝！世界的珍宝！	珍寶！世界的珍寶！	Treasure of the World!	至宝！世界の至宝！	보물! 세계적인 보물!	สมบัติ ! สมบัติของโลก!
1055	64	6	1			80	40	1	1	绝不可能上当！	絕不可能上當！	Can't Be Tricked!	騙されるわけがない！	절대 속지 않을 거야!	เป็นไปไม่ได้​อย่าง​แน่นอน​!​
1056	65	6	1			80	40	1	1	梦想中的社团生活……	夢想中的社團生活……	Ideal Clan Life...	憧れの部活……	꿈꾸던 클럽 생활...	ชีวิตชมรมในฝัน...
1057	66	6	1			80	40		1	当职员来敲门	當職員來敲門	Staff at the Door	職員がノックをするとき	직원이 노크할 때	เมื่อ​พนักงาน​มา​เคาะ​ประตู​
1058	67	6	1		8000242	80	40		1	飞跃海洋馆	飛躍海洋館	Over the Aquarium	水族館を越えよう	아쿠아리움	พิพิธภัณฑ์​สัตว์​ทะเล​พุ่ง​ทะยาน​
1059	68	6	1		5730028	80	40		1	远道而来的香味	遠道而來的香味	Aroma from Afar	遠くからの香り	멀리서 퍼져온 향기	กลิ่นหอมจากที่ห่างไกล
1060	69	6	1		4103003	80	40		1	梦想，触不可及	夢想，觸不可及	Dreams, Out of Reach	手の届かない夢	닿을 수 없는 꿈	ความฝัน​ ไม่​อาจเอื้อม​ถึง​
1061	70	6	1		5720001	80	40		1	梦中的会面	夢中的會面	Meeting in Dreams	夢での出会い	꿈 속의 만남	เจอกันในฝัน
1062	71	7	1			80	40		1	跟踪者？！	跟蹤者？！	Stalker Alert!	ストーカー？！	스토커?!	คนแอบตาม?!
1063	72	7	1			80	40		1	因果关系	因果關係	The Chain of Events	因果関係	인과 관계	ความสัมพันธ์​ของ​เหตุ​และ​ผล​
1064	73	7	1			80	40		1	陌生人的关心	陌生人的關心	Unexpected Care	知らない人からの心配り	낯선 이의 관심	ความใส่ใจ​ของ​คนแปลกหน้า​
1065	74	7	1			80	40		1	轻症区的景色	輕症區的景色	General Ward's View	軽症エリアの景色	경증 구역의 풍경	บรรยากาศ​ของ​พื้นที่​ป่วย​อาการ​เบา​
1066	75	7	1			80	40		1	病入膏肓的是谁	病入膏肓的是誰	Who's Beyond Help?	重病なのは誰	중병에 걸린 사람은 누구?	ใครป่วยระยะสุดท้าย
1067	76	7	1			80	40		1	徒步千万里	徒步千萬裡	A Journey of Thousands of Miles	万里の道を歩く	걸어서 세계속으로	เดินเท้าหมื่นลี่
1068	77	7	1		5720005	80	40		1	独行者	獨行者	The Lone Wanderer	一匹狼	아웃사이더	ผู้ที่เดินทางคนเดียว
1069	78	7	1		5730015	80	40		1	樱之岛	櫻之島	Sakura Island	桜島	사쿠라지마	เกาะแห่งซากุระ
1070	79	7	1		4104022	80	40		1	真实的世界	真實的世界	The World as It Is	世界の素顔	진실의 세계	โลกแห่งความเป็นจริง
1071	80	7	1		4104023	80	40		1	关于她的记忆	關於她的記憶	Memories of Her	彼女との思い出	그녀에 대한 기억	ความทรงจำ​ที่​เกี่ยวกับ​เธอ​
1072	81	8	1			80	40		1	新海市地租分析案	新海市地租分析案	Catto City Rent Analysis Case	新海市における地代分析の事例	뉴오션 시티 부동산 분석	ราย​งานการ​วิเคราะห์​ค่าเช่า​ที่ดิน​ของ​เมือง​แค​ทโตะ​ ซิตี้​
1073	82	8	1			80	40		1	服饰大赏	服飾大賞	Fashion Show	衣装鑑賞会	패션 대상	ประกวดเครื่องแต่งกาย
1074	83	8	1			80	40		1	万叶会的邀请	萬葉會的邀請	Invitation to the Manyo Party	万葉会のお誘い	만엽회의 초대	คำเชิญของสมาคมมันโยะ
1075	84	8	1			80	40		1	维修的意义	維修的意義	The Meaning of Maintenance	メンテナンスの意味	수리의 의미	ความหมาย​ของ​การซ่อมแซม​
1076	85	8	1			80	40		1	射击游戏	射擊遊戲	Shooting Game	シューティングゲーム	사격 게임	เกมยิง
1077	86	8	1			80	40		1	工人偶像凯西酱	工人偶像凱西醬	Labor Star: Kathy	労働者たちのアイドル	근로자 아이돌 케이시 쨩	ไอดอลคนงานซอสเคซี่
1078	87	8	1		5730006	80	40		1	无氧运动与蛋白质最般配	無氧運動與蛋白質最般配	Protein for Exercise	無酸素運動にはプロテインが最適	근력 운동과 단백질은 최강의 조합	เวทเทรนนิ่งคู่กับโปรตีน
1079	88	8	1		4104012	80	40		1	仅此而已	僅此而已	And That's It	それだけ	겨우 이것 뿐	ก็เพียงเท่านี้
1080	89	8	1		5600019	80	40		1	牛奶还是全脂的好	牛奶還是全脂的好	Whole Milk is the Best	牛乳は全脂肪の方が良い	우유는 역시 전지 우유	นมวัวต้องมีไขมันถึงจะดี
1081	90	8	1		5730014	80	40		1	收徒？！	收徒？！	Apprentice Wanted?!	弟子入り？！	제자를 받는다고?!	รับลูกศิษย์?!
1082	91	9	1			80	40		1	演讲的学问I	演講的學問I	Mastering Speeches I	スピーチの学問I	연설의 학문I	ศาสตร์​ของ​การบรรยาย​ I​
1083	92	9	1			80	40		1	衰老	衰老	Aging	衰老	나이를 먹는다는 건	ชราภาพ
1084	93	9	1			80	40		1	演讲的学问II	演講的學問II	Mastering Speeches II	スピーチの学問II	연설의 학문II	ศาสตร์​ของ​การบรรยาย​ II​
1085	94	9	1			80	40		1	前辈的经验	前輩的經驗	Lessons from a Senior	先輩の経験	선배의 경험	ประสบการณ์ของรุ่นพี่
1086	95	9	1			80	40		1	虚设	虛設	Illusion	偽り	가설	สมมุติขึ้น
1087	96	9	1			80	40		1	人心不足蛇吞象	人心不足蛇吞象	Greed Knows No Bounds	人の欲望は底なし	욕심이 과하면 화를 부른다	คนโลภมากไม่รู้จักพอ
1088	97	9	1		5710007	80	40		1	约定	約定	Engagement	約束	약속	ข้อตกลง
1089	98	9	1		4104023	80	40		1	兼济天下	兼濟天下	Aiding All Under Heaven	救世	천하를 다스리다	ทำประโยชน์ให้กับโลก
1090	99	9	1		5720007	80	40		1	一饭一蔬	一飯一蔬	A Meal of Rice and Vegetables	一汁一菜	일첩반상	ข้าวหนึ่งผักหนึ่ง
1091	100	9	1		5730018	80	40		1	俯瞰	俯瞰	A Bird's Eye View	俯瞰	내려보다	มองลง
1092	101	10	1			80	40		1	占卜	占卜	Fortune Telling	占い	점쟁이	การทำนาย
1093	102	10	1			80	40		1	开运	開運	Good Fortune Ahead	開運	운송 시작	เปิดโชค
1094	103	10	1			80	40		1	肉垫的难题	肉墊的難題	The Dilemma of the Cat Paw	肉球の難問	고양이 발바닥 난제	ปัญหาแผ่นรองเนื้อ
1095	104	10	1			80	40		1	科技与迷信 	科技與迷信	Science and Superstition	科学と迷信	과학과 미신 	วิทยาศาสตร์​กับ​ความเชื่อ​
1096	105	10	1			80	40		1	温馨提示	溫馨提示	Warm Reminder	ヒント	따뜻한 안내	คำแนะนำดีๆ
1097	106	10	1			80	40		1	命运之手	命運之手	Destiny's Touch	運命の手	운명의 상대	มือแห่งดวงชะตา
1098	107	10	1		5720012	80	40		1	运作原理	運作原理	Mechanism of Operation	動作原理	작동 원리	หลักของการทำงาน
1099	108	10	1		4199002	80	40		1	心有灵犀 	心有靈犀	Heart-to-Heart Connection	以心伝心	마음이 통하다	ใจตรงกัน
1100	109	10	1		5740017	80	40		1	甜蜜之恋	甜蜜之戀	The Sweetest Romance	スイートラブ	달콤한 사랑	รักที่หวานแหวว
1101	110	10	1		4104033	80	40		1	绝无仅有的报恩	絕無僅有的報恩	Unparalleled Gratitude	唯一無二の恩返し	유일한 보은	การตอบแทน​บุญคุณ​ที่​มี​เอกลักษณ์​
1102	111	12	1			80	40		1	恐怖谷效应	恐怖谷效應	The Uncanny Valley Effect	不気味の谷	언캐니 밸리	ผลกระทบ​ของ​หุบเขา​ที่​น่ากลัว​
1103	112	12	1			80	40		1	其他影片	其他影片	Additional Footage	他の映像	다른 영화	หนังเรื่องอื่น
1104	113	12	1			80	40		1	移动餐厅	移動餐廳	Mobile Cafe	移動レストラン	출장 카페테리아	คาเฟ่เคลื่อนที่
1105	114	12	1			80	40		1	小巷尽头	小巷盡頭	The Alley's End	路地端	막다른 골목	สุดตรอก
1106	115	12	1			80	40		1	佣兵的来处	傭兵的來處	The Mercenary's Roots	傭兵の出身地	용병의 이력	ต้นกำเนิด​ของ​ทหาร​รับจ้าง​
1107	116	12	1			80	40		1	真心话	真心話	The Truth Unveiled	本音	진심	คำพูดจริงใจ
1108	117	12	1		5400002	80	40		1	奸商	奸商	The Wily Merchant	悪徳商人	악덕 상인	ขูดเลือดขูดเนื้อ
1109	118	12	1		5730010	80	40		1	水中鬼影	水中鬼影	Phantom in the Water	水影	물 속에 비친 그림자	เงาผีในน้ำ
1110	119	12	1		5740011	80	40		1	不自知的验证	不自知的驗證	The Unintentional Proof	知らない検証	자신은 모르는 검증	ตรวจสอบโดยไม่รู้ตัว
1111	120	12	1		3000018	80	40		1	纪念券	紀念券	Special Voucher	記念チケット	기념 티켓	ตั๋วการรำลึก
1112	121	11	1			80	40		1	她	她	Her	彼女	그녀	เธอ
1113	122	11	1			80	40		1	工作服的烦恼	工作服的煩惱	Trouble with the Workwear	制服のトラブル	작업복의 번뇌	ปัญหาของชุดทำงาน
1114	123	11	1			80	40		1	异乡人	異鄉人	The Foreigner	異邦人	외부인	คนต่างถิ่น
1115	124	11	1			80	40		1	最美的烟花	最美的煙花	The Most Beautiful Fireworks	一番美しい花火	가장 아름다운 불꽃	ดอกไม้ไฟ​ที่​สวยงาม​ที่สุด​
1116	125	11	1			80	40		1	遗憾	遺憾	The Bitter Taste of Regret	遺憾	유감	น่าเสียดาย
1117	126	11	1			80	40		1	普世流言	普世流言	Universal Rumor	世間の噂	세상에 널리 퍼진 소문	ข่าวที่ลือไปทั่ว
1118	127	11	1		5710012	80	40		1	留住温度	留住溫度	Holding onto the Heat	温もりを留めて	온도 유지	รักษาอุณหภูมิ
1119	128	11	1		5740016	80	40		1	科技恐慌	科技恐慌	Technophobia	テクノロジーパニック	과학 기술 공황	หวาดกลัวเทคโนโลยี
1120	129	11	1		4199003	80	40		1	主动接触	主動接觸	Taking the Initiative	積極的接触	적극적 접촉	สัมผัสอัตโนมัติ
1121	130	11	1		4500101	80	40		1	爱意暴露	愛意暴露	The Unveiling of Affection	熱愛発覚	사랑하는 마음 폭로	เปิดเผยความรัก
1122	131	13	1			80	40		1	是，王子殿下！	是，王子殿下！	Yes, Your Highness!	はい、王子様！	네, 왕자 전하!	รับสั่ง พระองค์ท่าน
1123	132	13	1			80	40		1	贵族的态度	貴族的態度	Aristocratic Demeanor	貴族の態度	귀족의 태도	การวางตัวของชนชั้นสูง
1124	133	13	1			80	40		1	商业版图	商業版圖	Business Empire	ビジネスプラン	상업 판도	ภาพรวมธุรกิจ
1125	134	13	1			80	40		1	不认输	不認輸	Refusal to Yield	負けず嫌い	패배 불복	ไม่ยอมแพ้
1126	135	13	1			80	40		1	入场券	入場券	Entry Ticket	入場券	입장 티켓	ตั๋วเข้าร่วม
1127	136	13	1			80	40		1	风口	風口	The Tipping Point	風口	바람 구멍	ช่องลม
1128	137	13	1		4190001	80	40		1	千金难买	千金難買	Priceless	お金では買えない	구할 수 없는	มีเงิน​เท่าไหร่​ก็​ซื้อ​ไม่​ได้​
1129	138	13	1		5720009	80	40		1	自信与莽撞	自信與莽撞	Confidence and Recklessness	自信と無謀	자신감과 경솔함	ความมั่นใจ​กับ​ความประมาท​
1130	139	13	1		4199002	80	40		1	生存焦虑	生存焦慮	Existential Anxiety	生存の苦悩	생존의 걱정	วิตกกังวลกับการมีชีวิต
1131	140	13	1		4104021	80	40		1	心中所望	心中所望	What the Heart Desires	望む事	마음 속 소망	ความหวังในใจ
1132	141	14	1			80	40		1	变化	變化	Change	変化	변화	เปลี่ยนแปลง
1133	142	14	1			80	40		1	凋零	凋零	Wither	凋零	쇠락	โรยรา
1134	143	14	1			80	40		1	主演	主演	Star Performer	主役	주연	ตัวเอก
1135	144	14	1			80	40		1	体验	體驗	Experience	体験	체험	ประสบการณ์
1136	145	14	1			80	40		1	价值	價值	Value	価値	가치	คุณค่า
1137	146	14	1			80	40		1	邀请	邀請	Invite	招待	초대	เชิญ
1138	147	14	1		6401006	80	40		1	观察	觀察	Observation	観察	관찰	สังเกต
1139	148	14	1		4104034	80	40		1	若望	若望	John	ジョン	희망 	จอห์น
1140	149	14	1		5740014	80	40		1	慰藉	慰藉	Solace	慰藉	위로	ปลอบโยน
1141	150	14	1		5710018	80	40		1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย
1142	151	15	1			80	40		1	新生	新生	Rebirth	新生	새내기	หน้าใหม่
1143	152	15	1			80	40		1	热衷表达	熱衷表達	Passionate Expression	自己顕示欲	열렬한 표현	แสดงความกระตือรือร้น
1144	153	15	1			80	40		1	黑天鹅舞团	黑天鵝舞團	Black Swan Troupe	ブラックスワン	블랙 스완 댄스 팀	คณะบัลเล่ต์แบล็กสวอน
1145	154	15	1			80	40		1	雪将军逸闻	雪將軍逸聞	Tales of Snowhawk	雪将軍の逸話	제네럴 스노우 일화	เรื่องราว​ของ​นายพล​ส​โน​ว์​
1146	155	15	1			80	40		1	已经实现的愿望	已經實現的願望	Fulfilled Desires	叶えられた願い	이미 이루어진 꿈	ความปรารถนาที่เป็นจริง
1147	156	15	1			80	40		1	人生可能性	人生可能性	The Many Paths of Life	人生の可能性	인생의 가능성	ความเป็นไปได้ของชีวิต
1148	157	15	1		5720018	80	40		1	克制心情	克制心情	Controlling One's Feelings	気持ちを抑える	마음 억제	ระงับอารมณ์
1149	158	15	1		4104035	80	40		1	真实的艺术	真實的藝術	Art in its Purest Form	真なる芸術	리얼 아트	ศิลปะที่แท้จริง
1150	159	15	1		5730023	80	40		1	献给孩子的歌	獻給孩子的歌	A Song for the Children	子供に捧げる歌	아이에게 바치는 노래	เพลงที่มอบให้เด็ก
1151	160	15	1		4104012	80	40		1	新的冒险	新的冒險	A New Adventure	新しい冒険	새로운 모험	การผจญภัยครั้งใหม่
1152	161	16	1			80	40		1	请你和我聊天！	請你和我聊天！	Let's Have a Chat!	私と話をしてくれる？	저와 채팅해요!	ได้โปรดคุยกับฉัน!
1153	162	16	1			80	40		1	有必要的交谈	有必要的交談	A Necessary Conversation	必要な会話	필요한 이야기	มีความจำเป็นต้องคุยกัน
1154	163	16	1			80	40		1	向日葵的包装	向日葵的包裝	Sunflower Packaging	ひまわりのラッピングについて	해바라기의 포장	บรรจุภัณฑ์​ของ​ดอกทานตะวัน​
1155	164	16	1			80	40		1	医治内向	醫治內向	Curing the Introverted	内気な性格を変えたい	내향적인 성격 치유	รักษาอาการเก็บตัว
1156	165	16	1			80	40		1	付出一切	付出一切	Giving Everything	全身全霊	모든 것을 바치다	เสียสละทุกสิ่ง
1157	166	16	1			80	40		1	需要意义的理由	需要意義的理由	Seeking a Reason	意義ある理由	의미가 필요한 이유	เหตุผล​ที่​ต้องการ​ความหมาย​
1158	167	16	1		5710017	80	40		1	热血	熱血	Passion	熱血	열혈	เลือดร้อน
1159	168	16	1		4104023	80	40		1	脆弱亦顽强	脆弱亦頑強	Fragile Yet Resilient	弱くても強い	외유내강	อ่อนแอแต่ก็แข็งแกร่ง
1160	169	16	1		5740004	80	40		1	确认的可贵	確認的可貴	The Value of Affirmation	確認は貴重	확인의 중요성	การยืนยันเป็นสิ่งล้ำค่า
1161	170	16	1		4104016	80	40		1	子弹	子彈	Bullet	バレット	총알	กระสุน
