furnitureId	type	furnitureType	photoId	quality	showType	isLoad	prefab	decorationValue	source	goodsId	originalNum	goodsNum	hot	suitId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	fullName	fullName_zh_TW	fullName_en_UK	fullName_ja_JP	fullName_ko_KR	fullName_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
5800410		2	144:goods_icon_5800410	4	581		143:MaidCoffee_floor_03	56	0				1	5800400	1	圣诞	聖誕	Christmas	クリスマス	크리스마스	คริสต์มาส	圣诞·地板	聖誕·地板	Christmas - Floorboards	クリスマス・床	크리스마스 바닥	คริสต์มาส·พื้น	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	充满圣诞的欢乐气息	充滿聖誕的歡樂氣息	Overflowing with Christmas Cheer	クリスマスのハッピーなムードが漂う	크리스마스의 즐거움이 가득 느껴진다.	คริสต์มาส​ที่​เต็มไปด้วย​บรรยากาศ​สนุกสนาน​
5800501		3	144:goods_icon_5800501	4	581	1	143:MaidCoffee_bar_04	90	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·柜台	摯愛·櫃台	Beloved - Counter	トゥルーラブ・カウンター	진실한 사랑 카운터	รักแท้·เคาน์เตอร์	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800502		4	144:goods_icon_5800502	4	581	1	143:MaidCoffee_barBg_04	70	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·操作台	摯愛·操作臺	Beloved - Workstation	トゥルーラブ・作業台	진실한 사랑	รักแท้·แผงควบคุม	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800503		7	144:goods_icon_5800503	4	581	1	143:MaidCoffee_kitchenCorner_04	28	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·厨房	摯愛·廚房	Beloved - Kitchen	トゥルーラブ・キッチン	진실한 사랑	รักแท้·ห้องครัว	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800504		8	144:goods_icon_5800504	4	581		143:MaidCoffee_catRoom_04	28	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·休息室	摯愛·休息室	Beloved - Lounge	トゥルーラブ・休憩室	진실한 사랑	รักแท้·ห้องพัก	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800505		5	144:goods_icon_5800505	4	581		143:MaidCoffee_table_04	46	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·桌椅	摯愛·桌椅	Beloved - Dining Set	トゥルーラブ・テーブル＆チェア	진실한 사랑	รักแท้·โต๊ะและเก้าอี้	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800506		10	144:goods_icon_5800506	4	581		143:MaidCoffee_restCorner_04	28	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·边桌	摯愛·邊桌	Beloved - Side Table	トゥルーラブ・カウンター席	진실한 사랑	รักแท้·โต๊ะเล็ก	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800507		6	144:goods_icon_5800507	4	581		143:MaidCoffee_sofa_04	46	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·沙发	摯愛·沙發	Beloved - Couch	トゥルーラブ・ソファー	진실한 사랑	รักแท้·โซฟา	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800508		9	144:goods_icon_5800508	4	581		143:MaidCoffee_doorCorner_04	28	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·门口	摯愛·門口	Beloved - Doorway	トゥルーラブ・玄関装飾	진실한 사랑	รักแท้·ประตู	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800509		1	144:goods_icon_5800509	4	581	1	143:MaidCoffee_wall_04	88	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·墙纸	摯愛·牆紙	Beloved - Wallpaper	トゥルーラブ・壁紙	진실한 사랑	รักแท้·วอลเปเปอร์	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800510		2	144:goods_icon_5800510	4	581		143:MaidCoffee_floor_04	56	0				1	5800500	1	挚爱	摯愛	Beloved	トゥルーラブ	진실한 사랑	รักแท้	挚爱·地板	摯愛·地板	Beloved - Floorboards	トゥルーラブ・床	진실한 사랑	รักแท้·พื้น	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่	希望每对恋人都能拥有洁白无瑕的爱情，是挚爱套装对天下有情人的祝福	希望每對戀人都能擁有潔白無瑕的愛情，是摯愛套裝對天下有情人的祝福	May every couple enjoy a love that is pure and flawless. It is the blessing of the Beloved Set for all lovers.	世界中のすべての恋人たちが純粋な愛を持つように。	모든 연인이 순결한 사랑을 하게되기를 바란다. 진실한 사랑 세트는 세상의 모든 연인들을 축복한다.	หวัง​ว่า​คู่รัก​ทุก​คู่​จะ​ได้​ครองรัก​อัน​บริสุทธิ์​ นี่​คือ​คำ​อวยพร​จาก​ชุด​แห่ง​รักแท้​แด่​ผู้​มี​รัก​ทั้งหลาย​
5800301		3	144:goods_icon_5800301	3	581	1	143:MaidCoffee_bar_01	40	0					5800300	1	实木	實木	Hardwood	無垢	원목	ไม้แท้	实木·柜台	實木·櫃台	Hardwood - Counter	無垢・カウンター	원목 카운터	ไม้แท้·เคาน์เตอร์	带有一块玻璃展示柜，展示着餐厅中出售的各种料理	帶有一塊玻璃展示櫃，展示著餐廳中出售的各種料理	Fitted with a glass showcase displaying a variety of dishes available in the cafe.	ショーケースには、レストランで販売されているさまざまな料理が展示されています。	유리 진열장이 딸려있어, 카페테리아에서 파는 각종 요리를 전시하고 있다.	ตู้​โชว์​ที่​มี​กระจก​บาน​หนึ่ง​ โชว์​เมนู​ต่างๆ​ ที่​จำหน่าย​ใน​คาเฟ่​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่
5800302		4	144:goods_icon_5800302	3	581	1	143:MaidCoffee_barBg_01	32	0					5800300	1	实木	實木	Hardwood	無垢	원목	ไม้แท้	实木·操作台	實木·操作台	Hardwood - Workstation	無垢・作業台	원목 작업대	ไม้แท้·โต๊ะทำงาน	实木操作台，摆满了咖啡机和各种原料，是店员们制作咖啡的场所	實木操作台，擺滿了咖啡機和各種原料，是店員們製作咖啡的場所	The hardwood workstation is where our skilled staff crafts delicious coffee using top-of-the-line coffee machines and a variety of high-quality ingredients.	コーヒーマシンやさまざまな原料が並んでおり、店員はここでコーヒーを用意する。	원목 작업대로, 커피 기계와 각종 원료가 가득 올라가 있다. 점원들이 커피를 만드는 곳이다.	โต๊ะทำงาน​ไม้​แท้​ จัดวาง​ด้วย​เครื่อง​ทำ​กาแฟ​และ​วัตถุดิบ​ที่​หลากหลาย​ เป็น​สถานที่​ทำ​กาแฟ​ของ​เหล่า​พนักงาน​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่
5800303		7	144:goods_icon_5800303	3	581	1	143:MaidCoffee_kitchenCorner_01	12	0					5800300	1	实木	實木	Hardwood	無垢	원목	ไม้แท้	实木·厨房	實木·廚房	Hardwood - Kitchen	無垢・キッチン	원목 주방	ไม้แท้·ห้องครัว	门口挂着一块小黑板，上面写着“今日主厨”	門口掛著一塊小黑板，上面寫著“今日主廚”	At the entrance, there's a small blackboard reading "Today's Chef."	入り口付近にメニューボードが設置されている。「本日のシェフ」と書かれている。	문에 작은 칠판이 걸려 있다. 칠판에는 '오늘의 쉐프'라고 적혀있다.	แขวน​แผ่น​ไม้​กระดานดำ​ขนาดเล็ก​ไว้​ที่​หน้า​ประตู​ ข้างบน​เขียน​ไว้​ว่า​ "​หัวหน้า​เชฟ​ของ​วันนี้​"​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่
5800304		8	144:goods_icon_5800304	3	581		143:MaidCoffee_catRoom_01	12	0					5800300	1	实木	實木	Hardwood	無垢	원목	ไม้แท้	实木·休息室	實木·休息室	Hardwood - Lounge	無垢・休憩室	원목 휴게실	ไม้แท้·ห้องพัก	休息室贴满了可爱的猫咪海报	休息室貼滿了可愛的貓咪海報	The lounge is adorned with adorable cat posters.	休憩室の壁には可愛い猫ちゃんのポスターがたくさん貼られている。	휴게실에는 귀여운 냥냥이 포스터가 잔뜩 붙어 있다.	ห้อง​พักผ่อน​ที่​เต็มไปด้วย​โปสเตอร์​แมว​เหมียว​น่ารัก​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่
5800305		5	144:goods_icon_5800305	3	581		143:MaidCoffee_table_01	20	0					5800300	1	实木	實木	Hardwood	無垢	원목	ไม้แท้	实木·桌椅	實木·桌椅	Hardwood - Dining Set	無垢・テーブル＆チェア	원목 책상의자	ไม้​แท้​·​โต๊ะ​และ​เก้าอี้​	常见的桌椅，桌子上摆了一盆绿植	常見的桌椅，桌子上擺了一盆綠植	A simple dining set with a fresh green plant placed on the table.	カフェテーブルセット。テーブルの上に緑の鉢植えが置いてある。	흔한 책상의자. 책상 위에 화분이 올라가 있다.	โต๊ะ​เก้าอี้​ที่​พบ​ได้​ทั่วไป​ บน​โต๊ะ​จัดวาง​กระถางต้นไม้​สี​เขียว​ไว้​หนึ่ง​ใบ​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่
5800306		10	144:goods_icon_5800306	3	581		143:MaidCoffee_restCorner_01	12	0					5800300	1	实木	實木	Hardwood	無垢	원목	ไม้แท้	实木·边桌	實木·邊桌	Hardwood - Side Table	無垢・カウンター席	원목 사이드 테이블	ไม้แท้·โต๊ะเล็ก	红色的高脚凳，看起来比较舒适。	紅色的高腳凳，看起來比較舒適。	The red barstool looks pretty cozy.	赤いスツール。座り心地が良さそうだ。	빨간색의 하이 벤치는 비교적 편해 보인다.	เก้าอี้​บาร์​สีแดง​ ดู​แล้ว​ค่อนข้าง​สบาย​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่
5800307		6	144:goods_icon_5800307	3	581		143:MaidCoffee_sofa_01	20	0					5800300	1	实木	實木	Hardwood	無垢	원목	ไม้แท้	实木·沙发	實木·沙發	Hardwood - Couch	無垢・ソファー	원목 소파	ไม้แท้·โซฟา	简单的实木布艺沙发搭配着可爱的小熊抱枕，是店员和客人休息的场所	簡單的實木布藝沙發搭配著可愛的小熊抱枕，是店員和客人休息的場所	The plain yet comfortable hardwood upholstered couch, accompanied by adorable bear cushions, is a perfect spot for both staff and guests to relax.	シンプルな木製の布地ソファには、かわいいくまのクッションが添えられており、店員と客が休憩する場所です。	간단한 원목 패브릭 소파에 귀여운 곰돌이 쿠션이 함께 올라가 있다. 점원과 손님의 휴식 장소다.	โซฟา​ผ้า​ไม้​แท้​ที่​เรียบง่าย​คู่​กับ​หมอน​กอด​ลาย​หมี​น้อย​น่ารัก​ เป็น​สถานที่พักผ่อน​สำหรับ​พนักงาน​และ​ลูกค้า​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่
5800308		9	144:goods_icon_5800308	3	581		143:MaidCoffee_doorCorner_01	12	0					5800300	1	实木	實木	Hardwood	無垢	원목	ไม้แท้	实木·门口	實木·門口	Hardwood - Doorway	無垢・玄関装飾	원목 문	ไม้แท้·ประตู	门口墙上贴满了店员手绘图，看得出来是一家用心的店	門口牆上貼滿了店員手繪圖，看得出來是一家用心的店	The entrance wall is adorned with hand-drawn pictures by our dedicated staff, showcasing the love and care put into this place.	入り口の壁には店員が手描きした絵がいっぱい貼られている。	문에 점원들의 손그림이 잔뜩 붙어 있다. 모두가 즐겁게 일하는 가게인 듯 하다.	บน​บานประตู​เต็มไปด้วย​ภาพ​ที่​วาด​ด้วยมือ​ของ​พนักงาน​ ดูออก​ว่า​เป็น​ร้าน​ที่​มี​ความใส่ใจ​	用于餐厅装修	用於餐廳裝修	For cafe decoration.	レストランのインテリアに使用される	카페테리아 인테리어에 사용	ใช้สำหรับตกแต่งคาเฟ่
