id	prefab	icon	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
21	66:bamboo_plant_02_01.prefab	115:activity_bamboo_map_icon_tips_201	1	一截木头	一截木頭	A Sturdy Log	丸太	나무 조각	ท่อนไม้ท่อนหนึ่ง	倒下的一截木头，看看有没有其他路线吧。	倒下的一截木頭，看看有沒有其他路線吧。	A sturdy log lies across our path. Let's see if there's another way around.	倒れている丸太が道をふさいでいた。別のルートを探そう。	넘어진 나무 조각, 다른 길을 찾아봅시다.	ท่อนไม้​ที่​ล้ม​ลง​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
22	66:bamboo_plant_02_02.prefab	115:activity_bamboo_map_icon_tips_202	1	一个深坑	一個深坑	A Deep Pit	落とし穴	깊은 구덩이	โพรงลึก	不知道谁挖的深坑，看看有没有其他路线吧。	不知道誰挖的深坑，看看有沒有其他路線吧。	A deep hole dug by someone. Let's see if there's another way around.	誰かが掘った落とし穴。別のルートを探そう。	누군가가 판 깊은 구덩이, 다른 길을 찾아봅시다.	โพรง​ที่​ไม่​รู้​ว่า​ใคร​เป็น​คน​ขุด​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
23	66:bamboo_plant_02_03.prefab	115:activity_bamboo_map_icon_tips_203	1	杂乱的植物	雜亂的植物	Overgrown Plants	とっ散らかった植物	잡초가 무성한 식물	พืชเถาวัลย์	密集生长的藤蔓，看看有没有其他路线吧。	密集生長的藤蔓，看看有沒有其他路線吧。	Densely grown vines. Let's see if there's another way around.	蔓が密生している。別のルートを探そう。	빽빽하게 자란 덩굴, 다른 길을 찾아봅시다.	เถาวัลย์​ที่​ขึ้น​กระจัดกระจาย​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
24	66:bamboo_plant_02_04.prefab	115:activity_bamboo_map_icon_tips_204	1	一块巨石	一塊巨石	A Giant Rock	巨石	바위	หินยักษ์หนึ่งก้อน	巨大的岩石，看看有没有其他路线吧。	巨大的岩石，看看有沒有其他路線吧。	A giant rock blocks our path. Let's see if there's another way around.	巨大な石が道をふさいでいた。別のルートを探そう。	거대한 바위, 다른 길을 찾아봅시다.	หิน​ขนาด​ยักษ์​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
25	66:bamboo_plant_02_05.prefab	115:activity_bamboo_map_icon_tips_201	1	一截木头	一截木頭	A Sturdy Log	丸太	나무 조각	ท่อนไม้ท่อนหนึ่ง	倒下的一截木头，看看有没有其他路线吧。	倒下的一截木頭，看看有沒有其他路線吧。	A sturdy log lies across our path. Let's see if there's another way around.	倒れている丸太が道をふさいでいた。別のルートを探そう。	넘어진 나무 조각, 다른 길을 찾아봅시다.	ท่อนไม้​ที่​ล้ม​ลง​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
31	66:bamboo_plant_03_01.prefab	115:activity_bamboo_map_icon_tips_301	1	丛生的植物	叢生的植物	Thick Vegetation	密生している植物	무성한 식물	พืชที่ขึ้นเป็นกลุ่ม	密集生长的植物，看看有没有其他路线吧。	密集生長的植物，看看有沒有其他路線吧。	Densely grown plants. Let's see if there's another way around.	植物が密生している。別のルートを探そう。	빽빽하게 자란 식물, 다른 길을 찾아봅시다.	พืช​ที่​เติบโต​อย่าง​หนาแน่น​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
32	66:bamboo_plant_03_02.prefab	115:activity_bamboo_map_icon_tips_302	1	荷花塘	荷花塘	Lotus Pond	蓮池	연꽃 연못	บึงดอกบัว	荷花正在盛开，看看有没有其他路线吧。	荷花正在盛開，看看有沒有其他路線吧。	Lotus flowers in full bloom. Let's see if there's another way around.	蓮は満開だ。別のルートを探そう。	연꽃이 활짝 피었습니다, 다른 길을 찾아봅시다.	บึง​ดอกบัว​ที่​กำลัง​บาน​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
33	66:bamboo_plant_03_03.prefab	115:activity_bamboo_map_icon_tips_303	1	一堆竹竿	一堆竹竿	A Pile of Bamboo Poles	竹束	대나무 더미	กองไม้ไผ่	堆得有些杂乱的竹竿，看看有没有其他路线吧。	堆得有些雜亂的竹竿，看看有沒有其他路線吧。	A somewhat messy pile of bamboo poles. Let's see if there's another way around.	竹束が道をふさいでいた。別のルートを探そう。	다소 엉망인 대나무 더미, 다른 길을 찾아봅시다.	กอง​ไม้​ไผ่​ที่​กอง​เรี่ยราด​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
34	66:bamboo_plant_03_04.prefab	115:activity_bamboo_map_icon_tips_304	1	路灯	路燈	Streetlight	街灯	가로등	เสาไฟถนน	兼顾照明和装饰作用，看看有没有其他路线吧。	兼顧照明和裝飾作用，看看有沒有其他路線吧。	Serving both lighting and decoration purposes. Let's see if there's another way around.	照明と装飾の両方の役割を持っている街灯。別のルートを探そう。	조명과 장식 역할을 겸함, 다른 길을 찾아봅시다.	ใช้​สำหรับ​ตกแต่ง​และ​ให้​ความสว่าง​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
35	66:bamboo_plant_03_05.prefab	115:activity_bamboo_map_icon_tips_303	1	一堆竹竿	一堆竹竿	A Pile of Bamboo Poles	竹束	대나무 더미	กองไม้ไผ่	堆得有些杂乱的竹竿，看看有没有其他路线吧。	堆得有些雜亂的竹竿，看看有沒有其他路線吧。	A somewhat messy pile of bamboo poles. Let's see if there's another way around.	竹束が道をふさいでいた。別のルートを探そう。	다소 엉망인 대나무 더미, 다른 길을 찾아봅시다.	กอง​ไม้​ไผ่​ที่​กอง​เรี่ยราด​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
41	66:bamboo_plant_04_01.prefab	115:activity_bamboo_map_icon_tips_401	1	倒下的垃圾桶	倒下的垃圾桶	A Fallen Trash Can	転倒したゴミ箱	넘어진 쓰레기통	ถังขยะที่ล้มลง	垃圾散落一地，看看有没有其他路线吧。	垃圾散落一地，看看有沒有其他路線吧。	Trash scattered everywhere. Let's see if there's another way around.	転倒したゴミ箱が道をふさいでいた。別のルートを探そう。	쓰레기가 널려 있습니다, 다른 길을 찾아봅시다.	กอง​ขยะ​กอง​หนึ่ง​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
42	66:bamboo_plant_04_02.prefab	115:activity_bamboo_map_icon_tips_402	1	路障	路障	Barricade	道路封鎖	장애물	แผงกั้นถนน	前面似乎发生了事故，看看有没有其他路线吧。	前面似乎發生了事故，看看有沒有其他路線吧。	It seems there's been an accident ahead. Let's see if there's another way around.	事故があったようだ。別のルートを探そう。	앞에 사고가 발생한 것 같습니다, 다른 길을 찾아봅시다.	เหมือน​ข้างหน้า​จะ​เกิดเรื่อง​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
43	66:bamboo_plant_04_03.prefab	115:activity_bamboo_map_icon_tips_403	1	流动摊贩车	流動攤販車	Street Vendor Cart	移動販売車	이동식 노점 차량	รถเข็นขายของเคลื่อนที่	看起来似乎很美味，看看有没有其他路线吧。	看起來似乎很美味，看看有沒有其他路線吧。	Looks potentially delicious. Let's see if there's another way around.	美味しそうけど、別のルートを探そう。	맛있어 보입니다, 다른 길을 찾아봅시다.	ดู​น่าอร่อย​อยู่​นะ​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
44	66:bamboo_plant_04_04.prefab	115:activity_bamboo_map_icon_tips_404	1	下水道入口	下水道入口	Sewer Entrance	下水道入口	하수구 입구	ทางเข้าท่อระบายน้ำ	井盖呢？这样很危险吧？看看有没有其他路线吧。	井蓋呢？這樣很危險吧？看看有沒有其他路線吧。	Where's the manhole cover? This is really dangerous! Let's see if there's another way around.	蓋はない？危ないだから、別のルートを探そう。	맨홀 뚜껑이 없네요? 매우 위험해 보입니다, 다른 길을 찾아봅시다.	ฝา​ท่อระบายน้ำ​ล่ะ​?​ แบบนี้​มัน​อันตราย​นะ​!​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
45	66:bamboo_plant_04_05.prefab	115:activity_bamboo_map_icon_tips_402	1	路障	路障	Barricade	道路封鎖	장애물	แผงกั้นถนน	前面似乎发生了事故，看看有没有其他路线吧。	前面似乎發生了事故，看看有沒有其他路線吧。	It seems there's been an accident ahead. Let's see if there's another way around.	事故があったようだ。別のルートを探そう。	앞에 사고가 발생한 것 같습니다, 다른 길을 찾아봅시다.	เหมือน​ข้างหน้า​จะ​เกิดเรื่อง​ ลองดู​สิ​ว่า​มี​เส้นทาง​อื่น​หรือไม่​
