id	maxLevel	activeId	plotId	photoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
12002510	6	1	10302	123:nightcat_buff_icon_12002510	1	名画	名畫	Famous Painting	名画	명화	ภาพวาดที่มีชื่อเสียง	经过时光沉淀的美丽画作，总是能在第一时间夺走他人的关注。	經過時光沉澱的美麗畫作，總是能在第一時間奪走他人的關注。	The beautiful painting, shaped by time, captures attention at first glance.	時が経つほどに深みを増す美しい絵画は、いつも人々の視線を一瞬で奪ってしまう。	시간이 흐르며 아름다운 그림은 항상 첫눈에 사람들의 관심을 사로잡는다.	ผลงาน​ศิลป์​ที่​ผ่าน​กาลเวลา​ มัก​ดึงดูดสายตา​ในทันที​
12002511	6	1	10303	123:nightcat_buff_icon_12002511	1	树叶	樹葉	Leaf	木の葉	나뭇잎	ใบไม้	没有人知道，我究竟经历了什么——树叶如是说。	沒有人知道，我究竟經歷了什麼——樹葉如是說。	No one knows what I've been through, whispers the leaf.	「誰も知らない…私がどんな経験をしてきたかを」と、木の葉がそっとつぶやく。	나뭇잎이 아무도 나에게 일어난 일이 무엇인지 모른다고 말하는 듯하다.	"​ไม่​มี​ใคร​รู้​ว่า​ฉัน​ผ่าน​อะไร​มา​บ้าง​"​ —​ ใบไม้​กล่าว​
12002512	6	1	10304	123:nightcat_buff_icon_12002512	1	断罪天使	斷罪天使	Judgment Angel	断罪の天使	단죄의 천사	เทวทูตพิพากษา	天使赋予人类的，未必总是温柔的吻痕，有时亦可能是沉重的锁链。	天使賦予人類的，未必總是溫柔的吻痕，有時亦可能是沉重的鎖鏈。	What angels bestow upon humanity isn't always a gentle kiss; sometimes, it comes as a heavy chain.	天使が人々に与えるものは、優しい口づけとは限らない。時には、重い鎖となることもある。	천사가 인간에게 주는 건 항상 부드러운 입맞춤의 흔적이 아니라, 때로는 무거운 쇠사슬일 수도 있는 법	ของขวัญ​จาก​เทวทูต​ ไม่​ใช่​เพียง​จุมพิต​อัน​อ่อนโยน​ บางครั้ง​อาจ​เป็น​โซ่ตรวน​อัน​หนักอึ้ง​
12002513	6	1	10401	123:nightcat_buff_icon_12002513	1	碎玻璃	碎玻璃	Glass Shard	ガラスの破片	깨진 유리	กระจกที่แตกหัก	破碎的事物，无论何时，都难以复原。	破碎的事物，無論何時，都難以復原。	Broken things are always hard to restore, no matter when.	一度壊れたものは、いつだって元には戻らない。	파괴된 사물은 시간이 지나도 결코 원래 모습으로 돌아갈 수 없다.	สิ่ง​ที่​แตกสลาย​ ยาก​จะ​กลับคืน​ดังเดิม​
12002514	6	1	10402	123:nightcat_buff_icon_12002514	1	雪花	雪花	Snowflake	雪の花	눈꽃	เกล็ดหิมะ	雪崩时，没有一片雪花是无辜的。	雪崩時，沒有一片雪花是無辜的。	No snowflake in an avalanche ever feels responsible.	雪崩が起こる時、どの雪片も無実ではない。	눈사태가 일어났을 때, 죄 없는 눈꽃은 단 한 송이도 없다.	เมื่อ​หิมะ​ถล่ม​ ไม่​มี​เกล็ด​หิมะ​ใด​ไร้​มลทิน​
12002515	6	1	10403	123:nightcat_buff_icon_12002515	1	蝴蝶	蝴蝶	Butterfly	バタフライ	나비야	Butterfly	蝴蝶振翅，于细微处轻启风暴之门，万千气象，皆由此一舞而生。	蝴蝶振翅，於細微處輕啟風暴之門，萬千氣象，皆由此一舞而生。	The butterfly flutters its wings, and a storm arises, giving birth to countless wonders from that single dance.	蝶が羽ばたき、その小さな動きが、嵐の扉をそっと開く。無数の変化は、たったひとつの舞から生まれる。	나비가 날게를 퍼덕이며, 조그만 곳에서 폭풍의 눈을 가볍게 일으킨다. 수많은 변화는 모두 이 한 번의 춤에서 태어나는 법이다.	ผีเสื้อ​กระพือปีก​ เปิด​ประตู​สตอร์ม​ด้วย​แรง​เพียง​น้อย​นิด​ ทุก​สรรพสิ่ง​ล้วน​ถือกำเนิด​จาก​การร่ายรำ​นี้​
12002516	6	1	10404	123:nightcat_buff_icon_12002516	1	沙发	沙發	Couch	ソファ	소파	โซฟา	松软的沙发无人倚靠，有时，适当的放松也是必要的一环。	鬆軟的沙發無人倚靠，有時，適當的放鬆也是必要的一環。	The plush sofa lies unoccupied, for sometimes, appropriate respite is a necessary component.	ふかふかのソファに寄りかかる人はない。時には、適度な休息もまた必要なもの。	부드러운 소파에 아무도 기대지 않으나, 때로는 적당한 휴식도 필요한 법이다.	โซฟา​นุ่ม​ยัง​ไร้​คน​พิง​ บางครั้ง​ การผ่อนคลาย​ก็​เป็น​สิ่งจำเป็น​
12002517	6	1	10501	123:nightcat_buff_icon_12002517	1	智能AI	智能AI	AI	人工知能	스마트 AI	AI อัจฉริยะ	贴心的智能AI机器人，总能在生活中为大家提供各种便利。	貼心的智慧AI機器人，總能在生活中為大家提供各種便利。	A thoughtful AI robot, always ready to provide various conveniences in daily life.	頼れるAIロボットは、いつだって私たちの暮らしを便利にしてくれる。	마음 깊은 AI 로봇은 언제나 생활 속에서 다양한 편리함을 제공한다.	หุ่นยนต์​ AI​ อัจฉริยะ​ผู้​ใส่ใจ​ มอบ​ความ​สะดวกสบาย​ให้​กับ​ทุก​คนใน​ชีวิตประจำวัน​
12002518	6	1	10502	123:nightcat_buff_icon_12002518	1	珊瑚	珊瑚	Coral	サンゴ	산호	ปะการัง	于幽邃海底，珊瑚簇拥绽放，犹如烈焰繁花织梦，绘就蔚蓝秘境中最绮丽的诗篇。	於幽邃海底，珊瑚簇擁綻放，猶如烈焰繁花織夢，繪就蔚藍秘境中最綺麗的詩篇。	Beneath the ocean's depths, corals flourish in vibrant clusters, like fiery flowers weaving a dream. They paint an exquisite poem in hues of wonder, adorning the secret blue world.	深海の静寂にて、サンゴは炎の花のごとく咲き誇り、夢を織りなしながら、蒼き秘境に最も美しき詩篇を描き出す。	깊고 어두운 바다 밑에서 산호들이 모여 피어나는데, 마치 불꽃같은 화려한 꽃이 꿈을 엮어가는 듯하다. 비밀의 세계에서 가장 아름다운 시편이 그려진다.	กลาง​ห้วง​สมุทร​ ปะการัง​เบ่งบาน​ดั่ง​เปลวเพลิง​ถัก​ทอ​ความฝัน​ รังสรรค์​บทกวี​อัน​งดงาม​ใน​โลก​สี​คราม​
12002519	6	1	10503	123:nightcat_buff_icon_12002519	1	日历	日曆	Calendar	カレンダー	달력	ปฏิทิน	日历轻翻，时光如细沙，悄然从指尖滑落。	日曆輕翻，時光如細沙，悄然從指尖滑落。	Days drift by, and time, like fine sand, slips silently through our fingers.	カレンダーをそっとめくるたび、時は砂のように指の隙間から静かに零れ落ちる。	달력을 가볍게 넘기면, 고운 모래 같은 시간이 조용히 손끝에서 흘러내린다.	วัน​เวลา​พัดผ่าน​ กาลเวลา​ราว​เม็ดทราย​ ลื่น​ไหลผ่าน​ปลายนิ้ว​ไป​อย่าง​เงียบงัน​
12002520	6	1	10504	123:nightcat_buff_icon_12002520	1	垃圾桶	垃圾桶	Trash Can	ゴミ箱	쓰레기통	ถังขยะ	角落的垃圾桶默默承载着生活的琐碎，亦是往昔回忆静默的归宿。	角落的垃圾桶默默承載著生活的瑣碎，亦是往昔回憶靜默的歸宿。	In the corner, the trash can quietly holds the trivialities of life, serving as a silent sanctuary for forgotten memories of the past.	部屋の片隅に佇むゴミ箱は、日々の些事を黙して受け入れ、\nかつての記憶がひそやかに還る場所でもある。	구석에 있는 쓰레기통은 일상의 사소한 것들을 조용히 담고 있는데, 이건 과거의 기억들이 조용히 돌아가는 곳이기도 하다.	ถังขยะ​ใน​มุมมืด​ที่​แบกรับ​ความ​ไร้สาระ​ใน​ชีวิต​ และ​ยัง​เป็นที่​หลบซ่อน​ของ​ความทรงจำ​ใน​อดีต​ที่​เงียบงัน​
12002521	6	1	10504	123:nightcat_buff_icon_12002521	1	烛台	燭臺	Candlestick	燭台	촛대	เชิงเทียน	烛台微光，破暗明心，照亮往昔，回忆在光影间悠然起舞。	燭臺微光，破暗明心，照亮往昔，回憶在光影間悠然起舞。	The candlelight flickers gently, piercing the darkness to illuminate the heart and the past, as memories sway gracefully in the dance of light and shadow.	燭台のほのかな灯りが闇を切り裂き、心を明るく照らす。揺らめく光の中、過去の記憶が静かに舞い始める。	촛대의 미세한 불빛이 어둠을 깨고 마음을 밝혀주어 과거를 비추고, 기억은 빛과 그림자 사이에서 여유롭게 춤을 춘다.	แสงเทียน​ริบหรี่​ เจิดจ้า​ใน​ความมืด​ ส่อง​อดีต​ให้​กระจ่าง​ เงา​แห่ง​ความทรงจำ​พลิ้วไหว​อยู่​ใน​แสง​เงา​
12002522	6	1	10504	123:nightcat_buff_icon_12002522	1	绿树	綠樹	Greenery	緑の木	푸른 나무	ต้นไม้ขจี	绿荫轻覆，笑语盈怀，岁月静好，皆在这一片欢然之地。	綠蔭輕覆，笑語盈懷，歲月靜好，皆在這一片歡然之地。	A gentle shade of green envelops the scene, echoing with laughter and the serenity of peaceful years—all wrapped within this little haven of joy.	緑の木陰に包まれ、笑い声が響く。穏やかな時の流れが、このひとときに満ちている。	푸른 그늘이 가볍게 드리워지고, 웃음소리가 가득하며, 세월은 고요하고 평화로운게 마치 모든 것이 이 즐거운 곳에 있는 듯하다.	ร่มเงา​เขียวขจี​ โอบล้อม​เสียงหัวเราะ​ กาลเวลา​สงบสุข​ ล้วน​อยู่​ใน​ดินแดน​แห่ง​ความรื่นรมย์​นี้​
12002523	6	1	10504	123:nightcat_buff_icon_12002523	1	遗骨	遺骨	Remains	遺骨	유골	ซากกระดูก	空洞的眼眶里藏着生命的诗，静默诉说着往昔的热烈与突然的凋零。	空洞的眼眶裡藏著生命的詩，靜默訴說著往昔的熱烈與突然的凋零。	Empty sockets conceal the poetry of life, silently speaking of past passions and their abrupt demise.	空っぽの眼窩には、かつての生命の詩が秘められている。静かに語られるのは、過去の情熱と、突如訪れる終焉。	텅 비어버린 눈 속에는 삶의 시가 숨겨져 있다. 조용히 과거의 뜨거운 열정과 갑작스러운 시듦을 이야기하는 듯하다.	ดวงตา​กลวง​เปล่า​ซ่อน​บทกวี​แห่ง​ชีวิต​ เล่าขาน​ถึง​ความเร่าร้อน​ใน​วันวาน​ และ​การ​โรยรา​
12002524	6	1	10504	123:nightcat_buff_icon_12002524	1	海螺	海螺	Conch	海貝	소라	หอยสังข์	海螺细语，轻吟着大海之歌，每一次倾听，都是与这片深蓝重逢的序曲。	海螺細語，輕吟著大海之歌，每一次傾聽，都是與這片深藍重逢的序曲。	The conch whispers, gently singing the sea's timeless song, with each breath of its melody feeling like a prelude to a reunion with the endless deep blue.	海螺が囁き、海の詩をそっと歌う。耳を澄ませば、それは蒼き大海との再会のプレリュード。	소라가 바다의 노래를 부르며 속삭인다. 매번 그 소리를 들을 때마다, 깊고 푸른 바다와의 재회의 서곡이 되는 듯하다.	เสียง​ของ​หอยสังข์​ แว่ว​เสียง​บทเพลง​แห่ง​ท้องทะเล​ ทุกครั้งที่​แนบ​หูฟัง​ คือ​การ​พบพาน​ห้วง​สมุทร​อีกครั้ง​
12002525	6	1	10504	123:nightcat_buff_icon_12002525	1	蜘蛛网	蜘蛛網	Cobweb	クモの網	거미줄	ใยแมงมุม	陷阱隐于暗处，蛛网轻织梦魇，静待无知者落入这无法逃离的深渊。	陷阱隱於暗處，蛛網輕織夢魘，靜待無知者落入這無法逃離的深淵。	Traps lie hidden in the shadows, while cobwebs delicately weave nightmares, waiting for the unsuspecting to tumble into this inescapable abyss.	罠は闇に潜み、蜘蛛は静かに悪夢を織りなす。無知なる者が逃れられぬ深淵に落ちるその瞬間を、静かに待っているーー	함정은 어둠 속에 숨겨져 있고, 거미줄은 가볍게 악몽을 엮어, 무지한 이들이 빠져나올 수 없는 심연인 이곳에 빠지기를 조용히 기다린다.	กับดัก​ซ่อนตัว​ใน​เงามืด​ ใยแมงมุม​ถัก​ทอ​ฝันร้าย​ เฝ้ารอ​ผู้​ไม่​รู้ตัว​พลัดตก​ลงมา​
