id	activetyId	chapter	type	unlockItem	unlockNum	unlockPlot	endFlag	regionId	plotId	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	buffUnlockTips	buffUnlockTips_zh_TW	buffUnlockTips_en_UK	buffUnlockTips_ja_JP	buffUnlockTips_ko_KR	buffUnlockTips_th_TH
10301	1	103	1	9000068	100	0	0	12002580	3016090	1	原来无论曾经多么贵重稀有的东西，都会在未来某一天沦为随处可见的平凡之物吗？	原來無論曾經多麼貴重稀有的東西，都會在未來某一天淪為隨處可見的平凡之物嗎？	It seems that even the most precious and rare things will eventually become ordinary in the future.	どれほど貴重で珍しいものも、時が経てばありふれた存在になってしまうのだろうか？	과거에 아무리 귀한 물건이었어도, 언젠가는 흔하고 평범한 물건이 될 수밖에 없는 걸까?	ไม่​ว่า​สิ่งใด​จะ​เคย​ล้ำค่า​และ​หา​ยาก​แค่​ไหน​ สักวันหนึ่ง​มัน​อาจ​กลายเป็น​เพียง​ของธรรมดา​ที่​พบเห็น​ได้​ทั่วไป​งั้น​เหรอ​?​	通关沉默之剑第1节后解锁	通關沉默之劍第1節後解鎖	Clear Silencing Edge Chapter 1 to unlock	「沈黙の剣EP1」クリア後に解放される。	침묵의 검 챕터1 클리어 후 해제	ปลดล็อกเมื่อผ่านดาบแห่งความเงียบงัน บทที่ 1
10302	1	103	1	9000068	100	10301	0	12002581	3016100	1	你和菲菲没能逃离罗寇的「魔爪」，却发现她似乎一直在寻找的正是猫族遗迹……	你和菲菲沒能逃離羅寇的「魔爪」，卻發現她似乎一直在尋找的正是貓族遺跡……	You and Fifi found yourselves trapped in Loco's grasp, yet you discovered she was on a quest to uncover the ruins of the Felinians.	あなたとフィフィはロコのから逃げることができなかった。しかし、彼女がずっと探し求めていたのは、フェリニアンスの遺跡だったようだ……	피피와 함께 묶여 로코의 마수에서 빠져나오지 못하는 신세가 되었다. 그러던 중 로코가 줄곧 찾던 것이 캣족의 유적이라는 것을 알아낸다	คุณ​และ​เฟย์เฟย์​ไม่​อาจ​หนี​จาก​ "​เงื้อมมือ​"​ ของ​โล​โค่​ได้​ แต่กลับ​พบ​ว่า​ สิ่ง​ที่​เธอ​ตามหา​มาโดยตลอด​คือ​ ซาก​โบราณ​ของ​เผ่า​แมว​...​	通关沉默之剑第2节后解锁	通關沉默之劍第2節後解鎖	Clear Silencing Edge Chapter 2 to unlock	「沈黙の剣EP2」クリア後に解放される。	침묵의 검 챕터2 클리어 후 해제	ปลดล็อกเมื่อผ่านดาบแห่งความเงียบงัน บทที่ 2
10303	1	103	1	9000068	100	10302	0	12002582	3016110	1	为了从罗寇手中逃离，你决定兵行险着，将自己和罗寇一起拖入了梦境……	為了從羅寇手中逃離，你決定兵行險著，將自己和羅寇一起拖入了夢境……	In a desperate bid to escape Loco, you took a daring risk and plunged both yourself and her into the realm of dreams.	ロコの手から逃れるため、あなたは危険を冒して、自分とロコを一緒に夢の中に引きずり込む決断をした……	로코에게서 도망치기 위해, 위험을 무릅쓰고 로코와 함께 그녀의 꿈속으로 들어간다...	เพื่อ​หนี​จาก​โล​โค่​ คุณ​ตัดสินใจ​เดิมพัน​ครั้ง​ใหญ่​ ลาก​เธอ​เข้าสู่​แดน​วาม​ฝัน​ไป​พร้อมกัน​...​	通关沉默之剑第3节后解锁	通關沉默之劍第3節後解鎖	Clear Silencing Edge Chapter 3 to unlock	「沈黙の剣EP3」クリア後に解放される。	침묵의 검 챕터3 클리어 후 해제	ปลดล็อกเมื่อผ่านดาบแห่งความเงียบงัน บทที่ 3
10304	1	103	1	9000068	100	10303	1	12002583	3016120	1	来到梦境后，你看到了被济世教派关押在地下室的罗寇，而此刻的她只是一具失去灵魂的空壳……	來到夢境後，你看到了被濟世教派關押在地下室的羅寇，而此刻的她只是一具失去靈魂的空殼……	Within the dream realm, you encountered Loco, who had been confined in a basement by the Relief. She appeared as nothing more than a hollow shell, devoid of her soul.	夢の中で、あなたは済世教派に地下室に閉じ込められたロコを見た。しかし、その彼女は今や魂を失ったただの抜け殻のようだった……	꿈속에서 구세교단의 지하실에 갇혀 있는 로코를 발견한다. 그때의 로코는 영혼이 없는 껍데기와 다를 바 없어 보였다...	ใน​ความฝัน​ คุณ​พบ​โล​โค่​ถูก​ขัง​อยู่​ใน​ห้องใต้ดิน​ของ​ลัทธิ​ แต่​เธอ​กลับเป็น​เพียง​ร่าง​ไร้​วิญญาณ​...​	通关沉默之剑第4节后解锁	通關沉默之劍第4節後解鎖	Clear Silencing Edge Chapter 4 to unlock	「沈黙の剣EP4」クリア後に解放される。	침묵의 검 챕터4 클리어 후 해제	ปลดล็อกเมื่อผ่านดาบแห่งความเงียบงัน บทที่ 4
10401	1	104	1	9000068	100	0	0	12002584	3016130	1	妄图知晓「神意」之人赠与的「礼物」，是赐予她「安眠」的睡棺，还是包装成善意的「毒药」？	妄圖知曉「神意」之人贈與的「禮物」，是賜予她「安眠」的睡棺，還是包裝成善意的「毒藥」？	What is the "gift" granted to those who seek to understand the "divine will"? Is it the sarcophagus that offers "eternal sleep," or the "poison" disguised as kindness?	「神意」を知ろうとした者が与えた「贈り物」。それは彼女に「安らかな眠り」を与える棺だろうか、あるいは善意に見せかけた「毒」だったのだろうか？	‘신의 뜻’을 함부로 알려고 했던 자가 주는 ‘선물’, 그것은 그녀에게 ‘깊은 잠’을 선물하는 관일까, 아니면 선의를 담은 ‘독약’일까?	ของขวัญ​จาก​ผู้​ที่​หลงผิด​ คิด​อย่าง​ล่วงรู้​ "​เจตจำนง​แห่ง​เทพ​"​ คือ​โลง​นิทรา​ที่​มอบ​ "​การ​หลับใหล​ชั่วนิรันดร์​"​ หรือ​เพียง​ยาพิษ​ที่​ถูก​ห่อหุ้ม​ด้วย​ "​ความเมตตา​"?​	通关绝望之石第1节后解锁	通關絕望之石第1節後解鎖	Clear Stones of Despair Chapter 1 to unlock	「絶望の石EP1」クリア後に解放される。	절망의 돌 챕터1 클리어 후 해제	ปลดล็อกเมื่อผ่านศิลาแห่งความสิ้นหวัง บทที่ 1
10402	1	104	1	9000068	100	10401	0	12002585	3016140	1	谎言终有被戳穿的一天，即便那最后的结局会是他的死亡……	謊言終有被戳穿的一天，即便那最後的結局會是他的死亡……	Ultimately, lies will be revealed, even if the consequence is death.	嘘はいつか暴かれる。たとえその結末が彼の死に繋がったとしても……	거짓말은 언젠가 들통난다. 마지막 결말이 그의 죽음이더라도...	คำ​ลวง​ย่อม​ถูก​เปิดโปง​ ไม่​ว่า​เขา​จะ​ต้อง​จบชีวิต​ลง​ก็​ตา​ม.​..​	通关绝望之石第2节后解锁	通關絕望之石第2節後解鎖	Clear Stones of Despair Chapter 2 to unlock	「絶望の石EP2」クリア後に解放される。	절망의 돌 챕터2 클리어 후 해제	ปลดล็อกเมื่อผ่านศิลาแห่งความสิ้นหวัง บทที่ 2
10403	1	104	1	9000068	100	10402	0	12002586	3016150	1	那里本是一处安宁平静的村落，直到某天有人打开了装着名为「新银」的魔盒，「恶魔」便降临于此。	那裡本是一處安寧平靜的村落，直到某天有人打開了裝著名為「新銀」的魔盒，「惡魔」便降臨於此。	Once a tranquil village, it fell into chaos the moment someone opened the box containing the "argentan," unleashing a "demon" upon its inhabitants.	そこはかつて静かな村で、平和に包まれていた。しかし、ある日「ニューシルバー」という名のパンドラの箱が開かれ、「悪魔」が降臨したのだ。	원래 그곳은 평화로운 마을이었다. 누군가 어느 날 ‘뉴실버’가 담긴 판도라의 상자를 열고, ‘악마’가 강림하기 전까지는	หมู่บ้าน​เคย​สงบสุข​…​ จนกระทั่ง​วันหนึ่ง​ กล่อง​ต้องห้าม​ที่​บรรจุ​ "​อาร์เจนตัน"​ ไว้​ถูก​เปิด​ออก​ "ปีศาจร้าย" ​จึง​ปรากฏตัว​…​	通关绝望之石第3节后解锁	通關絕望之石第3節後解鎖	Clear Stones of Despair Chapter 3 to unlock	「絶望の石EP3」クリア後に解放される。	절망의 돌 챕터3 클리어 후 해제	ปลดล็อกเมื่อผ่านศิลาแห่งความสิ้นหวัง บทที่ 3
10404	1	104	1	9000068	100	10403	1	12002587	3016160	1	杀戮之后留下的只有空虚，那个本就空空如也的灵魂，这次又找到了怎样的归处呢？	殺戮之後留下的只有空虛，那個本就空空如也的靈魂，這次又找到了怎樣的歸處呢？	After the slaughter, only a profound emptiness remained. Where did that already hollow soul find its place this time?	殺戮の後、残されたのは虚無だけ。元々空っぽだった魂は、今どこに居場所を見つけたのだろうか？	살육 뒤에 남는 것은 공허뿐이다. 안 그래도 텅 비어 있던 영혼은 이제 어디로 향할까?	หลัง​การสังหาร​ เหลือ​ไว้​เพียง​ความว่างเปล่า​…​ วิญญาณ​ที่​ไร้จุดหมาย​ดั้งเดิม​ คราวนี้​จะ​พบ​ที่​พักพิง​แบบ​ไหน​?​	通关绝望之石第4节后解锁	通關絕望之石第4節後解鎖	Clear Stones of Despair Chapter 4 to unlock	「絶望の石EP4」クリア後に解放される。	절망의 돌 챕터4 클리어 후 해제	ปลดล็อกเมื่อผ่านศิลาแห่งความสิ้นหวัง บทที่ 4
10501	1	105	1	9000068	100	0	0	12002588	3016170	1	人类的贪欲总是肉眼可见，而你却无法阻止……	人類的貪欲總是肉眼可見，而你卻無法阻止……	Human greed is ever-present, yet you find yourself powerless to halt its advance.	人間の欲望は常に目の前に現れるが、それを止めることはできない……	인간의 탐욕은 보면서도 막지 못하는 법...	ความโลภ​ของ​มนุษย์​เห็นได้ชัด​เจน​เสมอ​...​ แต่​คุณ​กลับ​หยุดยั้ง​มัน​ไม่​ได้​	通关忘却之音第1节后解锁	通關忘卻之音第1節後解鎖	Clear Forgotten Murmur Chapter 1 to unlock	「忘却の音EP1」クリア後に解放される。	잊혀진 소리 챕터1 클리어 후 해제	ปลดล็อกเมื่อผ่านเสียงแห่งการลืมเลือน บทที่ 1
10502	1	105	1	9000068	100	10501	0	12002589	3016180	1	追逐欲望之人不知疲倦，成为他人的「梦魇」，让深受其害者不得安眠。	追逐欲望之人不知疲倦，成為他人的「夢魘」，讓深受其害者不得安眠。	Those who chase their desires are relentless, becoming the "nightmare" for others and robbing their victims of peace.	欲望を追い求める者たちは疲れを知らず、他人の「悪夢」になり、その犠牲者を苦しめ、安らぎを奪っていく。	욕망을 좇는 자는 지치지 않는 법. 타인의 ‘악몽’이 되어 잠에 들 수 없게 만든다	ผู้​ไล่ตาม​ความปรารถนา​ไม่​รู้จัก​เหน็ดเหนื่อย​ กลายเป็น​ "​ฝันร้าย​"​ ที่​พราก​การ​หลับใหล​จาก​ผู้​ถูก​กดขี่​...​	通关忘却之音第2节后解锁	通關忘卻之音第2節後解鎖	Clear Forgotten Murmur Chapter 2 to unlock	「忘却の音EP2」クリア後に解放される。	잊혀진 소리 챕터2 클리어 후 해제	ปลดล็อกเมื่อผ่านเสียงแห่งการลืมเลือน บทที่ 2
10503	1	105	1	9000068	100	10502	0	12002590	3016190	1	为了一个不可能实现的约定，努力存活至今的她，原来一直都活在黑暗里……	為了一個不可能實現的約定，努力存活至今的她，原來一直都活在黑暗裡……	To honor an impossible promise, she has fought to survive, yet she remains shrouded in darkness.	叶わぬ約束のために今まで生き抜いてきた彼女は、実はずっと闇の中で生きていた……	이뤄질 수 없는 약속을 위해 오늘까지 살아온 그녀, 알고 보니 이제껏 계속 어둠 속에서 살고 있었는데...	เพื่อ​พันธสัญญา​ที่​ไม่​มี​วัน​เป็นจริง​ เธอ​จึง​พยายาม​มีชีวิต​อยู่​จนถึง​วันนี้​...​ แต่​แท้จริง​แล้ว​ เธอ​ไม่​เคย​ออกจาก​ความ​มืดมิด​เลย​	通关忘却之音第3节后解锁	通關忘卻之音第3節後解鎖	Clear Forgotten Murmur Chapter 3 to unlock	「忘却の音EP3」クリア後に解放される。	잊혀진 소리 챕터3 클리어 후 해제	ปลดล็อกเมื่อผ่านเสียงแห่งการลืมเลือน บทที่ 3
10504	1	105	1	9000068	100	10503	1	12002591	3016200	1	给予了她存活的意义的你，此刻便是她唯一的光……	給予了她存活的意義的你，此刻便是她唯一的光……	You, the one who gave her a reason to live, have become her sole beacon of light.	彼女に生きる意味を与えたあなたが、今や彼女にとって唯一の光となる……	그녀에게 살아갈 의미를 줌으로써 그녀의 유일한 햇살이 되었다	คุณ​คือ​เหตุผล​เดียว​ที่​ทำให้​เธอ​มีชีวิต​อยู่​ และ​เป็น​แสงสว่าง​เพียง​หนึ่งเดียว​ของ​เธอ​ใน​ตอนนี้​...​	通关忘却之音第4节后解锁	通關忘卻之音第4節後解鎖	Clear Forgotten Murmur Chapter 4 to unlock	「忘却の音EP4」クリア後に解放される。	잊혀진 소리 챕터4 클리어 후 해제	ปลดล็อกเมื่อผ่านเสียงแห่งการลืมเลือน บทที่ 4
