id	type	showType	quality	stack	openType	openParameter	photoId	effectType	effectId	effectNum	status	辅助列	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
103008	10	101	4	1	601	0	18:card_icon_103008_1	0	0	0	1	特莉丝	恬静时刻	恬靜時刻	Pure Grace	ピースフルタイム	사일런스 타임	บทเพลงบริสุทธิ์	用于解锁特莉丝的恬静时刻。	用於解鎖特莉絲的恬靜時刻。	Unlocks Triss: Pure Grace.	トリス･ピースフルタイムを解放するのに使える。	트리스의 사일런스 타임 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "บทเพลงบริสุทธิ์" ​ของ​ท​ริ​ส​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
103002	10	101	4	1	601	0	18:card_icon_103002_1	0	0	0	1	特莉丝	纯真拜访者	純真拜訪者	Crimson Charm	純真なるお見舞い	빨간 망토	แมวน้อยหมวกแดง	用于解锁特莉丝的纯真拜访者。	用於解鎖特莉絲的純真拜訪者。	Unlocks Triss: Crimson Charm.	トリス･純真なるお見舞いを解放するのに使える。	트리스의 빨간 망토 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "แมว​น้อย​หมวก​แดง" ​ของ​ท​ริ​ส​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
103007	10	101	5	1	637	0	18:card_icon_103007_1	0	0	0	1	特莉丝	浮世谣	浮世謠	Fantasia Guitarist	浮世の謡	우키요	เมโลดี้ห้วงเวลา	用于解锁特莉丝的浮世谣。	用於解鎖特莉絲的浮世謠。	Unlocks Triss: Fantasia Guitarist.	トリス･浮世の謡を解放するのに使える。	트리스의 우키요 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "เม​โล​ดี้​ห้วงเวลา" ​ของ​ท​ริ​ส​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
103019	10	101	3	1	601	0	18:card_icon_103019_1	0	0	0	1	特莉丝	枕边童话	枕邊童話	Dream Weaver	枕元のおとぎ話	포근한 잠자리	นิทานยามราตรี	用于解锁特莉丝的枕边童话。	用於解鎖特莉絲的枕邊童話。	Unlocks Triss: Dream Weaver.	トリス･枕元のおとぎ話を解放するのに使える。	트리스의 포근한 잠자리 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "นิทาน​ยาม​ราตรี" ​ของ​ท​ริ​ส​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
103021	10	101	5	1	601	0	18:card_icon_103021_1	0	0	0	1	特莉丝	心动疗愈	心動療愈	Heartfelt Healing	ときめく癒やし	심쿵 메이드	เยียวยาด้วยใจ	用于解锁特莉丝的心动疗愈。	用於解鎖特莉絲的心動療愈。	Unlocks Triss: Heartfelt Healing.	トリス･ときめく癒やしを解放するのに使える。	트리스의 심쿵 메이드 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "เยียวยา​ด้วยใจ" ​ของ​ท​ริ​ส​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
104003	10	101	4	1	601	0	18:card_icon_104003_1	0	0	0	1	南弥生	封面女郎	封面女郎	Catwalk Diva	カバーガール	패셔니스타	แคทวอล์คโมเดล	用于解锁南弥生的封面女郎。	用於解鎖南彌生的封面女郎。	Unlocks Minami: Catwalk Diva.	南弥生･カバーガールを解放するのに使える。	미나미의 패셔니스타 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "แคทวอล์ค​โมเดล" ​ของ​มิ​นา​มิ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
104005	10	101	3	1	601	0	18:card_icon_104005_1	0	0	0	1	南弥生	高级特工	高級特工	Ghost Agent	敏腕スパイ	스페셜 에이전트	ยอดสายลับ	用于解锁南弥生的高级特工。	用於解鎖南彌生的高級特工。	Unlocks Minami: Ghost Agent.	南弥生･敏腕スパイを解放するのに使える。	미나미의 스페셜 에이전트 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ยอด​สายลับ" ​ของ​มิ​นา​มิ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
104001	10	101	5	1	601	0	18:card_icon_104001_1	0	0	0	1	南弥生	绯红武士	緋紅武士	Scarlet Samurai	真紅の侍	비색의 무사	สการ์เลตต์ซามูไร	用于解锁南弥生的绯红武士。	用於解鎖南彌生的緋紅武士。	Unlocks Minami: Scarlet Samurai.	南弥生･真紅の侍を解放するのに使える。	미나미 비색의 무사 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "สการ์เลตต์​ซามูไร" ​ของ​มิ​นา​มิ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
104008	10	101	4	1	601	0	18:card_icon_104008_1	0	0	0	1	南弥生	夜间执勤	夜間執勤	Doctor on Duty	夜間勤務	당직 근무	คุณหมอจำเป็น	用于解锁南弥生的夜间执勤。	用於解鎖南彌生的夜間執勤。	Unlocks Minami: Doctor on Duty.	南弥生･夜間勤務を解放するのに使える。	미나미의 당직 근무 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "คุณหมอ​จำเป็น" ​ของ​มิ​นา​มิ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
105008	10	101	5	1	601	0	18:card_icon_105008_1	0	0	0	1	内特	英雄憧憬	英雄憧憬	Heroic Visage	憧れのヒーロー	엠비셔스 보이	ฮีโร่ในความฝัน	用于解锁内特的英雄憧憬。	用於解鎖內特的英雄憧憬。	Unlocks Nate: Heroic Visage.	ネイト･憧れのヒーローを解放するのに使える。	네이트 엠비셔스 보이 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ฮีโร่​ใน​ความฝัน" ​ของ​เนท​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
105001	10	101	4	1	601	0	18:card_icon_105001_1	0	0	0	1	内特	障碍破坏	障礙破壞	Barrier Blaster	障害破壊	로드메이커	ฝ่ายบุกทะลวง	用于解锁内特的障碍破坏。	用於解鎖內特的障礙破壞。	Unlocks Nate: Barrier Blaster.	ネイト･障害破壊を解放するのに使える。	네이트 로드메이커 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ฝ่าย​บุก​ทะลวง" ​ของ​เนท​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
105002	10	101	3	1	601	0	18:card_icon_105002_1	0	0	0	1	内特	纪律监督	紀律監督	Campus Watcher	風紀委員	선도부장	นายระเบียบ	用于解锁内特的纪律监督。	用於解鎖內特的紀律監督。	Unlocks Nate: Campus Watcher.	ネイト･風紀委員を解放するのに使える。	네이트의 선도부장 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "นาย​ระเบียบ" ​ของ​เนท​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
105006	10	101	4	1	601	0	18:card_icon_105006_1	0	0	0	1	内特	海滩冒险	海灘冒險	Beach Adventure	シーサイドアドバンチャー	비치 보이	พจญภัยบนชายหาด	用于解锁内特的海滩冒险。	用於解鎖內特的海灘冒險。	Unlocks Nate: Beach Adventure.	ネイト･シーサイドアドバンチャーを解放するのに使える。	네이트의 비치 보이 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "พจญ​ภัย​บน​ชายหาด" ​ของ​เนท​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
106008	10	101	4	1	601	0	18:card_icon_106008_1	0	0	0	1	小音	橘色纯真	橘色純真	Orange Naivete	オレンジイノセンス	오렌지 이노센스	แมวส้มแสนซน	用于解锁小音的橘色纯真。	用於解鎖小音的橘色純真。	Unlocks Poppy: Orange Naivete.	イナ･オレンジイノセンスを解放するのに使える。	이나의 오렌지 이노센스 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "แมวส้มแสนซน" ของ​อิ​นะ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
106001	10	101	3	1	601	0	18:card_icon_106001_1	0	0	0	1	小音	搬运工	搬運工	Little Docker	運び屋	큐티 포터	แมวส้มขนส่ง	用于解锁小音的搬运工。	用於解鎖小音的搬運工。	Unlocks Poppy: Little Docker.	イナ･運び屋を解放するのに使える。	이나의 큐티 포터 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "แมว​ส้ม​ขนส่ง" ​ของ​อิ​นะ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
106002	10	101	5	1	601	0	18:card_icon_106002_1	0	0	0	1	小音	幽灵社团	幽靈社團	Ghost Club	幽霊クラブ	심령 동아리	ชมรมลี้ลับ	用于解锁小音的幽灵社团。	用於解鎖小音的幽靈社團。	Unlocks Poppy: Ghost Club.	イナ･幽霊クラブを解放するのに使える。	이나의 심령 동아리 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ชมรม​ลี้ลับ" ​ของ​อิ​นะ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
106010	10	101	4	1	601	0	18:card_icon_106010_1	0	0	0	1	小音	不思议鸭鸭	不思議鴨鴨	Duck 'n' Roll	ダックファンタシー	어린이 구조대	ห่วงยางเป็ด	用于解锁小音的不思议鸭鸭。	用於解鎖小音的不思議鴨鴨。	Unlocks Poppy: Duck 'n' Roll.	イナ･ダックファンタシーを解放するのに使える。	이나의 어린이 구조대 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ห่วงยางเป็ด" ​ของ​อิ​นะ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
107008	10	101	4	1	601	0	18:card_icon_107008_1	0	0	0	1	伊德	继承者	繼承者	Protector	継承者	인헤리터	ผู้พิทักษ์	用于解锁伊德的继承者。	用於解鎖伊德的繼承者。	Unlocks Idego: Protector.	イード･継承者を解放するのに使える。	에이드의 인헤리터 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ผู้พิทักษ์​" ของ​เอ็ด​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
107001	10	101	5	1	601	0	18:card_icon_107001_1	0	0	0	1	伊德	烈火战线	烈火戰線	Frontline Warder	烈火戦線	파이어 파이터	ผู้พิทักษ์แนวหน้า	用于解锁伊德的烈火战线。	用於解鎖伊德的烈火戰線。	Unlocks Idego: Frontline Warder.	イード･烈火戦線を解放するのに使える。	에이드의 파이어 파이터 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ผู้พิทักษ์​แนวหน้า" ​ของ​เอ็ด​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
107005	10	101	4	1	601	0	18:card_icon_107005_1	0	0	0	1	伊德	雪地飞驰	雪地飛馳	Dashing Snow	スキーフライング	보드 마스터	สโนว์รันเนอร์	用于解锁伊德的雪地飞驰。	用於解鎖伊德的雪地飛馳。	Unlocks Idego: Dashing Snow.	イード･スキーフライングを解放するのに使える。	에이드의 설산의 질주 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "ส​โน​ว์​รัน​เนอร์" ​ของ​เอ็ด​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
108008	10	101	3	1	601	0	18:card_icon_108008_1	0	0	0	1	小白	AI助理	AI助理	AI Assistant	AIアシスタント	AI 어시스턴트	AI ผู้ช่วย	用于解锁小白的AI助理。	用於解鎖小白的AI助理。	Unlocks Shiro: AI Assistant.	シロ･AIアシスタントを解放するのに使える。	화이트의 AI 어시스턴트 해제 시 사용된다	ใช้​ใน​การ​ปลดล็อก​ "AI​ ผู้ช่วย" ​ของ​ชิ​โระ​	若已获得该战斗员，则会获得对应的核心。	若已獲得該戰鬥員，則會獲得對應的核心。	If you already own this Combatant, you will receive the corresponding Core instead.	入手済みの戦闘員を再び獲得すると、当該戦闘員の核心に変換される。	보유 중인 전투원 획득 시, 대응되는 코어를 획득합니다.	หาก​มี​ตัวละคร​นี้​อยู่แล้ว​ ก็​จะ​ได้รับ​แกน​หลัก​ที่​สอดคล้องกัน​
