id	character	condition	status	content	content_zh_TW	content_en_UK	content_ja_JP	content_ko_KR	content_th_TH
10210	102	203	1	跑掉的好像是_fishName_欸，真可惜，不能太放松了哟~	跑掉的好像是_fishName_欸，真可惜，不能太放鬆了喲~	Looks like the one that got away was a _fishName_... What a shame. We can't let our guard down...	逃げたのは_fishName_だね。残念だったね、気を緩めちゃダメだよ～	도망친 건 _fishName_인 것 같아. 아쉽네. 너무 힘을 빼면 안 돼~	ดูเหมือน​ที่​หนี​ไป​จะ​เป็น​ _fishName_​ น่าเสียดาย​จัง​ อย่า​ปล่อยมือ​เร็ว​เกินไป​สิ​เมี้ยว​~​
10211	102	204	1	糟啦，_fishName_把鱼线扯断啦！我们还是<color=#ff1baf>换更好的渔具</color>吧，下次一定能钓上来！	糟啦，_fishName_把魚線扯斷啦！我們還是<color=#ff1baf>換更好的漁具</color>吧，下次一定能釣上來！	Oh no! The _fishName_ broke the line! Let's <color=#ff1baf>get better fishing gear</color>. We'll get it next time!	ダメだ、_fishName_が釣り糸を切ってしまった！次は<color=#ff1baf>もっと良い釣具</color>を使おう、次はきっと釣れるよ！	앗, _fishName_(이)가 낚싯줄을 끊었어! 우리 <color=#ff1baf>더 좋은 낚시 도구</color>로 바꾸는 게 어떨까? 다음엔 잡을 수 있을 거야!	แย่​แล้ว​ _fishName_​ ทำ​สาย​เบ็ด​ขาด​!​ เรา​มา​<color=#ff1baf>เปลี่ยนอุปกรณ์ตกปลาที่ดีกว่านี้</color>​กัน​เถอะ​ คราวหน้า​ต้อง​ตก​ได้​แน่นอน​!​
10212	102	301	1	呼~还以为要逃走了。	呼~還以為要逃走了。	Phew— I thought it was gonna get away.	ふぅ、逃げられるのかと思ったよ。	휴~ 도망쳤는지 알았어	ฮู้​~​ นึก​ว่า​จะ​หนี​ไป​ได้​ซะ​แล้ว​
10213	102	301	1	用力一点啦！再加把劲~	用力一點啦！再加把勁~	Try harder! Keep going!	もう少し力を！もっと頑張って！	조금만 더 힘을 내! 파이팅~	ออกแรง​อีกหน่อย​!​ สู้​ๆ​ นะ​~​
10214	102	301	1	快了快了！就要成功啦！	快了快了！就要成功啦！	We're almost there!	もうすぐだ！成功するぞ！	빨리빨리! 거의 다 잡았어!	ใกล้​แล้ว​ๆ​!​ กำลังจะ​สำเร็จ​แล้ว​!​
10215	102	301	1	调查官加~油~加~油~	調查官加~油~加~油~	Go Inspector! Go, go, go!	調査官、頑張れ～頑張れ～	조사관, 파이팅~ 파이팅~	สู้ๆ~นะ~ผู้~ตรวจ~การ~
10216	102	301	1	坚持住！艾可已经迫不及待了喵！	堅持住！艾可已經迫不及待了喵！	Keep it up! I can't wait!	持ちこたえて！アイコはもう待ちきれないにゃ！	조금만 더 버텨 봐! 에코는 정말 기대된다구!	อดทน​ไว้​!​ เอ​ค​โค​ใจจะขาด​แล้ว​เมี้ยว​!​
10217	102	302	1	哇哇哇，要逃走了喵！	哇哇哇，要逃走了喵！	Whoa, Whoa! It's getting away!	あわわわ、逃げちゃうにゃ！	아아아, 도망쳐버릴 것 같다냥!	ว้าว​ ว้าว​ ว้า​ มัน​จะ​หนี​แล้ว​เมี้ยว​!​
10218	102	302	1	用力，再用力！	用力，再用力！	Keep going! More!	力を入れて、もっと力を！	조금만 더 힘을 내라구!	ออกแรง ออกแรงอีก!
10219	102	302	1	调查官小心！别让它跑了!	調查官小心！別讓它跑了!	Inspector, be careful! Don't let it get away!	調査官、注意して！逃がさないで！	조사관, 조심해! 도망치지 못하게 하라구!	ระวัง​นะ​ผู้ตรวจการ​!​ อย่า​ให้​มัน​หนี​ล่ะ​!​
10220	102	302	1	哈啊——鱼线要断掉了！	哈啊——魚線要斷掉了！	Ahhh—! The line is about to break!	うわー！釣り糸が切れそう！	하아——낚싯줄이 끊어질 것 같아!	ว้าย​—​ สาย​เบ็ด​จะ​ขาด​แล้ว​!​
10221	102	302	1	调查官，加油！你一定可以的吧？！	調查官，加油！你一定可以的吧？！	Go, Inspector! You can do it, right!?	調査官、頑張って！きっとできるよ？！	조사관, 힘내! 넌 할 수 있을 거야. 그치?!	สู้​ๆ​ นะ​ผู้ตรวจการ​!​ ต้อง​ทำได้​แน่ๆ​ เลย​?!​
10301	103	101	1	还可以更好哟。	還可以更好喲。	You can do better!	もっと上手くできますわ。	더 잘하실 수 있을 거예요	ทำได้ดีกว่านี้อีกนะ
10302	103	102	1	调查官，很厉害呢~	調查官，很厲害呢~	You're awesome, Inspector.	調査官さん、素晴らしいですわ～	조사관님, 대단하시네요~	เก่ง​จัง​เลย​นะคะ​ คุณ​ผู้ตรวจการ​~​
10303	103	103	1	我就知道，调查官是最棒的。	我就知道，調查官是最棒的。	I knew it. You're the best, Inspector!	やはり調査官さんは最高です。	전 조사관님이 최고일 줄 알았어요	ฉัน​รู้​อยู่แล้ว​ ว่า​คุณ​ผู้ตรวจการ​เก่ง​ที่สุด​
10304	103	201	1	很大一条鱼呢~	很大一條魚呢~	That's one big fish.	大きな魚ですね～	엄청난 월척이네요~	ปลา​ตัว​ใหญ่​มาก​เลย​นะคะ​~​
10305	103	201	1	辛苦了，调查官。	辛苦了，調查官。	Well done, Inspector.	お疲れ様です、調査官さん。	수고하셨어요. 조사관님	เหนื่อย​หน่อย​นะคะ​ คุณ​ผู้ตรวจการ​
10306	103	201	1	真有活力啊~	真有活力啊~	You've got a lot of energy!	とても活力がありますね～	정말 기운이 넘치네요~	ช่างมีชีวิตชีวาจริงๆ~
10307	103	201	1	不愧是我欣赏的人。	不愧是我欣賞的人。	As I expected from my idol.	さすが私が尊敬する方ですわ。	역시 제가 좋아하는 분이시네요	สม​แล้ว​ที่​เป็น​คน​ที่​ฉัน​ชื่นชอบ​น่ะ​
10308	103	201	1	啊…连这个也难不倒调查官吗？	啊…連這個也難不倒調查官嗎？	Wow... You breezed through that like it was nothing!	あら……これもお見通しですか？	아… 이것도 조사관님에게는 어려운 일이 아니었군요?	อ้า​...​ แม้แต่​อันนี้​ก็​ไม่​ยาก​เกินไป​สำหรับ​คุณ​ผู้ตรวจการ​สิ​นะคะ​?​
10309	103	202	1	是_fishName_呢，看来不能用这么大的力度啊，需要我帮忙吗？	是_fishName_呢，看來不能用這麼大的力度啊，需要我幫忙嗎？	It's a _fishName_... It probably didn't need that much force to pull it in. Do you need my help?	_fishName_ですわ、こんなに力を入れてはダメなようです、お手伝いしましょうか？	_fishName_였네요. 이렇게 힘을 많이 주면 안될 것 같은데, 제가 도와드릴까요?	เป็น​ _fishName_​ ค่ะ​ ดูเหมือน​จะ​ใช้​แรง​มาก​ไป​หน่อย​ ให้​ฉัน​ช่วย​ไหม​คะ​?​
10310	103	203	1	看影子应该是_fishName_，有些可惜，调查官我们再接再厉吧。	看影子應該是_fishName_，有些可惜，調查官我們再接再厲吧。	Judging from the shadow, it was a _fishName_. Darn. We'll try harder next time, Inspector.	魚影を見る限り_fishName_のようです、残念ですわね。調査官さん、次はもっと頑張りましょう。	그림자를 보니까 _fishName_인 것 같았는데, 조금 아쉬워요. 우리 조금만 더 노력해 봐요	ดู​จาก​เงา​น่าจะเป็น​ _fishName_​ น่าเสียดาย​ เรา​มา​พยายาม​ต่อกัน​เถอะ​ค่ะ​
10311	103	204	1	调查官，我们去买<color=#ff1baf>更好一些的渔具</color>吧，一定能把那条_fishName_钓上来。	調查官，我們去買<color=#ff1baf>更好一些的漁具</color>吧，一定能把那條_fishName_釣上來。	Let's buy <color=#ff1baf>some better fishing gear</color>, Inspector. Surely then we can catch that _fishName_.	調査官さん、<color=#ff1baf>もっと良い釣具</color>を買いに行きましょう、そうすれば必ずあの_fishName_を釣り上げられます。	조사관님, 우리 <color=#ff1baf>더 좋은 낚시 도구</color>를 사러 가요. 그러면 그 _fishName_(을)를 잡을 수 있을 거예요	คุณ​ผู้ตรวจการ​ เรา​ไป​ซื้อ​<color=#ff1baf>อุปกรณ์ตกปลาที่ดีกว่านี้</color>​กัน​เถอะ​ค่ะ​ ต้อง​ตก​ _fishName_​ ตัว​นั้น​ได้​แน่ๆ​
10312	103	301	1	现在还不能松懈。	現在還不能鬆懈。	We can't stop yet.	まだ油断できません。	아직 힘을 빼면 안 되요	ยัง​ผ่อนแรง​ไม่​ได้​นะคะ​ตอนนี้​
10313	103	301	1	胜利就在眼前了。	勝利就在眼前了。	We're almost there!	勝利はもう目の前です。	승리가 바로 눈앞에 있어요	ชัยชนะ​อยู่​แค่เอื้อม​แล้ว​ค่ะ​
10314	103	301	1	调查官，请加油。	調查官，請加油。	Keep it up, Inspector!	調査官さん、頑張ってください。	조사관님, 힘 내세요	สู้​ๆ​ นะคะ​ คุณ​ผู้ตรวจการ​
10315	103	301	1	很好哟，看上去就快要钓上来了。	很好喲，看上去就快要釣上來了。	Good. Nearly there.	いいですね、もうすぐ釣り上げられそうですよ。	좋아요. 곧 잡을 수 있을 거예요	ดีมาก​เลย​ ดูเหมือน​ใกล้​จะ​ได้​แล้ว​นะคะ​
10316	103	301	1	我们再坚持一下吧？	我們再堅持一下吧？	Let's keep going a bit longer, shall we?	もう少し頑張りましょうか？	우리 조금만 더 버텨볼래요?	เรา​อดทน​กัน​อีก​สักหน่อย​ไหม​คะ​?​
10317	103	302	1	鱼准备逃走了。	魚準備逃走了。	The fish is about to get away.	魚が逃げようとしています。	물고기가 도망치려고 해요	ปลา​กำลังจะ​หนี​ไป​แล้ว​ค่ะ​
10318	103	302	1	鱼线会支撑不住的。	魚線會支撐不住的。	The line is going to break.	釣り糸が持たないかもしれません。	낚시줄이 못 버틸 것 같네요	สาย​เบ็ด​กำลังจะ​ไม่​ไหว​แล้ว​ค่ะ​
10319	103	302	1	它又要开始挣脱了。	它又要開始掙脫了。	It's fighting hard again.	また逃げようとしています。	또 도망칠려고 하는 것 같아	มัน​กำลังจะ​ดิ้น​หลุด​อีกแล้ว​ค่ะ​
10320	103	302	1	要放它离开吗？	要放它離開嗎？	Do we just let it go?	逃がしてしまうのですか？	놓아주려고?	จะ​ปล่อย​ให้​มัน​หนี​ไป​เหรอ​คะ​?​
10321	103	302	1	调查官，专注一些哦。	調查官，專注一些哦。	Focus, Inspector…	調査官さん、集中してください。	조사관, 조금 더 집중해	คุณ​ผู้ตรวจการ​ โฟกัส​อีก​นิด​นะคะ​
10401	104	101	1	要再努力些才行。	要再努力些才行。	We've gotta try harder.	もっと頑張らないとね。	더 노력해야 해	ต้อง​พยายาม​ให้​มากขึ้น​นะ​
10402	104	102	1	不错嘛~	不錯唷~	Not too bad!	なかなかいいね～	잘하고 있어~	เยี่ยมไปเลย~
10403	104	103	1	哇哦~真有你的~	哇哦~真有你的~	Whoa— You're pretty good!	わ～お！さすが～	와우~ 정말 대단하네~	ว้าว~ เก่งจริงๆ~
10404	104	201	1	不错，让我也想试试了。	不錯，讓我也想試試了。	Not bad. I wanna give it a shot too.	いいな、私もやってみたいわ。	잘했어. 나도 해보고 싶어지네	ไม่เลว​เลย​ ฉัน​เอง​ก็​อยาก​ลอง​ตก​บ้าง​แล้ว​สิ​
10405	104	201	1	这条小鱼真是可爱。	這條小魚真是可愛。	This fish is pretty cute.	この小魚は本当にかわいいわね。	이 작은 물고기는 정말 귀여운걸	ปลาตัวน้อยน่ารักจังเลย
10406	104	201	1	真想为你鼓掌。	真想為你鼓掌。	I'll cheer for you!	拍手を送りたいわ。	박수를 쳐주고 싶을 정도야	อยากปรบมือให้จริงๆ
10407	104	201	1	看来完全不需要我帮助呢。	看來完全不需要我説明呢。	Seems like you don't need my help even a bit!	どうやら私の助けは全く必要ないみたいね。	지금 보니 내 도움은 아예 필요없겠어	ดูเหมือน​ไม่ต้อง​ให้​ฉัน​ช่วย​เลย​นะ​
10408	104	201	1	得好好表扬你一下。	得好好表揚你一下。	I must congratulate you!	しっかり褒めてあげないと。	제대로 한번 칭찬해줘야겠네	ต้อง​ชมเชย​สักหน่อย​แล้ว​
10409	104	202	1	刚刚的是_fishName_呢，原来调查官力气这么大呀，不过，稍微用错地方了哟。	剛剛的是_fishName_呢，原來調查官力氣這麼大呀，不過，稍微用錯地方了喲。	It was a _fishName_. Huh, you're pretty strong, Inspector. But isn't it a waste on this?	さっきのは_fishName_だったわ。調査官があんなにも力持ちだったなんて、ちょっと使い方は間違ってたけどね。	방금 그건 _fishName_였어. 조사관이 이렇게 힘이 센 줄은 몰랐는걸. 하지만 힘을 좀 잘못쓴 것 같아	เมื่อกี้​เป็น​ _fishName_​ นะ​ ที่แท้​ผู้ตรวจการ​แรง​เยอะ​ แต่ว่า​ใช้​แรง​ผิดที่​ไป​หน่อย​นะ​
10410	104	203	1	哦~原来是_fishName_啊，调查官，小瞧它的话，会吃亏的哟~	哦~原來是_fishName_啊，調查官，小瞧它的話，會吃虧的喲~	Oh, so it was a _fishName_. Inspector, don't underestimate that one, you'll be sorry!	おっと、やっぱり_fishName_だったわ。調査官、舐めちゃダメよ～	오~ _fishName_이었구나~ 조사관이 만만하게 보다간 큰코 다칠걸	อ้อ​~​ ที่แท้​ก็​ _fishName_​ นี่เอง​ ผู้ตรวจการ​ ถ้า​ดูถูก​มัน​จะ​แย่​เอา​ได้​นะ​~​
10411	104	204	1	看起来<color=#ff1baf>该换渔具</color>了啊，应对_fishName_的话，使用<color=#ff1baf>更好的渔具</color>会轻松一些。	看起來<color=#ff1baf>該換漁具</color>了啊，應對_fishName_的話，使用<color=#ff1baf>更好的漁具</color>會輕鬆一些。	Looks like it's time to <color=#ff1baf>change out your gear</color>, huh? Dealing with _fishName_, using <color=#ff1baf>better equipment</color> will make it easier.	<color=#ff1baf>釣具の変え時</color>かな、_fishName_に対しては<color=#ff1baf>もっと良い釣具</color>を使った方が楽よ。	<color=#ff1baf>낚시 도구를 바꿔야</color> 할 것 같아. _fishName_(을)를 잡으려면 <color=#ff1baf>더 좋은 낚시 도구</color>를 사용해야 할 거야	ดูเหมือน​<color=#ff1baf>ต้องเปลี่ยนอุปกรณ์ตกปลา</color>​แล้ว​ล่ะ​ ถ้า​เจอ​กับ​ _fishName_​ ใช้​<color=#ff1baf>อุปกรณ์ที่ดีกว่า</color>​จะ​ตก​ง่าย​กว่า​นะ​
10412	104	301	1	鱼看上去有些疲劳了，抓住机会。	魚看上去有些疲勞了，抓住機會。	The fish seems to be tiring. Now's the time!	魚が疲れてきたみたい、チャンスよ。	물고기가 조금 지쳤나 봐. 기회를 잘 잡아야 해	ดูเหมือน​ปลา​จะ​เหนื่อย​แล้ว​ จังหวะ​นี้แหละ​
10413	104	301	1	就是这样，继续加油。	就是這樣，繼續加油。	That's it... Keep going…	そうそう、その調子で頑張ろう。	이렇게 계속 힘내라구	ใช่แล้ว ลองต่อไปนะ
10414	104	301	1	再用点力，调查官。	再用點力，調查官。	Just a bit more, Inspector…	調査官、もう少し力を入れて。	조금만 더 힘을 내 봐. 조사관	ออกแรง​อีกหน่อย​นะ​ผู้ตรวจการ​
10415	104	301	1	不错哟，继续保持。	不錯喲，繼續保持。	Not bad! Keep it up.	いい感じ、その調子よ。	잘하고 있어. 계속 유지해	ดีมาก​เลย​ รักษา​แบบนี้​ไว้​นะ​
10416	104	301	1	嗯，对~维持这个节奏~	嗯，對~維持這個節奏~	That's the way... Keep that rhythm going!	うん、そうそう、このリズムを保って。	응. 맞아~ 이 리듬을 유지해야 해	อืม​ ใช่​แล้ว​~​ รักษา​จังหวะ​แบบนี้​ไว้​~​
10417	104	302	1	可别让它逃了。	可別讓它逃了。	Don't let it get away!	逃がさないように。	도망치지 않게 주의해	อย่าให้มันหนีไปนะ!
10418	104	302	1	太放松了哟。	太放鬆了喲。	You're too loose.	リラックスしすぎだよ。	너무 맥놓고 있는 것 같은데	ผ่อนแรงเกินไปแล้วนะ
10419	104	302	1	看来鱼还很有力气呢。	看來魚還很有力氣呢。	Seems like the fish has plenty of fight left in it!	魚にはまだ力が残ってるみたい。	물고기가 아직도 힘이 넘치는 것 같네	ดูเหมือน​ปลา​ยังมี​แรง​เยอะ​อยู่เลย​
10420	104	302	1	哎呀呀~这可不妙啊~	哎呀呀~這可不妙啊~	Ohoho, that's not good.	あちゃー、これはマズいかも。	아이고~ 큰일이네~	อ้าว​ว้า​~​ แย่​แล้ว​ล่ะ​~​
10421	104	302	1	调查官，没力气了吗？	調查官，沒力氣了嗎？	Getting tired, Inspector?	調査官、力尽きちゃった？	조사관, 지금 힘 빠졌지?	ผู้ตรวจการ​ หมดแรง​แล้ว​เหรอ​?​
10501	105	101	1	刚刚晃神了吧？	剛剛晃神了吧？	Where'd you just go in your head?	ちょっとぼんやりしてた？	지금 딴 생각했지?	เมื่อกี้​เหม่อ​ใช่ไหม​ล่ะ​?​
10502	105	102	1	这位置棒极了！	這位置棒極了！	This is an excellent spot!	この位置は完璧だ！	이 스팟은 최고야!	ตำแหน่ง​นี้​เยี่ยม​ไป​เลย​!​
10503	105	103	1	完美！不愧是你啊！	完美！不愧是你啊！	Perfect! You're good!	完璧だ！さすがだね！	퍼펙트! 역시 너야!	เพอร์เฟค​!​ สม​แล้ว​ที่​เป็นคุณ​!​
10504	105	201	1	难得啊！	難得啊！	Incredible!	珍しいね！	보기 드문 것이네!	หายากสุดๆ เลย!
10505	105	201	1	喔——！成功了！	喔——！成功了！	Woohoo! We did it!	わー！成功だ！	아——! 잡았어	โอ้ว—! สำเร็จแล้ว!
10506	105	201	1	上钩了上钩了！	上鉤了上鉤了！	It bit! It bit!	かかった、かかった！	걸렸어! 결렀어!	ติดเบ็ดแล้วๆ!
10507	105	201	1	哇！太不容易啦！	哇！太不容易啦！	Wow! That took a lot of work!	わあ、本当に大変だった！	우왓! 진짜 쉽지 않네!	ว้าว​!​ ไม่​ง่าย​เลย​นะเนี่ย​!​
10508	105	201	1	快让我看看是什么宝贝！	快讓我看看是什麼寶貝！	Show me what kind of goodies you got!	早く何が釣れたか見せて！	어떤 귀한 건지 얼른 보여 줘!	ขอ​ดู​หน่อย​ว่า​ได้​ของดี​อะไร​มา​!​
10509	105	202	1	哎哟，就差一点了！刚刚那应该是_fishName_，下次咱们小点力气吧？	哎喲，就差一點了！剛剛那應該是_fishName_，下次咱們小點力氣吧？	Aw, we were so close! That was probably a _fishName_. Next time, we'll want to loosen up on the line, okay?	あちゃー、あとちょっとだったのに！さっきのは_fishName_だったね、次はもう少し力を抜こうぜ？	아, 조그만 더 하면 됐는데! 방금 그건 _fishName_였는데, 다음에 우리 조금 힘을 빼고 해보는 게 어떨까?	แหม​ เกือบ​ได้​แล้ว​เชียว​!​ เมื่อกี้​น่าจะเป็น​ _fishName_​ คราวหน้า​เรา​ค่อยๆ​ ออกแรง​กัน​นะ​?​
10510	105	203	1	啊——被挣脱了……那条是_fishName_，下次再大力一些就没问题了！	啊——被掙脫了……那條是_fishName_，下次再大力一些就沒問題了！	Darn, it escaped... That was a _fishName_. Next time, remember to pull firmly as you reel it in.	あー、逃がしてしまった……さっきのは_fishName_だったぞ、次はもっと力を入れれば大丈夫だ！	아—— 놓쳤어... 그건 _fishName_였어. 다음엔 조금만 더 힘을 내면 잡을 수 있을 거야	อ้า​—​ หลุด​ไป​แล้ว​...​ ตัว​นั้น​เป็น​ _fishName_​ คราวหน้า​ออกแรง​เยอะ​กว่า​นี้​อีก​นิด​ก็​ไม่​มีปัญหา​แล้ว​!​
