Id	roleId	groupId	rolename	name	voice	voice2	status	desk	desk_zh_TW	desk_en_UK	desk_ja_JP	desk_ko_KR	desk_th_TH	desk2	desk2_zh_TW	desk2_en_UK	desk2_ja_JP	desk2_ko_KR	desk2_th_TH
10	101018	3	非天	赠送礼物后	vo_give_gift_101018	vo_give_gift_101018	1	多谢。调查官……总是无微不至。	多謝。調查官……總是無微不至。	Thanks a lot, Inspector! You're always so good with the details.	調査官のお心遣い、ありがとうございます。	고마워 조사관… 항상 나를 챙겨줘서.	ขอบคุณ​นะ​ ผู้ตรวจ​กา​ร.​..​ คอย​เอาใจใส่​อยู่​เสมอ​เลย​นะ​	多谢。调查官……总是无微不至。	多謝。調查官……總是無微不至。	Thanks a lot, Inspector! You're always so good with the details.	調査官のお心遣い、ありがとうございます。	고마워 조사관… 항상 나를 챙겨줘서.	ขอบคุณ​นะ​ ผู้ตรวจ​กา​ร.​..​ คอย​เอาใจใส่​อยู่​เสมอ​เลย​นะ​
11	102001	1	艾可	打招呼	vo_hello_gift_102001	vo_hello_gift_102001	1	欸？是来自星星的礼物吗？	咦？是來自星星的禮物嗎？	Huh? Is this a gift from a star?	あれ？お星様からのプレゼントかな？	에? 별에서 온 선물이야?	เอ๋​?​ นี่​เป็น​ของขวัญ​จาก​ดวงดาว​งั้น​เหรอ​?​	欸？是来自星星的礼物吗？	咦？是來自星星的禮物嗎？	Huh? Is this a gift from the stars?	あれ？お星様からのプレゼントかな？	에? 별에서 온 선물이야?	เอ๋​?​ นี่​เป็น​ของขวัญ​จาก​ดวงดาว​งั้น​เหรอ​?​
12	102001	3	艾可	赠送礼物后	vo_give_gift_102001	vo_give_gift_102001	1	嘿嘿~调查官还是很浪漫的嘛！	嘿嘿~調查官還是很浪漫的啊！	Ho ho! The Inspector is quite the romantic, huh?	なんだ～調査官もロマンが分かるのね！	헤헤~ 조사관, 꽤 로맨틱한걸!	ฮี​ฮี​~​ ผู้ตรวจการ​นี่​โรแมนติก​จัง​เลย​นะ​!​	嘿嘿~调查官还是很浪漫的嘛！	嘿嘿~調查官還是很浪漫的啊！	Ho ho! It appears Miss Inspector is a true romantic at heart, huh?	なんだ～調査官もロマンが分かるのね！	헤헤~ 조사관, 꽤 로맨틱한걸!	ฮี​ฮี​~​ ผู้ตรวจการ​นี่​โรแมนติก​จัง​เลย​นะ​!​
13	102007	1	艾可	打招呼	vo_hello_gift_102007	vo_hello_gift_102007	1	哇——调查官来支持艾可演出啦！	哇——調查官來支持艾可演出啦！	Ooh, the Inspector came to watch Echo perform?	うわ～！調査官もアイコのライブを見に来たのね！	와아~ 조사관, 에코 공연하는 거 응원해 주러 온 거냥?	ว้าว​—​ ผู้ตรวจการ​มา​เชียร์​เอ​ค​โค​ด้วย​ล่ะ​!​	哇——调查官来支持艾可演出啦！	哇——調查官來支持艾可演出啦！	Ooh, Miss Inspector came to watch Echo perform?	うわ～！調査官もアイコのライブを見に来たのね！	와아~ 조사관, 에코 공연하는 거 응원해 주러 온 거냥?	ว้าว​—​ ผู้ตรวจการ​มา​เชียร์​เอ​ค​โค​ด้วย​ล่ะ​!​
14	102007	3	艾可	赠送礼物后	vo_give_gift_102007	vo_give_gift_102007	1	作为报答，让艾可为你演奏一曲吧~	作為報答，讓艾可為你演奏一曲吧~	Well, do let Echo play a song for you as a personal thanks!	お礼に、アイコが調査官のために一曲奏でよう～！	보답으로 에코가 한 곡 연주해 주겠다냥~	เพื่อ​เป็น​การตอบแทน​ ให้​เอ​ค​โค​เล่น​ให้​สัก​เพลง​นะ​ เถอะ​นะ​~​	作为报答，让艾可为你演奏一曲吧~	作為報答，讓艾可為你演奏一曲吧~	Well, do let Echo play a song for you as a personal thanks!	お礼に、アイコが調査官のために一曲奏でよう～！	보답으로 에코가 한 곡 연주해 주겠다냥~	เพื่อ​เป็น​การตอบแทน​ ให้​เอ​ค​โค​เล่น​ให้​สัก​เพลง​นะ​ เถอะ​นะ​~​
15	102008	1	艾可	打招呼	vo_hello_gift_102008	vo_hello_gift_102008	1	好耶！有礼物！	好耶！有禮物！	Wonderful! An absolute gift.	やった～プレゼントだ！	오예, 선물이다!	เย่! มีของขวัญด้วย!	好耶！有礼物！	好耶！有禮物！	Wonderful! An absolute gift.	やった～プレゼントだ！	오예, 선물이다!	เย่! มีของขวัญด้วย!
16	102008	3	艾可	赠送礼物后	vo_give_gift_102008	vo_give_gift_102008	1	我就知道调查官最好了~	我就知道調查官最好了~	I knew it! The Inspector is the best!	調査官はアイコのことを一番分かってくれると信じてたわ！	역시 조사관이 최고다냥~	ฉัน​รู้​อยู่แล้ว​ว่า​ผู้ตรวจการ​น่ะ​ใจดี​ที่สุด​เลย​~​	我就知道调查官最好了~	我就知道調查官最好了~	I knew it! Inspector is the best!	調査官はアイコのことを一番分かってくれると信じてたわ！	역시 조사관이 최고다냥~	ฉัน​รู้​อยู่แล้ว​ว่า​ผู้ตรวจการ​น่ะ​ใจดี​ที่สุด​เลย​~​
17	102011	1	艾可	打招呼	vo_hello_gift_102011	vo_hello_gift_102011	1	是什么呢？好期待啊~	是什麼呢？好期待啊~	What is it, then? I'm excited to find out!	なになに？アイコ、気になる！	이건 뭐야? 정말 기대되는걸	คือ​อะไร​น้า​?​ ตื่นเต้น​จัง​เลย​~​	是什么呢？好期待啊~	是什麼呢？好期待啊~	What is it, then? I'm excited to find out!	なになに？アイコ、気になる！	이건 뭐야? 정말 기대되는걸	คือ​อะไร​น้า​?​ ตื่นเต้น​จัง​เลย​~​
18	102011	3	艾可	赠送礼物后	vo_give_gift_102011	vo_give_gift_102011	1	嘿咻——鳐摇艇转个圈吧~这是感谢的意思哦~	嘿咻——鰩搖艇轉個圈吧~這是感謝的意思哦~	Whee! Let's spin! Another fun thank-you!	エイよ！回れ！これは感謝の気持ちを表す動きだよ～	으쌰——쉐이커 잠수함으로 한 바퀴 돌아줄게~ 이건 내 마음이야~	ยะ​ฮู้​ว​—​ เรือ​กระเบน​หมุน​ๆ​~​ นี่​ถือเป็น​การแสดง​ความ​ขอบคุณ​นะ​~​	嘿咻——鳐摇艇转个圈吧~这是感谢的意思哦~	嘿咻——鰩搖艇轉個圈吧~這是感謝的意思哦~	Whee! Let's spin! Another fun thank-you!	エイよ！回れ！これは感謝の気持ちを表す動きだよ～	으쌰——쉐이커 잠수함으로 한 바퀴 돌아줄게~ 이건 내 마음이야~	ยะ​ฮู้​ว​—​ เรือ​กระเบน​หมุน​ๆ​~​ นี่​ถือเป็น​การแสดง​ความ​ขอบคุณ​นะ​~​
19	102012	1	艾可	打招呼	vo_hello_gift_102012	vo_hello_gift_102012	1	不错不错~调查官很上道嘛！郊游必须带上好吃的，才能尽情享受大自然！	不錯不錯~調查官很上道嘛！郊遊必須帶上好吃的，才能盡情享受大自然！	Nice! You gotta bring food on field trips in order to best enjoy the nature!	いいね～調査官わかってんじゃん！遠足は美味しい物を食べながら、思いっきり自然を楽しまないとね！	좋아 좋아~ 역시 조사관은 잘 아네! 소풍갈 때는 역시 맛있는 음식은 꼭 챙겨야하는 법이지!	ดีมาก​ๆ​~​ ผู้ตรวจการ​เข้า​ใจดี​จัง​นะ​!​ ปิกนิก​ต้อง​มี​ของ​อร่อย​ๆ​ ถึง​จะ​ได้​เพลิดเพลิน​กับ​ธรรมชาติ​ได้​เต็มที่​!​	不错不错~调查官很上道嘛！郊游必须带上好吃的，才能尽情享受大自然！	不錯不錯~調查官很上道嘛！郊遊必須帶上好吃的，才能盡情享受大自然！	Nice! You gotta bring food on field trips in order to best enjoy the nature!	いいね～調査官わかってんじゃん！遠足は美味しい物を食べながら、思いっきり自然を楽しまないとね！	좋아 좋아~ 역시 조사관은 잘 아네! 소풍갈 때는 역시 맛있는 음식은 꼭 챙겨야하는 법이지!	ดีมาก​ๆ​~​ ผู้ตรวจการ​เข้า​ใจดี​จัง​นะ​!​ ปิกนิก​ต้อง​มี​ของ​อร่อย​ๆ​ ถึง​จะ​ได้​เพลิดเพลิน​กับ​ธรรมชาติ​ได้​เต็มที่​!​
20	102012	3	艾可	赠送礼物后	vo_give_gift_102012	vo_give_gift_102012	1	一切准备就绪~我们什么时候出发？	一切準備就緒~我們什麼時候出發？	Everything's ready. When do we leave?	準備万端！いつ出発するの？	모든 준비 완료~ 우리 언제 출발할 거야?	เตรียมพร้อม​ทุกอย่าง​แล้ว​~​ เรา​จะ​ออกเดินทาง​เมื่อไหร่​ดี​ล่ะ​?​	一切准备就绪~我们什么时候出发？	一切準備就緒~我們什麼時候出發？	Everything's ready. When do we leave?	準備万端！いつ出発するの？	모든 준비 완료~ 우리 언제 출발할 거야?	เตรียมพร้อม​ทุกอย่าง​แล้ว​~​ เรา​จะ​ออกเดินทาง​เมื่อไหร่​ดี​ล่ะ​?​
21	102021	1	艾可	打招呼	vo_hello_gift_102021	vo_hello_gift_102021	1	喵呜~要奖励艾可吗？	喵嗚~要獎勵艾可嗎？	Meow…does Echo get a reward?	ニャンと！アイコにご褒美をくれるの？	냐앙~ 에코한테 주는 상인가?!	เมี้ยว​~​ จะ​ให้รางวัล​เอ​ค​โค​เหรอ​?​	喵呜~要奖励艾可吗？	喵嗚~要獎勵艾可嗎？	Meow… does Echo get a reward?	ニャンと！アイコにご褒美をくれるの？	냐앙~ 에코한테 주는 상인가?!	เมี้ยว​~​ จะ​ให้รางวัล​เอ​ค​โค​เหรอ​?​
22	102021	3	艾可	赠送礼物后	vo_give_gift_102021	vo_give_gift_102021	1	既然收了「小费」，那艾可也要准备一些「额外服务」喽~	既然收了「小費」，那艾可也要準備一些「額外服務」嘍~	As thanks for your "tip," Echo's also prepared a few "extra services" for you.	「チップ」をもらったからには、それなりの「サービス」を提供するにゃ～	‘팁’을 받았으니, 에코도 ‘스페셜 서비스’를 준비해야겠다냥~	ใน​เมื่อ​ได้รับ​ "​ทิป​"​ แล้ว​ งั้น​เอ​ค​โค​ก็​ต้อง​เตรียม​ "​บริการ​พิเศษ​"​ ไว้​ด้วย​แล้ว​ล่ะ​~​	既然收了「小费」，那艾可也要准备一些「额外服务」喽~	既然收了「小費」，那艾可也要準備一些「額外服務」嘍~	As thanks for your "tip," Echo's also prepared a few "extra services" for you.	「チップ」をもらったからには、それなりの「サービス」を提供するにゃ～	‘팁’을 받았으니, 에코도 ‘스페셜 서비스’를 준비해야겠다냥~	ใน​เมื่อ​ได้รับ​ "​ทิป​"​ แล้ว​ งั้น​เอ​ค​โค​ก็​ต้อง​เตรียม​ "​บริการ​พิเศษ​"​ ไว้​ด้วย​แล้ว​ล่ะ​~​
23	103002	1	特莉丝	打招呼	vo_hello_gift_103002	vo_hello_gift_103002	1	面包，葡萄酒……确实感觉少了什么。调查官，还需要其他餐点吗？	麵包，葡萄酒……確實感覺少了什麼。調查官，還需要其他餐點嗎？	Bread, wine…feels like something is missing. Inspector, is there anything else we need?	パン、ワイン……何かが足りないような気がしますわ。\n調査官さん、他に何かお食事はいかがでしょうか？	빵, 와인... 뭔가 빠진 게 확실한데...\n조사관님, 더 먹고 싶은 요리 있으세요?	ขนมปัง​ ไวน์​...​ รู้สึก​ว่า​ยัง​ขาด​อะไร​ไป​บางอย่าง​ คุณ​ผู้ตรวจการ​ อยากได้​เมนู​อื่นๆ​ เพิ่ม​ไหม​คะ​?​	面包，葡萄酒……确实感觉少了什么。调查官，还需要其他餐点吗？	麵包，葡萄酒……確實感覺少了什麼。調查官，還需要其他餐點嗎？	Bread, wine… feels like something is missing. Inspector, is there anything else we need?	パン、ワイン……何かが足りないような気がしますわ。\n調査官さん、他に何かお食事はいかがでしょうか？	빵, 와인... 뭔가 빠진 게 확실한데...\n조사관님, 더 먹고 싶은 요리 있으세요?	ขนมปัง​ ไวน์​...​ รู้สึก​ว่า​ยัง​ขาด​อะไร​ไป​บางอย่าง​ คุณ​ผู้ตรวจการ​ อยากได้​เมนู​อื่นๆ​ เพิ่ม​ไหม​คะ​?​
24	103002	3	特莉丝	赠送礼物后	vo_give_gift_103002	vo_give_gift_103002	1	很适合野餐的选择呢~	很適合野餐的選擇呢~	A perfect choice for a picnic!	調査官さんのお気持ちがオオカミに立ち向かう勇気を与えてくれましたわ。	피크닉에 딱 어울리는 선택이네요~	เหมาะกับ​การ​ปิกนิก​มาก​เลย​นะคะ​~​	很适合野餐的选择呢~	很適合野餐的選擇呢~	A perfect choice for a picnic!	調査官さんのお気持ちがオオカミに立ち向かう勇気を与えてくれましたわ。	피크닉에 딱 어울리는 선택이네요~	เหมาะกับ​การ​ปิกนิก​มาก​เลย​นะคะ​~​
25	103006	1	特莉丝	打招呼	vo_hello_gift_103006	vo_hello_gift_103006	1	呜，这股痛苦的情绪……有点、难受……	嗚，這股痛苦的情緒……有點、難受……	Owww, this is NOT comfortable; it hurts!	うう……この苦しい感情……ちょっと、辛いですの……	윽, 이 이모션의 고통은.. 조금 괴롭네요..	อึ​ก.​..​ พา​โธส​แห่ง​ความเจ็บปวด​นี้​...​ รู้สึก​...​ ไม่​สบาย​ตัว​...​	呜，这股痛苦的情绪……有点、难受……	嗚，這股痛苦的情緒……有點、難受……	Owww, this is NOT comfortable; it hurts!	うう……この苦しい感情……ちょっと、辛いですの……	윽, 이 이모션의 고통은.. 조금 괴롭네요..	อึ​ก.​..​ พา​โธส​แห่ง​ความเจ็บปวด​นี้​...​ รู้สึก​...​ ไม่​สบาย​ตัว​...​
26	103006	3	特莉丝	赠送礼物后	vo_give_gift_103006	vo_give_gift_103006	1	呼…………痛苦，终于缓和了许多。是你赠与的礼物抚慰了我呢。	呼…………痛苦，終於緩和了許多。是你贈與的禮物撫慰了我呢。	Inhale…exhale…the pain's finally eased up, mostly. Your give did a lot to comfort me.	ふぅ……やっと、苦しさがだいぶ和らぎましたわ。\nわたくしを癒してくれたのは、調査官さんの贈り物です。	후우… 드디어 고통이 가셨어요. 당신이 준 선물 덕분이에요.	ฟู่​ว​...​ ความเจ็บปวด​ ในที่สุด​ก็​ทุเลา​ไป​มาก​แล้ว​ เพราะ​ของขวัญ​ที่​คุณ​มอบให้​ที่​ช่วย​บรรเทา​ให้​ฉัน​รู้สึก​ดีขึ้น​ค่ะ​	呼…………痛苦，终于缓和了许多。是你赠与的礼物抚慰了我呢。	呼…………痛苦，終於緩和了許多。是你贈與的禮物撫慰了我呢。	Inhale… exhale… the pain's finally eased up, mostly. Your gift did a lot to comfort me.	ふぅ……やっと、苦しさがだいぶ和らぎましたわ。\nわたくしを癒してくれたのは、調査官さんの贈り物です。	후우… 드디어 고통이 가셨어요. 당신이 준 선물 덕분이에요.	ฟู่​ว​...​ ความเจ็บปวด​ ในที่สุด​ก็​ทุเลา​ไป​มาก​แล้ว​ เพราะ​ของขวัญ​ที่​คุณ​มอบให้​ที่​ช่วย​บรรเทา​ให้​ฉัน​รู้สึก​ดีขึ้น​ค่ะ​
27	103007	1	特莉丝	打招呼	vo_hello_gift_103007	vo_hello_gift_103007	1	空蝉浮世，幸得与你期会。	空蟬浮世，幸得與你期會。	With so much in this life a ephemeral as a cicada's song, I'm very lucky to have met you!	空蝉の世で、貴方とお会いできたことをありがたく存じます。	이승과 저승, 당신과 만나서 다행이에요	ชีวิต​อย่าง​กับ​ฝัน​ไป​เลย​ โชคดี​จริงๆ​ ที่​ได้​พบ​กับ​คุณ​	空蝉浮世，幸得与你期会。	空蟬浮世，幸得與你期會。	With so much in this life as ephemeral as a cicada's song, I'm very lucky to have met you!	空蝉の世で、貴方とお会いできたことをありがたく存じます。	이승과 저승, 당신과 만나서 다행이에요	ชีวิต​อย่าง​กับ​ฝัน​ไป​เลย​ โชคดี​จริงๆ​ ที่​ได้​พบ​กับ​คุณ​
28	103007	3	特莉丝	赠送礼物后	vo_give_gift_103007	vo_give_gift_103007	1	我知此间心意，弦音致于谢意。	我知此間心意，弦音致於謝意。	Ah, well. I'll play you my thanks on these strings.	その気持ちに、弦の音で感謝を捧げます。	그 마음에 보답하기 위해 현에 감사의 마음을 담았습니다	ฉัน​รู้​ถึง​ความตั้งใจ​นี้​ ขอ​ตอบแทน​ด้วย​เสียงเพลง​นะคะ​	我知此间心意，弦音致于谢意。	我知此間心意，弦音致於謝意。	Ah, well. I'll play you my thanks on these strings.	その気持ちに、弦の音で感謝を捧げます。	그 마음에 보답하기 위해 현에 감사의 마음을 담았습니다	ฉัน​รู้​ถึง​ความตั้งใจ​นี้​ ขอ​ตอบแทน​ด้วย​เสียงเพลง​นะคะ​
29	103008	1	特莉丝	打招呼	vo_hello_gift_103008	vo_hello_gift_103008	1	好像确实听说过，有时下午茶的时间会有「赠礼」的礼仪传统。	好像確實聽說過，有時下午茶的時間會有「贈禮」的禮儀傳統。	I'd heard before that there is a tradition of presenting gifts during tea time, as a polite gesture.	確か、ティータイムに「贈り物をする」という習慣があると聞いたことありますわ。	티 타임에 ‘선물’을 주는 전통이 있다면서요? 어디서 그런 말을 들어본 것 같긴 해요.	เคย​ได้ยิน​มา​ว่า​ บางครั้ง​ช่วง​น้ำชา​ยาม​บ่าย​ก็​มี​ธรรมเนียม​ "​มอบ​ของขวัญ​"​ ด้วย​นะคะ​	好像确实听说过，有时下午茶的时间会有「赠礼」的礼仪传统。	好像確實聽說過，有時下午茶的時間會有「贈禮」的禮儀傳統。	I'd heard before that there is a tradition of presenting gifts during tea time, as a polite gesture.	確か、ティータイムに「贈り物をする」という習慣があると聞いたことありますわ。	티 타임에 ‘선물’을 주는 전통이 있다면서요? 어디서 그런 말을 들어본 것 같긴 해요.	เคย​ได้ยิน​มา​ว่า​ บางครั้ง​ช่วง​น้ำชา​ยาม​บ่าย​ก็​มี​ธรรมเนียม​ "​มอบ​ของขวัญ​"​ ด้วย​นะคะ​
30	103008	3	特莉丝	赠送礼物后	vo_give_gift_103008	vo_give_gift_103008	1	我感受到了……调查官温暖的真心。	我感受到了……調查官溫暖的真心。	Ah, in that case, I can really feel the sincerity.	感じていますわ……調査官さんのあたたかいお気持ちを。	조사관님의 진심이... 느껴지네요.	ฉัน​รู้สึก​ได้​ถึง​...​ จิตใจ​อัน​อบอุ่น​ของ​คุณ​ผู้ตรวจการ​ค่ะ​	我感受到了……调查官温暖的真心。	我感受到了……調查官溫暖的真心。	Ah, in that case, I can really feel the sincerity.	感じていますわ……調査官さんのあたたかいお気持ちを。	조사관님의 진심이... 느껴지네요.	ฉัน​รู้สึก​ได้​ถึง​...​ จิตใจ​อัน​อบอุ่น​ของ​คุณ​ผู้ตรวจการ​ค่ะ​
31	103009	1	特莉丝	打招呼	vo_hello_gift_103009	vo_hello_gift_103009	1	呀？有礼物要给我吗？	呀？有禮物要給我嗎？	Oh? You have anything for me?	あら？わたくしにプレゼントですか？	어라? 저한테 주는 선물인가요?	เอ๊ะ​?​ มี​ของขวัญ​จะ​ให้​ฉัน​เหรอ​คะ​?​	呀？有礼物要给我吗？	呀？有禮物要給我嗎？	Oh? You have anything for me?	あら？わたくしにプレゼントですか？	어라? 저한테 주는 선물인가요?	เอ๊ะ​?​ มี​ของขวัญ​จะ​ให้​ฉัน​เหรอ​คะ​?​
32	103009	3	特莉丝	赠送礼物后	vo_give_gift_103009	vo_give_gift_103009	1	我新学的舞步，可以作为感谢你的赠礼吗？	我新學的舞步，可以作為感謝你的贈禮嗎？	Can I return the favor with the new dance I learned?	お返しに、この新しい舞いをお見せくださいませ。	제가 새로 배운 춤동작을 당신의 선물로 여겨도 될까요?	ท่า​เต้น​ใหม่​ที่​ฉัน​เพิ่ง​หัด​ จะ​ใช้​เป็น​ของ​ตอบแทน​ได้​ไหม​คะ​?​	我新学的舞步，可以作为感谢你的赠礼吗？	我新學的舞步，可以作為感謝你的贈禮嗎？	Can I return the favor with the new dance I learned?	お返しに、この新しい舞いをお見せくださいませ。	제가 새로 배운 춤동작을 당신의 선물로 여겨도 될까요?	ท่า​เต้น​ใหม่​ที่​ฉัน​เพิ่ง​หัด​ จะ​ใช้​เป็น​ของ​ตอบแทน​ได้​ไหม​คะ​?​
33	103019	1	特莉丝	打招呼	vo_hello_gift_103019	vo_hello_gift_103019	1	这算是调查官睡前的晚安礼吗……？	這算是調查官睡前的晚安禮嗎……？	Is this a goodnight gift before heading to bed...?	これは、寝る前のあいさつかしら……？	잠들기 전에 주는 굿나잇 선물인가요...?	นี่​เป็น​ของขวัญ​ราตรีสวัสดิ์​จาก​คุณ​ผู้ตรวจการ​สิ​นะคะ​...?​	这算是调查官睡前的晚安礼吗……？	這算是調查官睡前的晚安禮嗎……？	Is this a goodnight gift before heading to bed...?	これは、寝る前のあいさつかしら……？	잠들기 전에 주는 굿나잇 선물인가요...?	นี่​เป็น​ของขวัญ​ราตรีสวัสดิ์​จาก​คุณ​ผู้ตรวจการ​สิ​นะคะ​...?​
